username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sbcHealth;2018-11-28 15:13;1;4;"An other great week with the 2019 SCALE Digital Health cohort in Miami! #Miami #healthcare #sbcMaimi #ScaleDigitalHealth #DigitalHealth #startupbootcamp Out for lunch with @roundtriphealth @biovirtua @LauraNetworks @dentidesk @inrecoveryhq pic.twitter.com/0bvx58YuGT";;@roundtriphealth @biovirtua @LauraNetworks @dentidesk @inrecoveryhq;#Miami #healthcare #sbcMaimi #ScaleDigitalHealth #DigitalHealth #startupbootcamp;"1067874156799291393";https://twitter.com/sbcHealth/status/1067874156799291393
marcusborba;2018-09-11 09:42;7;6;"#SAPForum @cmuruzabal president of SAP LAC talks with the startup @LauraNetworks , that uses #AI to save lifes. Claudio Muruzabal conversa com o fundador da startup Laura, que através de parceria com a SAP, utiliza tecnologia de ponta para salvar vidas. pic.twitter.com/yAefIuZBtU";;@cmuruzabal @LauraNetworks;#SAPForum #AI;"1039509536174829570";https://twitter.com/marcusborba/status/1039509536174829570
cristinapalmaka;2018-09-11 09:06;6;10;"A startup @LauraNetworks salva vidas com base na #SAPCloudPlatform . Para saber mais sobre a plataforma, acesse: https:// cloudplatform.sap.com/index.html #SAPForum";;@LauraNetworks;#SAPCloudPlatform #SAPForum;"1039500415010852864";https://twitter.com/cristinapalmaka/status/1039500415010852864
cristinapalmaka;2018-09-11 09:04;0;2;"@cmuruzabal , presidente de SAP LAC, conversa com @LauraNetworks , empresa especializada no desenvolvimento de sistemas dotados de computação cognitiva e AI. Uma história emocionante que está se tornando realidade por meio de tech e da parceria técnica com a @SAPBrasil #SAPForum pic.twitter.com/JXI1j4vOSS";;@cmuruzabal @LauraNetworks @SAPBrasil;#SAPForum;"1039499884389392384";https://twitter.com/cristinapalmaka/status/1039499884389392384
LauraNetworks;2018-06-07 20:28;0;0;"Bora Salvar Vidas Comigo Jacson Fressatto TEDxSaoPauloSalon: http:// youtu.be/Gvkz-ZeSaW4?a via @YouTube";;@YouTube;;"1004882880395399169";https://twitter.com/LauraNetworks/status/1004882880395399169
LauraNetworks;2018-05-28 10:04;0;0;"app mom: http:// youtu.be/8qh5ZG2mxss?a via @YouTube";;@YouTube;;"1001102009376952320";https://twitter.com/LauraNetworks/status/1001102009376952320
LauraNetworks;2018-05-28 09:39;0;0;"App médico: http:// youtu.be/IDa0oJKpyxI?a via @YouTube";;@YouTube;;"1001095583547953153";https://twitter.com/LauraNetworks/status/1001095583547953153
LauraNetworks;2018-01-10 16:38;0;0;"Como a Laura funciona Lego: http:// youtu.be/A5ht8s_-5uY?a via @YouTube";;@YouTube;;"951206744683962370";https://twitter.com/LauraNetworks/status/951206744683962370
LauraNetworks;2018-01-07 10:01;0;0;"Laura Challenge Cup Pitch: http:// youtu.be/_F40diEQCHs?a via @YouTube";;@YouTube;;"950019538149695490";https://twitter.com/LauraNetworks/status/950019538149695490
LauraNetworks;2017-12-30 13:46;0;0;"LAURA 2018: http:// youtu.be/wijBC9tIaek?a via @YouTube";;@YouTube;;"947177008953511936";https://twitter.com/LauraNetworks/status/947177008953511936
LauraNetworks;2017-12-05 10:58;0;0;"Algorithm of life: http:// youtu.be/f0WsrdcN4Kk?a via @YouTube";;@YouTube;;"938075154915250176";https://twitter.com/LauraNetworks/status/938075154915250176
PatHMenezes;2017-11-21 04:10;1;2;"In Latin America, IBM Citizenship team is working in partnership with a Brazilian startup, @LauraNetworks , to empower Health professionals to fight against Sepsis. #sepsis #citizenIBMLA #citizenIBM https:// twitter.com/hallamcarole/s tatus/929030336541069312 …";;@LauraNetworks;#sepsis #citizenIBMLA #citizenIBM;"932898887676899328";https://twitter.com/PatHMenezes/status/932898887676899328
LauraNetworks;2017-11-16 13:27;1;2;"Thank you @IETawards for naming us one of the year’s top innovators. Happy to be the 2017 Information Technology e Intelligent Systems winner! https:// goo.gl/WJWJgX pic.twitter.com/xXdvxgyynF";;@IETawards;;"931227296215781381";https://twitter.com/LauraNetworks/status/931227296215781381
Altran_UK;2017-11-15 15:13;0;0;"The Cognitive Risk Manager Virtual Robot is the innovation putting @LauraNetworks on our shortlist, a company specialising in artificial intelligence. #IETia pic.twitter.com/dZsJYxpevv";;@LauraNetworks;#IETia;"930891607511060481";https://twitter.com/Altran_UK/status/930891607511060481
