username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HartfordInsHub;2018-12-06 11:19;2;2;"We're excited to see that @RozieAi iwon the Plug and Play Insurtech Award and we're looking forward to see their future collaborations with partners and investors in 2019! pic.twitter.com/8sTCDH1G3O";;@RozieAi;;"1070714272521617408";https://twitter.com/HartfordInsHub/status/1070714272521617408
bhaskarJK;2018-12-05 06:46;0;2;"Congratulations @RozieAi https:// twitter.com/insuretechnow/ status/1070054196827680768 …";;@RozieAi;;"1070283291671052288";https://twitter.com/bhaskarJK/status/1070283291671052288
upwardhartford;2018-12-04 19:13;0;3;"Excellent! We hope to see you in Hartford soon!";;;;"1070108776856993793";https://twitter.com/upwardhartford/status/1070108776856993793
PnPinsurtech;2018-12-04 18:32;1;5;"Awesome job @RozieAi for winning our startup award today!! #wintersummit2018 pic.twitter.com/j57YX0aQqM";;@RozieAi;#wintersummit2018;"1070098496122834945";https://twitter.com/PnPinsurtech/status/1070098496122834945
FlyreelAI;2018-12-04 16:17;0;3;"This sounds awesome. We'll be following along from Colorado!";;;;"1070064590623399936";https://twitter.com/FlyreelAI/status/1070064590623399936
insuretechnow;2018-12-04 15:36;0;2;"Congrats @RozieAi on winning the Insurtech award at the @PnPinsurtech #wintersummit18 ! pic.twitter.com/CVFQJ0GJMU";;@RozieAi @PnPinsurtech;#wintersummit18;"1070054196827680768";https://twitter.com/insuretechnow/status/1070054196827680768
upwardhartford;2018-12-04 13:20;7;16;"This Thurs, Upward Citizens @InsurTechHfd highlight the evolving #customerexperience in #insurtech with guest speakers from @novarica @Capgemini @HtfdSteamBoiler @AureusAnalytics @RozieAi @Travelers . Learn more & RSVP: http:// ow.ly/LjaQ30mG64h #techtalentHartford #ideasstarthere";;@InsurTechHfd @novarica @Capgemini @HtfdSteamBoiler @AureusAnalytics @RozieAi @Travelers;#customerexperience #insurtech #techtalentHartford #ideasstarthere;"1070019967666524160";https://twitter.com/upwardhartford/status/1070019967666524160
AbiCPCU;2018-11-19 15:39;0;0;"Great pitch by @SudhaMeghan of @RozieAi at #InsurTechBermuda18 ! Very interesting!! Thank you for sharing!";;@SudhaMeghan @RozieAi;#InsurTechBermuda18;"1064619121239879685";https://twitter.com/AbiCPCU/status/1064619121239879685
HamiltonInsures;2018-11-19 15:33;0;3;"Sudha Meghan from @RozieAi is next up. Sudha will show the Startups Live! judges why her company’s platform that contextualizes language and behaviour is worthy of their vote. #InsurtechBermuda18";;@RozieAi;#InsurtechBermuda18;"1064617638415032320";https://twitter.com/HamiltonInsures/status/1064617638415032320
HamiltonInsures;2018-11-19 13:58;2;5;"#IoT and #AI are revolutionizing re/insurance. Adrian Bentley from @AnalyzeRe and Sudha Meghan from @RozieAi discuss how to integrate these technologies into business plans to improve in a competitive market. #InsurTechBermuda18 pic.twitter.com/CK8ssfbJvi";;@AnalyzeRe @RozieAi;#IoT #AI #InsurTechBermuda18;"1064593659985829893";https://twitter.com/HamiltonInsures/status/1064593659985829893
