username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
samdotai;2018-12-05 09:56;1;0;"SAM is the first #sales and #marketing platform built entirely with #AI from the ground up. http:// bit.ly/2EfsHp8 pic.twitter.com/zInkMTdlTe";;;#sales #marketing #AI;"1070330982191063040";https://twitter.com/samdotai/status/1070330982191063040
MarTechSeries;2018-11-21 08:00;1;0;"http:// SAM.AI Acquires IntroNet to Expand its Social CRM Capabilities http:// ow.ly/cuiQ30mHiZt @samdotai @MartinBabinec @mkrupit @razchoudhury #MarTech pic.twitter.com/gMqlvwaRJU";;@samdotai @MartinBabinec @mkrupit @razchoudhury;#MarTech;"1065228443254759425";https://twitter.com/MarTechSeries/status/1065228443254759425
mkrupit;2018-11-19 12:17;3;4;"Happy to be working with @razchoudhury and be part of the @SAMdotAI team. It's a great company with a really effective platform and lots of growth and advancements to come. #CRM #Saas #SMB #startups #sales #marketing https:// twitter.com/TechnicallyPHL /status/1064565348605853696 …";;@razchoudhury @SAMdotAI;#CRM #Saas #SMB #startups #sales #marketing;"1064568442248970242";https://twitter.com/mkrupit/status/1064568442248970242
samdotai;2018-11-12 13:19;0;1;"Companies on average have to use 16 different sales and marketing stacks (MarTech 2017). We think that there is something fundamentally wrong with that picture. Meet SAM to unify your sales & marketing. pic.twitter.com/NQpQv3jC17";;;;"1062047360979746818";https://twitter.com/samdotai/status/1062047360979746818
samdotai;2018-11-08 11:22;1;2;"A fully integrated #sales & #marketing system means less friction, more insight, proactive engagement, and better #conversions . pic.twitter.com/XGUyLivJqk";;;#sales #marketing #conversions;"1060568253913817088";https://twitter.com/samdotai/status/1060568253913817088
AlleyWatch;2018-10-21 20:39;0;0;"#NYCtech Week in Review: 10/14/18-10/20/18 ft @samdotai https:// alleywat.ch/2yRg3I4 via @AlleyWatch";;@samdotai @AlleyWatch;#NYCtech;"1054170439474388992";https://twitter.com/AlleyWatch/status/1054170439474388992
NewarkVc;2018-10-17 10:30;1;3;"Great to see @samdotai in @AlleyWatch today! Big things coming for this team! https:// twitter.com/AlleyWatch/sta tus/1052426496843898880 …";;@samdotai @AlleyWatch;;"1052567479720058880";https://twitter.com/NewarkVc/status/1052567479720058880
AlleyWatch;2018-10-16 19:10;0;0;"The AlleyWatch NYC Startup Daily Funding Report: 10/16/18 ft @samdotai https:// alleywat.ch/2Os33Db via @AlleyWatch";;@samdotai @AlleyWatch;;"1052335902905835520";https://twitter.com/AlleyWatch/status/1052335902905835520
mkrupit;2018-09-28 13:12;0;0;"One of the benefits joining the Board of @samdotai and working with @razchoudhury is that the office is a block away from @beyondsushinyc. #vegan #NYC pic.twitter.com/2NHdhL2Ty3";;@samdotai @razchoudhury @beyondsushinyc;#vegan #NYC;"1045723020575346688";https://twitter.com/mkrupit/status/1045723020575346688
samdotai;2018-09-11 19:20;0;0;"Find your next great career opportunity at http:// SAM.AI https://www. indeedjobs.com/samai/_hl/en_U S?cpref=L75SoWpfibS5aRnY2g_zohRSoEeMyZTodBvl1mw9wmc …";;;;"1039654949687386112";https://twitter.com/samdotai/status/1039654949687386112
machine_ml;2018-08-10 03:41;1;3;"RT @AiThority : RT @NewarkVc : Great to see #NVPLabs company @samdotai highlighted in @AiThority . Read up on how @MediaVillage will use http:// SAM.ai to "advance content marketing, survey, editorial and audience measurement capabilities." #AI #… pic.twitter.com/QexId3WMlx";;@AiThority @NewarkVc @samdotai @AiThority @MediaVillage;#NVPLabs #AI #;"1027822176991371264";https://twitter.com/machine_ml/status/1027822176991371264
NewarkVc;2018-08-09 12:08;3;5;"Great to see #NVPLabs company @samdotai highlighted in @AiThority . Read up on how @MediaVillage will use http:// SAM.ai to "advance content marketing, survey, editorial and audience measurement capabilities." #AI #Machinelearning #techstartup https:// buff.ly/2Ms8I7f pic.twitter.com/6ZeNnbweSa";;@samdotai @AiThority @MediaVillage;#NVPLabs #AI #Machinelearning #techstartup;"1027587318394351616";https://twitter.com/NewarkVc/status/1027587318394351616
MediaVillageCom;2018-07-18 19:06;2;0;"Our new partnership with @samdotai means we can leverage #AI and #machinelearning to deliver #MediaVillage content even more tied to the interests and preferences of our readers. Of course, our human eyes and ears are open to input too! https://www. prnewswire.com/news-releases/ mediavillage-expands-ai-capabilities-with-samai-300681681.html … pic.twitter.com/Kjij92b1tW";;@samdotai;#AI #machinelearning #MediaVillage;"1019719969100259329";https://twitter.com/MediaVillageCom/status/1019719969100259329
MediaVillageCom;2018-07-18 14:55;0;1;"Integrating the cutting edge to be on the bleeding edge. Our partnership with @samdotai enables us to leverage #AI and #machinelearning to deliver better content experiences to our readers. Learn more: https://www. prnewswire.com/news-releases/ mediavillage-expands-ai-capabilities-with-samai-300681681.html?tc=eml_cleartime … pic.twitter.com/Y2IySFXbbO";;@samdotai;#AI #machinelearning;"1019656954422218754";https://twitter.com/MediaVillageCom/status/1019656954422218754
vincentdignan;2018-07-07 18:31;0;0;"@samdotai You have a cool following. I want you to come to my next growth hacking talk in NYC (wednesday July 11th). You'll get a tonne of ideas for how to grow your business. You can get a free ticket here: http:// bit.ly/NYCgrowthhacki ngtalk?iZ0l …";;@samdotai;;"1015724945387741184";https://twitter.com/vincentdignan/status/1015724945387741184
GalileoTech;2018-02-27 10:39;8;9;"Galileo's Keith Reynolds talks SEO and the future of digital publishing. Check out the video. Thanks again to http:// SAM.AI for the opportunity. https:// goo.gl/VcwtHf #SEO #BuildingBrandValue @samdotai @cbsiservices";;@samdotai @cbsiservices;#SEO #BuildingBrandValue;"968510905888772096";https://twitter.com/GalileoTech/status/968510905888772096
ThinkRiseNY;2017-12-13 11:19;0;3;"Closing out our morning panel on #ai @samdotai @Forward_Lane @CosimoPartners @datavorelabs @sajilkoroth #risefintechfest pic.twitter.com/DnnYuU5Hfs";;@samdotai @Forward_Lane @CosimoPartners @datavorelabs @sajilkoroth;#ai #risefintechfest;"940979496173342722";https://twitter.com/ThinkRiseNY/status/940979496173342722
samdotai;2017-12-13 10:41;1;0;"@razchoudhury on #AI at #fintech2017 #thinkriseny pic.twitter.com/CVGUk5o1cC";;@razchoudhury;#AI #fintech2017 #thinkriseny;"940969906249568256";https://twitter.com/samdotai/status/940969906249568256
samdotai;2017-12-13 10:33;0;0;"Stay tuned for live updates from #fintech2017 with @razchoudhury pic.twitter.com/xnbOnAhffL";;@razchoudhury;#fintech2017;"940967860301680640";https://twitter.com/samdotai/status/940967860301680640
