username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CourtneyDonohoe;2018-12-30 06:31;0;2;"Nice shout out for you @TheDonnyWhite !!";;@TheDonnyWhite;;"1079339107585871873";https://twitter.com/CourtneyDonohoe/status/1079339107585871873
JoeConnollybiz;2018-12-29 19:58;3;9;"“Identify your super-skill and call us” - (it’s not necessarily what you do now) - Don White @satisfi Labs answering “how does a late 50’s person like me get to work with a cool new company?” - a favorite business quote of 2018 #careers";;@satisfi;#careers;"1079179991324205061";https://twitter.com/JoeConnollybiz/status/1079179991324205061
JoeBradlee;2018-12-18 17:15;0;1;"Great catching up with @TheDonnyWhite at the @WinterMeetings to hear about what’s going on at @satisfi Labs! A big help to the @PawSox in 2018.";;@TheDonnyWhite @WinterMeetings @satisfi @PawSox;;"1075152613220454401";https://twitter.com/JoeBradlee/status/1075152613220454401
ThomasReiske;2018-12-15 10:01;0;0;"@satisfi #conversationalcommerce #chatbots http:// bit.ly/2PEGpn1 #TeamInfor";;@satisfi;#conversationalcommerce #chatbots #TeamInfor;"1073956175413039105";https://twitter.com/ThomasReiske/status/1073956175413039105
TimScheld;2018-12-12 20:54;0;4;"Love Don White and @satisfi great mind .... https:// twitter.com/wcbs880/status /1072884928096944128 …";;@satisfi;;"1073033434325487616";https://twitter.com/TimScheld/status/1073033434325487616
satisfi;2018-12-12 14:13;2;7;"We get this question all the time and @TheDonnyWhite gives it to you straight. Watch the short clip here https:// twitter.com/wcbs880/status /1072884928096944128 …";;@TheDonnyWhite;;"1072932410294177792";https://twitter.com/satisfi/status/1072932410294177792
NeilACarousso;2018-12-12 11:11;2;2;"We hear about “artificial intelligence” often, but @satisfi ’s Don White explains its practical uses well. His application helps companies like the @Mets answer customers in real-time and provide solutions for questions such as “where can I find a hot dog near my seat?” #AI https:// twitter.com/wcbs880/status /1072884928096944128 …";;@satisfi @Mets;#AI;"1072886704275644417";https://twitter.com/NeilACarousso/status/1072886704275644417
wcbs880;2018-12-12 11:04;1;5;"PREVIEW: @satisfi founder Don White tells @JoeConnollybiz how his artificial intelligence platform makes customer service more efficient. Satisfi’s clients include the @Mets . See the full WCBS #SmallBusinessSpotlight video: http:// WCBS880.com/Spotlight . pic.twitter.com/ijWnODmtpJ";;@satisfi @JoeConnollybiz @Mets;#SmallBusinessSpotlight;"1072884928096944128";https://twitter.com/wcbs880/status/1072884928096944128
satisfi;2018-12-05 17:36;1;4;"Touchdown, Canada! "Winnipeg Jets Put Customer Service in the Palms of Fans" - thank you @frntofficesport for featuring @satisfi 's first Canadian client! https:// frntofficesport.com/ask-amelia-ai- tech-jets/ …";;@frntofficesport @satisfi;;"1070446906634108933";https://twitter.com/satisfi/status/1070446906634108933
VentureFizzNYC;2018-12-05 08:34;1;3;"We connected with the founder of @satisfi Labs to learn more about the company and their conversational AI platform for retailers, sports venues, attractions, and live events. Learn more in our profile https:// buff.ly/2UjMW9W";;@satisfi;;"1070310361792958464";https://twitter.com/VentureFizzNYC/status/1070310361792958464
