username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sayint_ai;2018-12-28 08:11;0;0;"In the enterprise , Typically tasks which are dull, mundane , and repetitious are the ones which are prime targets for automation, especially if they are rule-based . Here is you implementing RPA in your organisation can help you to reduce the workforce https://www. sayint.ai/blogs/putting- work-on-autopilot-using-robotic-process-automation/?fbclid=IwAR3sBovJ_xYiZ2WeCLlQIQ--JeQV0Roul4iTrd1YceCraSgJEOuP7f6a1Ng … pic.twitter.com/VYJb5qbD0L";;;;"1078639664758693888";https://twitter.com/sayint_ai/status/1078639664758693888
sayint_ai;2018-12-24 14:00;0;0;"May this #christmas bring immense #prosperity for you and your family! Love, Joy, and Best Wishes From Sayint #MerryChristmas #sayintai pic.twitter.com/nvU1uCdpOl";;;#christmas #prosperity #MerryChristmas #sayintai;"1077277907003891713";https://twitter.com/sayint_ai/status/1077277907003891713
sayint_ai;2018-12-11 02:50;0;2;"There are many areas of business which can be improved by little power from automation According to Recent Capgemni Survey on Robotic process automation The Digital Age, How The Application Of Intelligent Automation Is Transforming . #Roboticprocessautomation #RPA @theRPA pic.twitter.com/Iga2KveCNs";;@theRPA;#Roboticprocessautomation #RPA;"1072398215054540800";https://twitter.com/sayint_ai/status/1072398215054540800
sayint_ai;2018-11-28 04:53;0;1;"The demand for chatbots is growing and if you haven’t started looking and integrating Bots into your Business it's the time to get started #chatbots #AI #NLP #chatbotsforbusiness pic.twitter.com/d2eAF8BpT0";;;#chatbots #AI #NLP #chatbotsforbusiness;"1067718125758570497";https://twitter.com/sayint_ai/status/1067718125758570497
Analyticsindiam;2018-11-05 00:30;1;5;"A list of five startups working in speech analytics. cc: @uniphore @sayint_ai @Ozonetel_KOOKOO https://www. analyticsindiamag.com/5-noteworthy-i ndian-players-in-the-speech-analytics-market/ …";;@uniphore @sayint_ai @Ozonetel_KOOKOO;;"1059316928559398917";https://twitter.com/Analyticsindiam/status/1059316928559398917
sayint_ai;2018-09-27 04:23;0;1;"#customerexperience is one of the emerging problems in Travel Industry This blog (3-4 mins read) tells you more about the top challenges faced by Europes Largest OTA and how we Solved it using Sayint . https://www. sayint.ai/blogs/sayint-h elps-the-europes-largest-holiday-provider-to-improve-its-customer-experience-using-speech-analytics/ …";;;#customerexperience;"1045227466720268289";https://twitter.com/sayint_ai/status/1045227466720268289
adriandwalker;2018-09-20 18:26;0;0;"Also Google executable English!";;;;"1042902889792856065";https://twitter.com/adriandwalker/status/1042902889792856065
albertcalv;2018-09-20 07:58;0;0;"Blending more explainable ?";;;;"1042744709955964928";https://twitter.com/albertcalv/status/1042744709955964928
sayint_ai;2018-09-20 05:38;8;6;"Importance of explainable Ai - @McKinsey Explanation of AI outputs will drive successful adoption among business users and enable insight generation Increased transparency is also the foundation for addressing regulations like GDPR #AI #Machinelearning #GDPR pic.twitter.com/V3eTchcqiB";;@McKinsey;#AI #Machinelearning #GDPR;"1042709632727371777";https://twitter.com/sayint_ai/status/1042709632727371777
sayint_ai;2018-09-10 03:42;0;1;"We’re hiring a Content Strategist this is the role for you if you have a passion for developing content Strategy Identifying right messaging channelLove for great products from bottom of your heart you love the thrill of multitasking #hiring #contentmarketing #contentcreators pic.twitter.com/ZMcGosQ02Y";;;#hiring #contentmarketing #contentcreators;"1039056420807892992";https://twitter.com/sayint_ai/status/1039056420807892992
