username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jearthy;2018-11-29 17:59;0;1;"Sorry I missed seeing you! I hope it was a good event for you.";;;;"1068278272000172032";https://twitter.com/jearthy/status/1068278272000172032
digestibledata;2018-11-29 16:19;0;4;"Champions of women everywhere @jearthy @jfedeyko and some super men committed to the cause @call7695602 @suv_vc talking Diversity at #SAASNORTH pic.twitter.com/bgxc1DE0lP";;@jearthy @jfedeyko @call7695602 @suv_vc;#SAASNORTH;"1068253046344482818";https://twitter.com/digestibledata/status/1068253046344482818
BrightsparkVC;2018-11-28 08:55;1;8;"Started off the morning at @SAASNORTH discussing trends in Canadian SaAS investment. Brightspark's @jrperreault is on the panel alongside @informationvp and @suv_vc at the @PwC_Canada Investor Breakfast.";;@SAASNORTH @jrperreault @informationvp @suv_vc @PwC_Canada;;"1067779000297246720";https://twitter.com/BrightsparkVC/status/1067779000297246720
ipanariti;2018-11-28 08:14;1;9;"1st #SAASNORTH panel of the day underway: Trends in Canadian #SaaS Investment featuring @suv_vc , @BrightsparkVC , and @informationvp . cc: @CVCACanada pic.twitter.com/di3ImruyWA";;@suv_vc @BrightsparkVC @informationvp @CVCACanada;#SAASNORTH #SaaS;"1067768606753202177";https://twitter.com/ipanariti/status/1067768606753202177
kerrigolden;2018-11-28 07:03;0;5;"Good morning Ottawa - getting ready to kick off @SAASNORTH representing @informationvp on investor panel breakfast with @suv_vc @BrightsparkVC @PwC_Canada";;@SAASNORTH @informationvp @suv_vc @BrightsparkVC @PwC_Canada;;"1067750951275151360";https://twitter.com/kerrigolden/status/1067750951275151360
alexanderpeh;2018-11-27 07:42;2;9;"We are as passionate & committed as ever to play a big role as part of the amazing support Ecosystem driving/championing Innovation inc @creativedlab @oneeleven_111 @VectorInst @UofTStartup @_NextAI @LazaridisInst @colabsyxe @voltaeffect @suv_vc @informationvp @RyersonFutures";;@creativedlab @oneeleven_111 @VectorInst @UofTStartup @_NextAI @LazaridisInst @colabsyxe @voltaeffect @suv_vc @informationvp @RyersonFutures;;"1067398365820858368";https://twitter.com/alexanderpeh/status/1067398365820858368
LSPARKGlobal;2018-11-26 16:42;0;3;"Looking forward to it!! cc @SAASNORTH #SAASNORTH";;@SAASNORTH;#SAASNORTH;"1067171844485197831";https://twitter.com/LSPARKGlobal/status/1067171844485197831
GeorgianPrtnrs;2018-11-16 09:48;0;2;"Thanks for sharing this!";;;;"1063443619980427265";https://twitter.com/GeorgianPrtnrs/status/1063443619980427265
SeanMoffitt;2018-11-14 08:04;0;0;"67% believe corporates should partner/acquire companies to accelerate their digital agenda, this and 300+ other transformation stats http:// bit.ly/transformation 300f … #realinnovation #transformation #futureproofing @touchdown_vc @Orange_DV @suv_vc @BarryTOBrien @cvcassociation pic.twitter.com/VkJsn4vFsi";;@touchdown_vc @Orange_DV @suv_vc @BarryTOBrien @cvcassociation;#realinnovation #transformation #futureproofing;"1062692765119717376";https://twitter.com/SeanMoffitt/status/1062692765119717376
BetaKit;2018-10-28 14:15;0;0;". @suv_vc says losing a founding general partner isn't going to affect its first fund. https:// betakit.com/kent-thexton-s teps-down-as-scaleup-ventures-gp-to-become-ceo-of-sierra-wireless/ …";;@suv_vc;;"1056610346105032704";https://twitter.com/BetaKit/status/1056610346105032704
