username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
techstil;2018-12-13 02:41;0;2;"Thank you Zoom for selecting @SceneThere for @ExTechChallenge 2019's Productivity Vertical! https:// twitter.com/ExTechChalleng e/status/1072919348644319232 …";;@SceneThere @ExTechChallenge;;"1073120779288674304";https://twitter.com/techstil/status/1073120779288674304
SceneThere;2018-12-13 02:40;1;0;"Thank you Zoom for selecting us for ExtremeTechChallenge 2019's Productivity Vertical! https:// twitter.com/ExTechChalleng e/status/1072919348644319232 …";;;;"1073120428716158976";https://twitter.com/SceneThere/status/1073120428716158976
ExTechChallenge;2018-12-12 13:21;4;7;"Congrats to @SceneThere Selected by @ericsyuan + @Janine_Pelosi of #XTC2019 sponsor @zoom_us as winner of the #Productivity Vertical, this #VR publishing platform lets 360 filmmakers create interactive, immersive, realistic VR worlds in video. https:// buff.ly/2rxppFl pic.twitter.com/1DTchpn5X0";;@SceneThere @ericsyuan @Janine_Pelosi @zoom_us;#XTC2019 #Productivity #VR;"1072919348644319232";https://twitter.com/ExTechChallenge/status/1072919348644319232
MrIgorKarpov;2018-10-25 07:53;3;2;"Many opportunities of #VR , #AR and #MR in media, retail, learning, marketing, health explored by Marcus Olsson @SceneThere @suNordic #SUnordic pic.twitter.com/BEP1bR6cQc";;@SceneThere @suNordic;#VR #AR #MR #SUnordic;"1055427187103416320";https://twitter.com/MrIgorKarpov/status/1055427187103416320
SceneThere;2018-10-08 13:14;0;2;"Congrats Varjo on the Series B! You're truly redefining reality and what "retina displays" mean ;-) https:// twitter.com/varjodotcom/st atus/1049180740016119809 …";;;;"1049347322201690112";https://twitter.com/SceneThere/status/1049347322201690112
SceneThere;2018-09-05 17:23;0;0;"SceneThere NRC interview: http:// youtu.be/0u8QjysXqs4?a via @YouTube";;@YouTube;;"1037451248713195520";https://twitter.com/SceneThere/status/1037451248713195520
devinsense;2018-09-04 08:39;0;2;"Cool! Soon to be announced OptiTrack Prime 17W MOCAP 3D demo center with Artec 3D scanners and VR and AR and Robotics and drones and medical simulators and some control theory lab equipment and 3D printer and workshop and... and... at our office in Järfälla! Stay tuned...";;;;"1036956900510838784";https://twitter.com/devinsense/status/1036956900510838784
fasttravelgames;2018-09-03 07:12;1;2;"See you tomorrow!";;;;"1036572666893950976";https://twitter.com/fasttravelgames/status/1036572666893950976
SceneThere;2018-09-03 05:12;0;0;"SceneThere is one of Sthlm VR-heroes :-) https:// twitter.com/immersivt/stat us/1036515871135604738 …";;;;"1036542474121093122";https://twitter.com/SceneThere/status/1036542474121093122
SceneThere;2018-09-03 05:09;0;0;"Great example on how to make a timeportal using interactive VR https:// twitter.com/techstil/statu s/1036541039941693440 …";;;;"1036541759499718656";https://twitter.com/SceneThere/status/1036541759499718656
SceneThere;2018-05-17 14:02;0;0;"We invite you to experience one of our most… https://www. instagram.com/p/Big1vqlniKS/ ?utm_source=ig_twitter_share&igshid=xacswip04cw5 …";;;;"997175417587908608";https://twitter.com/SceneThere/status/997175417587908608
katapultimpact;2018-05-16 08:39;0;2;"Thank you, Heidi! A pleasure having you at our Demo Day!";;;;"996731913086881792";https://twitter.com/katapultimpact/status/996731913086881792
SceneThere;2018-05-16 05:30;0;0;"SceneThere Pitch at Katapult DemoDay May 14th 2018: http:// youtu.be/aNxYkdvIOWc?a via @YouTube";;@YouTube;;"996684310399864832";https://twitter.com/SceneThere/status/996684310399864832
SceneThere;2018-05-16 05:02;0;0;"SceneThere Pitch at Katapult DemoDay: http:// youtu.be/ZyfUwQJEnB0?a via @YouTube";;@YouTube;;"996677367782432768";https://twitter.com/SceneThere/status/996677367782432768
saskiareus;2018-05-15 04:18;1;3;"Learn more about life in a refugee camp via VR. @SceneThere enables organizations to explain situations/settings with more dimension in an Affordable way #KFF18 pic.twitter.com/S2lTPJm2Jj";;@SceneThere;#KFF18;"996303730105561088";https://twitter.com/saskiareus/status/996303730105561088
explorecurate;2017-11-30 08:04;2;4;"Länka din #360video med andra för mer interaktivitet #slush17 #digitalainsikter #lrfmedia säger @SceneThere pic.twitter.com/wPbQ7crmYf";;@SceneThere;#360video #slush17 #digitalainsikter #lrfmedia;"936219437316956161";https://twitter.com/explorecurate/status/936219437316956161
SceneThere;2017-11-29 16:38;1;3;"Whoo hoo!!! SceneThere made it in today's SLUSH 100 pitch competition, and will pitch tomorrow in SLUSH 50! See you on Startup Station tomorrow at 14:55! https:// twitter.com/slushhq/status /935881912601726976 …";;;;"935986379779080193";https://twitter.com/SceneThere/status/935986379779080193
VRNET8;2017-11-29 10:07;0;0;"We look forward to seeing what @SceneThere are creating!";;@SceneThere;;"935888031772536840";https://twitter.com/VRNET8/status/935888031772536840
alexkazemir;2017-11-29 10:03;0;0;"yep, this is the future! #VR #technology #sourceangel";;;#VR #technology #sourceangel;"935886888732450818";https://twitter.com/alexkazemir/status/935886888732450818
