username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
selfhoodstudios;2018-08-28 04:00;0;1;"Winter is coming! Why not slide through it with style with your own beautifully branded merch? #Winter #Merch #Merchandise #Branding #Brand #Business #Marketing #Agency #London #Startup #Startups #Clothing #Umbrella #Clothes #Fashion pic.twitter.com/8vJXKrPMGG";;;#Winter #Merch #Merchandise #Branding #Brand #Business #Marketing #Agency #London #Startup #Startups #Clothing #Umbrella #Clothes #Fashion;"1034349905807073280";https://twitter.com/selfhoodstudios/status/1034349905807073280
selfhoodstudios;2018-08-21 03:50;0;0;"It's Friday, we're blasting out Aretha Franklin and we're feeling good. #CelebrateLife #ATributeToAQueen #RIP #QueenOfSoul pic.twitter.com/udTImtyKTo";;;#CelebrateLife #ATributeToAQueen #RIP #QueenOfSoul;"1031810661679095808";https://twitter.com/selfhoodstudios/status/1031810661679095808
selfhoodstudios;2018-08-14 03:50;0;1;"The key to a brilliant marketing strategy? Organisation. For that reason, we've created a social media marketing calendar for you lovely people & we've added it to the Selfhood Drive (psst it's free) http:// bit.ly/SelfhoodDrive #SocialMedia #Marketing #Tools #MarketingAgency pic.twitter.com/JKiN6rfNv9";;;#SocialMedia #Marketing #Tools #MarketingAgency;"1029273937216200705";https://twitter.com/selfhoodstudios/status/1029273937216200705
selfhoodstudios;2018-08-10 10:30;0;0;"Colour can sway thinking, change actions, and cause reactions. It can irritate or soothe your eyes, raise your blood pressure or suppress your appetite. #Colour #Design #GraphicDesign #Creative #Thought #Meaning #Power #Reaction #Wisdom #London #Agency #Create #Personality pic.twitter.com/K96KrrvPU6";;;#Colour #Design #GraphicDesign #Creative #Thought #Meaning #Power #Reaction #Wisdom #London #Agency #Create #Personality;"1027925126040436736";https://twitter.com/selfhoodstudios/status/1027925126040436736
selfhoodstudios;2018-08-09 10:10;1;1;"Everything you need to efficiently run your business, without the mess. Get in touch for more info. #Project #ProjectManagement #CRM #CRMSystem #ManagementTools #Tool #ManagementTool #SmallBusiness #Business #Agency #Startup #Startups #UKBusiness #Agency #Software #London pic.twitter.com/bdKLhPi2aZ";;;#Project #ProjectManagement #CRM #CRMSystem #ManagementTools #Tool #ManagementTool #SmallBusiness #Business #Agency #Startup #Startups #UKBusiness #Agency #Software #London;"1027557649188102145";https://twitter.com/selfhoodstudios/status/1027557649188102145
selfhoodstudios;2018-07-31 14:12;1;0;"Feel like your business's organisational skills are getting the better of you? Tidy up your business by managing your projects efficiently & effectively using Selfhood's Project Management Software - If you'd like more info just inbox us. #Project #Management #Software #CRM #Tool pic.twitter.com/TG2rmOTews";;;#Project #Management #Software #CRM #Tool;"1024357038430793728";https://twitter.com/selfhoodstudios/status/1024357038430793728
selfhoodstudios;2018-07-22 01:30;0;0;"Getting customers to your website is one thing, converting them once they're there is a whole different ballgame - step up yours with a truly engaging site . Get in touch http://www. selfhood-studios.com pic.twitter.com/QuzuHyRgbe";;;;"1020903848209256448";https://twitter.com/selfhoodstudios/status/1020903848209256448
selfhoodstudios;2018-07-19 10:01;0;1;"Curious about who we are and what we do? Why not have a flick through our digital brochure here http:// bit.ly/SelfhoodBrochu re … If you're looking for you're own beautifully designed #brochure for both #print & #digital get in touch. #GraphicDesign #Branding #Design #BrochureDesign pic.twitter.com/VNqpeDNiLm";;;#brochure #print #digital #GraphicDesign #Branding #Design #BrochureDesign;"1019945323274305536";https://twitter.com/selfhoodstudios/status/1019945323274305536
selfhoodstudios;2018-07-17 08:00;0;1;"If you're an influencer looking to get paid to work on #creative #campaigns with #brands that are a snug and contextual fit to your own - sign up to our #influencer programme http:// bit.ly/sh-influencer- signup … #InfluencerMarketing #Influencers #SocialMedia #DigitalAgency #Marketing pic.twitter.com/35BwE9HrzL";;;#creative #campaigns #brands #influencer #InfluencerMarketing #Influencers #SocialMedia #DigitalAgency #Marketing;"1019190047902523392";https://twitter.com/selfhoodstudios/status/1019190047902523392
selfhoodstudios;2018-06-20 10:17;0;0;"Put your feet up and have a coffee - we're here to cover all your design needs. #Coffee #Design #Designs #Agency #Digital #DigitalAgency #Creative #Create #CreativeAgency #Brand #Branding #BrandIdentity #Selfhood #Marketing #MarketingAgency #GraphicDesign #DesignWork #London pic.twitter.com/yXhdKPpn7t";;;#Coffee #Design #Designs #Agency #Digital #DigitalAgency #Creative #Create #CreativeAgency #Brand #Branding #BrandIdentity #Selfhood #Marketing #MarketingAgency #GraphicDesign #DesignWork #London;"1009440213263888385";https://twitter.com/selfhoodstudios/status/1009440213263888385
arete_tom;2018-04-17 04:23;0;1;"His policy is to ask for 2 sizes too small regardless of brand";;;;"986158215925780480";https://twitter.com/arete_tom/status/986158215925780480
Loners77;2018-04-17 04:22;0;1;"@ian_taplin may actually get a top that fits then.";;@ian_taplin;;"986158027337273345";https://twitter.com/Loners77/status/986158027337273345
MelanieAntao;2018-04-17 04:14;0;0;"@Platty87 is doing our #RedMist Touch tops for the spring & summer touch leagues. Maybe he can do yours Tappers...?";;@Platty87;#RedMist;"986155914913878017";https://twitter.com/MelanieAntao/status/986155914913878017
TKPhysPrep;2018-04-16 07:47;0;2;"Anybody know any good “How to Draw” YouTube pages";;;;"985847176768249856";https://twitter.com/TKPhysPrep/status/985847176768249856
AretePerform_HQ;2018-04-16 07:31;0;5;"You do look a bit like him... pic.twitter.com/j7enw07CC5";;;;"985842999346319361";https://twitter.com/AretePerform_HQ/status/985842999346319361
TKPhysPrep;2018-04-16 07:24;0;0;"";;;;"985841280205934592";https://twitter.com/TKPhysPrep/status/985841280205934592
Loners77;2018-04-16 07:19;0;0;"They call me the Monet of Essex. Loners + Monet = Lonet";;;;"985840204073365504";https://twitter.com/Loners77/status/985840204073365504
_emmauren;2018-04-16 06:36;0;1;"Game on";;;;"985829206423678976";https://twitter.com/_emmauren/status/985829206423678976
TKPhysPrep;2018-04-16 06:32;0;3;"You guys don’t stand a chance. Just so you know";;;;"985828251162554368";https://twitter.com/TKPhysPrep/status/985828251162554368
AretePerform_HQ;2018-04-16 06:29;0;5;"We’ll have a design competition between staff; starting now and ending end of next week. We’ll get the best design made. @Loners77 @mlamarqueSC @WalcottLue @CoachStuAim @WillPage14 @_emmauren @CharKeane9 @ian_taplin @selfhoodstudios @Andy_Kasper @AlexLundberg1 @Jhoneyben";;@Loners77 @mlamarqueSC @WalcottLue @CoachStuAim @WillPage14 @_emmauren @CharKeane9 @ian_taplin @selfhoodstudios @Andy_Kasper @AlexLundberg1 @Jhoneyben;;"985827514252742656";https://twitter.com/AretePerform_HQ/status/985827514252742656
