username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Ronald_vanLoon;2018-10-21 17:28;19;24;"The Most Important #MachineLearning Books by @semanti_ca | Read more at: http:// bit.ly/2RTwts5 #ML #DeepLearning #DL #BigData #Analytics #DataScience #AI #ArtificialIntelligence #DataMining #RT Cc: @iotwatch @raspberry_pi pic.twitter.com/lSxD5UOtH4";;@semanti_ca @iotwatch @raspberry_pi;#MachineLearning #ML #DeepLearning #DL #BigData #Analytics #DataScience #AI #ArtificialIntelligence #DataMining #RT;"1054122195977412608";https://twitter.com/Ronald_vanLoon/status/1054122195977412608
semanti_ca;2018-10-16 10:50;4;6;"Our new blog post: The Most Important Skills for a Data Scientist https:// semanti.ca/blog/?the-most -important-skills-for-a-data-scientist …";;;;"1052210235870457856";https://twitter.com/semanti_ca/status/1052210235870457856
MColebrook;2018-10-10 13:23;1;1;"Recommended IDE for #DataScientists and #MachineLearning Engineers https://www. semanti.ca/blog/?recommen ded-ide-for-data-scientists-and-machine-learning-engineers … by @semanti_ca #DataScience #BigData";;@semanti_ca;#DataScientists #MachineLearning #DataScience #BigData;"1050074396084330501";https://twitter.com/MColebrook/status/1050074396084330501
itznehamalik;2018-10-09 12:30;0;4;"Glossary of Machine Learning Terms via @semanti_ca https:// semanti.ca/blog/?glossary -of-machine-learning-terms …";;@semanti_ca;;"1049698589398560769";https://twitter.com/itznehamalik/status/1049698589398560769
AjitJaokar;2018-10-09 00:33;1;3;"great #AI #machinelearning glossary by @semanti_ca https:// semanti.ca/blog/?glossary -of-machine-learning-terms …";;@semanti_ca;#AI #machinelearning;"1049518192182419456";https://twitter.com/AjitJaokar/status/1049518192182419456
AMGAS14;2018-10-03 05:20;0;2;"Recommended IDE for Data Scientists and Machine Learning Engineers https:// semanti.ca/blog/?recommen ded-ide-for-data-scientists-and-machine-learning-engineers … by @semanti_ca";;@semanti_ca;;"1047416023408939008";https://twitter.com/AMGAS14/status/1047416023408939008
semanti_ca;2018-10-02 11:53;0;0;"Which one of the following is an algorithm, professor? Visualization and graphs? Game theory? Survival analysis? Experiment design? Data wrangling? Data architecture? Software engineering? Critical thinking? Business acumen? Communication?";;;;"1047152503459123200";https://twitter.com/semanti_ca/status/1047152503459123200
semanti_ca;2018-10-02 11:47;1;3;"Our new blog post: How to Get Your First Data Science Job https:// semanti.ca/blog/?how-to-g et-your-first-data-science-job …";;;;"1047151036845236224";https://twitter.com/semanti_ca/status/1047151036845236224
iamtheprof;2018-10-01 08:14;0;0;"None of the things mentioned in the article are skills. These are list of algorithms that one should be aware of.";;;;"1046735220483878912";https://twitter.com/iamtheprof/status/1046735220483878912
dataelixir;2018-09-30 17:42;0;5;"The Most Important Skills for a Data Scientist via @semanti_ca https:// datalxr.com/2xVoLo8";;@semanti_ca;;"1046515533280088064";https://twitter.com/dataelixir/status/1046515533280088064
SaraSaysData;2018-09-24 12:17;0;0;"As the manager of 4 data programs, ethics is central but missing from so many conversations. It's always "data quality" and "we should be using data more" but no talks about data ethics.";;;;"1044259446237659138";https://twitter.com/SaraSaysData/status/1044259446237659138
semanti_ca;2018-09-21 12:30;2;7;"Our new blog post: The Most Important Machine Learning Algorithms https:// semanti.ca/blog/?the-most -important-machine-learning-algorithms …";;;;"1043175766861725697";https://twitter.com/semanti_ca/status/1043175766861725697
GengoIt;2018-09-18 02:32;0;0;"The most important #machinelearning algorithms: pros & cons of the top 11 algorithms every machine learning engineer should know ///via @semanti_ca https:// buff.ly/2pe2rlD pic.twitter.com/2n9CdCIxY8";;@semanti_ca;#machinelearning;"1041938072840093696";https://twitter.com/GengoIt/status/1041938072840093696
semanti_ca;2018-09-11 14:00;1;1;"Our new blog post: Data Science Work Productivity Tips & Tricks https:// semanti.ca/blog/?data-sci ence-work-productivity …";;;;"1039574427137187840";https://twitter.com/semanti_ca/status/1039574427137187840
iamnikhiljain;2018-09-10 16:21;2;1;"Wok productivity hacks @semanti_ca #DataScience #MachineLearning https://www. semanti.ca/blog/?data-sci ence-work-productivity …";;@semanti_ca;#DataScience #MachineLearning;"1039247419114962945";https://twitter.com/iamnikhiljain/status/1039247419114962945
bobehayes;2018-09-07 07:30;0;3;"The Most Important #MachineLearning #Algorithms @semanti_ca https:// semanti.ca/blog/?the-most -important-machine-learning-algorithms …";;@semanti_ca;#MachineLearning #Algorithms;"1038026713014435840";https://twitter.com/bobehayes/status/1038026713014435840
semanti_ca;2018-09-06 10:26;1;4;"Our new blog post: Big O Notation, How it Works and What It's Used For https:// semanti.ca/blog/?big-o";;;;"1037708588205174785";https://twitter.com/semanti_ca/status/1037708588205174785
semanti_ca;2018-09-03 14:47;2;1;"Our new blog post: What Machine Learning Can Do https:// semanti.ca/blog/?what-mac hine-learning-can-do …";;;;"1036687199755010048";https://twitter.com/semanti_ca/status/1036687199755010048
semanti_ca;2018-08-29 00:41;1;1;"Our new blog post: How do Machines Learn https:// semanti.ca/blog/?how-do-m achines-learn …";;;;"1034662362295529472";https://twitter.com/semanti_ca/status/1034662362295529472
semanti_ca;2018-08-27 15:53;1;1;"We are featured at @ProductHunt https://www. producthunt.com/posts/semanti- ca …";;@ProductHunt;;"1034167031480967171";https://twitter.com/semanti_ca/status/1034167031480967171
semanti_ca;2018-08-23 02:31;2;4;"Our new blog post: Modern AI for Executives https:// semanti.ca/blog/?modern-a i-for-executives …";;;;"1032515532791197696";https://twitter.com/semanti_ca/status/1032515532791197696
earlistco;2018-08-21 10:24;0;1;"you can also share your startup on Earlist http:// earlist.xyz";;;;"1031909968495210496";https://twitter.com/earlistco/status/1031909968495210496
earlistco;2018-08-21 10:24;0;1;"@semanti_ca hey! You can share your startup on Earlist http:// earlist.xyz";;@semanti_ca;;"1031909861146198016";https://twitter.com/earlistco/status/1031909861146198016
semanti_ca;2018-08-20 21:10;0;0;"Thank you! We added our company to your database. Please confirm that everything is fine.";;;;"1031710077835718656";https://twitter.com/semanti_ca/status/1031710077835718656
