username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bjaycee;2018-12-30 01:44;1;2;"MANY THANKS @Loverfriends5 @7541ankit @silver_blog @healthyhuman10 @kanzyltd @sensifai @pihu2a @MarySmi57069890 @smartgiryh @CulturedRuffian @RantMan_UK @DeniGayle @ASFAFitness @thefabulousmack";;@Loverfriends5 @7541ankit @silver_blog @healthyhuman10 @kanzyltd @sensifai @pihu2a @MarySmi57069890 @smartgiryh @CulturedRuffian @RantMan_UK @DeniGayle @ASFAFitness @thefabulousmack;;"1079266911127552006";https://twitter.com/bjaycee/status/1079266911127552006
Lisapatb;2018-12-29 07:21;0;0;"Hey @sensifai , Thank you for the follow!";;@sensifai;;"1078989401873616896";https://twitter.com/Lisapatb/status/1078989401873616896
JWSebayTreasure;2018-12-28 16:37;2;3;"#FollowFriday @shopblingyes @craftydesigns01 @art332277 @PrairieGrit @NickAlanArt @Tchasz1 @JamesCorneille @sensifai @SmthnglikeKites @OctopusConnect1 @BCsBargainBin";;@shopblingyes @craftydesigns01 @art332277 @PrairieGrit @NickAlanArt @Tchasz1 @JamesCorneille @sensifai @SmthnglikeKites @OctopusConnect1 @BCsBargainBin;#FollowFriday;"1078767025185525763";https://twitter.com/JWSebayTreasure/status/1078767025185525763
GetYSO_Now;2018-12-23 18:53;0;0;"Hi @sensifai thanks so much for the #follow";;@sensifai;#follow;"1076989240997756929";https://twitter.com/GetYSO_Now/status/1076989240997756929
Saljo11;2018-12-23 04:55;0;0;"Hey Sensifai( @sensifai ), thank you for following me";;@sensifai;;"1076778307356688389";https://twitter.com/Saljo11/status/1076778307356688389
AdventComics;2018-12-20 07:27;0;0;"@sensifai Thanks for following and welcome to the Advent Universe!";;@sensifai;;"1075729494378450946";https://twitter.com/AdventComics/status/1075729494378450946
WPandUP;2018-12-20 05:53;0;0;"@sensifai thanks for the follow, Sensifai & have a great Thursday!";;@sensifai;;"1075705817087787008";https://twitter.com/WPandUP/status/1075705817087787008
freelance_dog;2018-12-18 13:27;0;0;"@sensifai thanks for the follow, Sensifai & have a great Tuesday!";;@sensifai;;"1075095191663595521";https://twitter.com/freelance_dog/status/1075095191663595521
RYLTY1;2018-12-16 11:27;0;0;"Fuck You, Fuck Ya Company & Fuck What You Stand For !!! @sensifai Please Unfollow !!!";;@sensifai;;"1074340282806792193";https://twitter.com/RYLTY1/status/1074340282806792193
sensifai;2018-12-13 05:36;0;0;"Unfortunately, the startup ecosystem here in Belgium is not vibrant!";;;;"1073164659014930432";https://twitter.com/sensifai/status/1073164659014930432
DigitalHealthBE;2018-12-10 11:26;0;1;"@sensifai Thanks for following us! Do you feel Belgium is sufficiently supporting healthcare entrepreneurs?";;@sensifai;;"1072165669666459650";https://twitter.com/DigitalHealthBE/status/1072165669666459650
sensifai;2018-12-03 14:20;19;37;"World's first customizable video recognition system is released by Sensifai in cooperation with AWS Sagemaker. The launch of this platform and AWS marketplace for machine learning is announced during AWS re:Invent 2018. https:// goo.gl/yBtewd #sensifai #ArtificialIntelligence pic.twitter.com/wOEXjqFjS5";;;#sensifai #ArtificialIntelligence;"1069672776787783680";https://twitter.com/sensifai/status/1069672776787783680
sensifai;2018-11-27 07:22;5;19;"Sensifai is among the champions of Europe winning the SME Instrument grant (phase 1) from the @EU_Commission . We are very much looking forward to apply for phase 2. https:// goo.gl/Mrwdrr #grants #sensifai #technology #artificialintelligence pic.twitter.com/T8KDHywdpE";;@EU_Commission;#grants #sensifai #technology #artificialintelligence;"1067393316571029505";https://twitter.com/sensifai/status/1067393316571029505
sensifai;2018-11-19 03:43;6;19;"Sensifai opened an office in China to further expand in Asia’s largest market. Vibrant startup ecosystem of China provides many opportunities to apply Sensifai’s video recognition system and experience a fast expansion in Asia. https:// goo.gl/4CkgvW #Sensifai #AI pic.twitter.com/DSrUgv1o7l";;;#Sensifai #AI;"1064438905074827264";https://twitter.com/sensifai/status/1064438905074827264
sensifai;2018-11-17 04:14;6;14;"Sensifai won the International Universities Innovation Alliance (IUIA) award 2018 for offering the most comprehensive video recognition system that organized by a Chinese establishment focusing on connecting promising startups across the globe to the Chinese vibrant ecosystem #AI pic.twitter.com/6L3tcCNrYG";;;#AI;"1063721923128033285";https://twitter.com/sensifai/status/1063721923128033285
sensifai;2018-11-17 03:08;5;17;"Sensifai joined the Intel AI Builders program to benchmark Intel AI hardware in automatic video recognition. Through this program different enterprise customers can use the result of the so called Intel AI Builders as a one-stop shop to find optimized AI solutions #Sensifai #AI pic.twitter.com/1TJajJ8tfc";;;#Sensifai #AI;"1063705497134669824";https://twitter.com/sensifai/status/1063705497134669824
Pioneers;2018-11-13 11:02;2;4;"Congrats to the 24 startups joining the @airbusbizlab accelerator after some amazing bootcamp sessions all over the world! @AVEworld @the_indieGo @sensifai @ModularityGrid @HumanisingAuto @BoniGlobal @UrbanDataEye @recogn_ai @botslovers @Unblurco http:// bit.ly/AirbusBizLabWin https:// twitter.com/airbusbizlab/s tatus/1062029937199235073 …";;@airbusbizlab @AVEworld @the_indieGo @sensifai @ModularityGrid @HumanisingAuto @BoniGlobal @UrbanDataEye @recogn_ai @botslovers @Unblurco;;"1062375260199227392";https://twitter.com/Pioneers/status/1062375260199227392
ConnorPM;2018-11-11 13:07;3;10;"Trained on 10m+ hrs of data with a model that combines the context of audio and video, @sensifai goes beyond anything else in the market today in terms of context and accuracy! If you need to understand or leverage video then start here /cc @Softcube_video @weview https:// twitter.com/sensifai/statu s/1061558939479891973 …";;@sensifai @Softcube_video @weview;;"1061681773027962880";https://twitter.com/ConnorPM/status/1061681773027962880
sensifai;2018-11-11 04:59;4;8;"Sensifai is now live on Amazon Web Services! You may subscribe and check the amazing accuracy of the world’s most comprehensive video recognition technology! https:// goo.gl/pRuWUw #sensifai #ArtificialIntelligence #Amazon pic.twitter.com/hSNeIBYiBL";;;#sensifai #ArtificialIntelligence #Amazon;"1061558939479891973";https://twitter.com/sensifai/status/1061558939479891973
SimonDWVLEVA;2018-10-29 10:00;3;11;"Proficiat aan de Vlaamse KMO's die steun hebben ontvangen via @H2020SME : @VeldemanGroup , @cvtrust , @sensifai & @geckomatics https:// twitter.com/EU_Commission/ status/1056873579638386689 …";;@H2020SME @VeldemanGroup @cvtrust @sensifai @geckomatics;;"1056908646452465665";https://twitter.com/SimonDWVLEVA/status/1056908646452465665
Mariecurie_alum;2018-10-29 09:45;5;12;"We are so proud of all our Members' achievements! Discover and get inspired by two of them: @sensifai , one of Europe’s top #startups , and @scilifelab , Sweden's largest single investment in life sciences https:// bit.ly/2OWDVVp pic.twitter.com/71gVLSFpx6";;@sensifai @scilifelab;#startups;"1056904740150247425";https://twitter.com/Mariecurie_alum/status/1056904740150247425
sensifai;2018-10-15 13:12;1;10;"Sensifai is featured in 2018 @MediaNxtNH Report (Published by Syracuse University) as a compelling startup in video recognition. Out of the 35 startups highlighted in 2017 Media-Nxt, three were acquired and 11 others received significant follow-on funding, totaling $74 million.";;@MediaNxtNH;;"1051883430546411522";https://twitter.com/sensifai/status/1051883430546411522
avinaba_mitra;2018-10-15 09:23;0;2;"It develops cutting-edge deep learning technologies to recognize video semantics automatically for large-scale multimedia management @sensifai Can your startup hit the home page of http:// BetaPage.co";;@sensifai;;"1051825862604025861";https://twitter.com/avinaba_mitra/status/1051825862604025861
Mariecurie_alum;2018-10-15 03:00;6;8;"We are so proud of our Members' achievements! Discover @sensifai , one of Europe’s top #startups , and @mig__ART , a platform for #migration #activism , in our latest newsletter https:// bit.ly/2NjuYQ9 pic.twitter.com/N1dtPJ31ua";;@sensifai @mig__ART;#startups #migration #activism;"1051729399278637057";https://twitter.com/Mariecurie_alum/status/1051729399278637057
MediaNxtNH;2018-09-13 10:00;3;2;"Congratulations, @sensifai You were named a media tech startup to watch in the 2018 Media-Nxt Report ( http:// media-nxt.org/2018-report/ ) from @NewhouseSU #MediaNxtStartups";;@sensifai @NewhouseSU;#MediaNxtStartups;"1040238680185528322";https://twitter.com/MediaNxtNH/status/1040238680185528322
iHaqi_;2018-09-10 15:28;0;1;"Congrats!";;;;"1039234289941049344";https://twitter.com/iHaqi_/status/1039234289941049344
Pioneers;2018-08-28 11:05;2;6;"Here we go kicking off the international bootcamp tour with @airbusbizlab - get set for 4 cities in 3 weeks! @AmpyxPower @BoniGlobal @EvertrackerCOM @HumanisingAuto @innosepgmbh @matchx_iot @ModularityGrid @sensifai @soundreply pic.twitter.com/wNc70q3Rcw";;@airbusbizlab @AmpyxPower @BoniGlobal @EvertrackerCOM @HumanisingAuto @innosepgmbh @matchx_iot @ModularityGrid @sensifai @soundreply;;"1034456828158111746";https://twitter.com/Pioneers/status/1034456828158111746
digityser;2018-04-04 11:39;0;0;"Congratulations!";;;;"981556859504128001";https://twitter.com/digityser/status/981556859504128001
