username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GetSenstone;2018-12-27 14:54;1;1;"Are you a #blogger discovering new #places and wanting to document your experience? Take #notes in seconds with Senstone. It has been designed specifically to keep track of details in any situation. You can even capture an #impromptu #interview with someone anywhere you are. pic.twitter.com/nJcGb6YnM5";;;#blogger #places #notes #impromptu #interview;"1078378515312070656";https://twitter.com/GetSenstone/status/1078378515312070656
asokan_telecom;2018-12-26 02:09;0;0;"You may use your #voiceassistant to perform simple tasks like playing music or turning on lights; however, there’s so much more that it can do. https:// hubs.ly/H0f_tT80 @shirazdatta @letsmakecore @Valent1Bouttiau @VoiceAssist @GetSenstone @jplorre @agarwal_shobhit @AnthonyGourraud";;@shirazdatta @letsmakecore @Valent1Bouttiau @VoiceAssist @GetSenstone @jplorre @agarwal_shobhit @AnthonyGourraud;#voiceassistant;"1077823651939008512";https://twitter.com/asokan_telecom/status/1077823651939008512
Darcy1968;2018-12-23 00:04;0;2;"Email from @GetSenstone saying that the promised date (by 30th November) has now become he second half of January for the app. The delays have just been too long but that's not the real issue. We are all sick of promised dates that never eventuate. ping @kickstarter";;@GetSenstone @kickstarter;;"1076704987789443076";https://twitter.com/Darcy1968/status/1076704987789443076
SawlLawGroup;2018-12-20 14:28;0;3;"Thanks for the mentions, RTs, favs and following! Enjoy the rest of your week @dressingstylee_ @ClearrockE @gcfirefootball @GetSenstone @MarceloDietrich @RoboTeknikTR @Julie_romo53 @jellsmoor @MariaDiGiacom10 @Merced_Calif @CentralValleyGJ @riker17";;@dressingstylee_ @ClearrockE @gcfirefootball @GetSenstone @MarceloDietrich @RoboTeknikTR @Julie_romo53 @jellsmoor @MariaDiGiacom10 @Merced_Calif @CentralValleyGJ @riker17;;"1075835303288561664";https://twitter.com/SawlLawGroup/status/1075835303288561664
espineira;2018-12-19 22:41;0;1;"Without the app available, this is just a beautiful paperweight. I've being a huge fan but come on guys, please give us an update on the availability of Senstone app on iOS and Android.";;;;"1075596920410693632";https://twitter.com/espineira/status/1075596920410693632
Ultamodan;2018-12-19 17:58;0;0;"@rockmusic74 @dancepop90 @GetSenstone #ShoutOutWednesday XX";;@rockmusic74 @dancepop90 @GetSenstone;#ShoutOutWednesday;"1075525816119906304";https://twitter.com/Ultamodan/status/1075525816119906304
CohortTechComm;2018-12-19 14:57;0;0;"Hey @GetSenstone , Thank you for the follow!";;@GetSenstone;;"1075480254804844544";https://twitter.com/CohortTechComm/status/1075480254804844544
GetSenstone;2018-12-19 14:13;1;2;"“One of the world’s smallest #wearables - and perhaps one of the #most #useful ” - #Business #Insider pic.twitter.com/TgjZGuWUPU";;;#wearables #most #useful #Business #Insider;"1075469115635261441";https://twitter.com/GetSenstone/status/1075469115635261441
Darcy1968;2018-12-19 13:39;0;0;"I have now had my greatly delayed @GetSenstone for a month but cannot use it as the app is not yet approved. You gave a date in November, then the 17th December but whhooooosshhh they have both gone by with no news. When with the device be able to function? @kickstarter pic.twitter.com/eGUj3Uagjm";;@GetSenstone @kickstarter;;"1075460716465774592";https://twitter.com/Darcy1968/status/1075460716465774592
asokan_telecom;2018-12-18 05:37;0;2;"You may use your #voiceassistant to perform simple tasks like playing music or turning on lights; however, there’s so much more that it can do. https:// hubs.ly/H0fX-sv0 @shirazdatta @letsmakecore @Valent1Bouttiau @VoiceAssist @GetSenstone @jplorre @agarwal_shobhit @AnthonyGourraud";;@shirazdatta @letsmakecore @Valent1Bouttiau @VoiceAssist @GetSenstone @jplorre @agarwal_shobhit @AnthonyGourraud;#voiceassistant;"1074976891625447424";https://twitter.com/asokan_telecom/status/1074976891625447424
espineira;2018-12-13 14:55;0;1;"We need the app!";;;;"1073305371484147713";https://twitter.com/espineira/status/1073305371484147713
GetSenstone;2018-12-13 14:47;1;2;"Being able to take #notes on the go is #critical — be it your personal #goals , your breakthrough ideas or your travel journal. This is why the world’s greatest writers, and visionaries kept #notebooks to document their #ideas . Collect all your ideas and #thoughts with #Senstone . pic.twitter.com/gZB93pWaFA";;;#notes #critical #goals #notebooks #ideas #thoughts #Senstone;"1073303512048644096";https://twitter.com/GetSenstone/status/1073303512048644096
Darcy1968;2018-12-11 07:22;0;0;"Please @GetSenstone can you update your @kickstarter supporters about when the app will be available? #whoosh";;@GetSenstone @kickstarter;#whoosh;"1072466753328959489";https://twitter.com/Darcy1968/status/1072466753328959489
PDFStreaming;2018-12-09 04:47;0;0;"@GetSenstone - Thanks for following us, Happy Holidays View our Professional Logo Designs Here: https:// youtu.be/PVxeyK_5q6c Have a wonderful day!";;@GetSenstone;;"1071702947094904832";https://twitter.com/PDFStreaming/status/1071702947094904832
clingmusic;2018-12-08 09:26;0;0;"@GetSenstone Hi nice to meet you thank you for following - we hope you enjoy what you find here, and like being part of this community -Welcome https:// youtu.be/dqZ3VpnI1I8 #nowplaying";;@GetSenstone;#nowplaying;"1071410661308035072";https://twitter.com/clingmusic/status/1071410661308035072
GetSenstone;2018-12-06 14:28;2;5;"Something different this #time around!! #Senstone will provide a raffle prize at @SiliconHBO @telecomcouncil in San Jose and will #present at the #venue ! We #wish great end of #year #event to everyone! pic.twitter.com/EmonBKMsD6";;@SiliconHBO @telecomcouncil;#time #Senstone #present #venue #wish #year #event;"1070761928493096965";https://twitter.com/GetSenstone/status/1070761928493096965
Darcy1968;2018-12-06 13:22;0;0;"@GetSenstone Another week?";;@GetSenstone;;"1070745351559118848";https://twitter.com/Darcy1968/status/1070745351559118848
tinawhitfield;2018-12-05 20:25;0;3;"Join http:// Senstone.io Thursday 12/6 when we give the gift of a Senstone S2T + Service @Silicon Valley @telecomcouncil Year-end Celebration. Register here: http:// bit.ly/2UkEpnt Learn more about @GetSenstone #VentureCapital #angelinvestors #voice #AI #productivity pic.twitter.com/xLGe5ULVnW";;@Silicon @telecomcouncil @GetSenstone;#VentureCapital #angelinvestors #voice #AI #productivity;"1070489299424964608";https://twitter.com/tinawhitfield/status/1070489299424964608
montero_pt;2018-12-05 05:43;0;1;"Hey Senstone( @GetSenstone ), thank you for following me";;@GetSenstone;;"1070267359905099776";https://twitter.com/montero_pt/status/1070267359905099776
jillbow65;2018-12-04 15:52;0;1;"#SO @GetSenstone HI Thanks for the follow";;@GetSenstone;#SO;"1070058176375152640";https://twitter.com/jillbow65/status/1070058176375152640
GetSenstone;2018-12-04 15:29;0;1;"“Eat a live frog first thing in the #morning and nothing worse will happen to you the rest of the #day .”― #Mark #Twain It means do the most difficult thing at first. If you make it a #habbit you’ll get more done than you’ve ever had before. pic.twitter.com/eoreSYhXVE";;;#morning #day #Mark #Twain #habbit;"1070052431332028424";https://twitter.com/GetSenstone/status/1070052431332028424
