username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sketchar_tech;2018-12-26 15:38;0;0;"Bye, 2018: the greatest things that hit us this year! #SketchAR #AR #AugmentedReality #2018 https:// medium.com/sketchar/bye-2 018-the-greatest-things-that-hit-us-this-year-2161df5673db …";;;#SketchAR #AR #AugmentedReality #2018;"1078027322274598915";https://twitter.com/sketchar_tech/status/1078027322274598915
sketchar_tech;2018-12-19 05:18;0;0;"The SketchAR app – How to use augmented reality to paint on the ground. ARCore: http:// youtu.be/WEw2uurIC-Q?a via @YouTube";;@YouTube;;"1075334510034616321";https://twitter.com/sketchar_tech/status/1075334510034616321
sketchar_tech;2018-12-16 09:04;0;0;"The Grinch 2018 premiere. SketchAR live drawing area using Hololens. Paris, France.: http:// youtu.be/x5S7dBELunE?a via @YouTube";;@YouTube;;"1074304356835618816";https://twitter.com/sketchar_tech/status/1074304356835618816
sketchar_tech;2018-12-14 06:13;0;1;"New #Huawei HiAI Partnership with #SketchAR brings a better #AI Drawing experience. https:// consumer.huawei.com/en/press/news/ 2018/new-huawei-hiai-partnership-with-sketchar/?fbclid=IwAR11oni0rGdJdReOPgnAq8PqXUJEOMXq3W9xXa_a91aHiezLetoFE5GYils …";;;#Huawei #SketchAR #AI;"1073536367643254785";https://twitter.com/sketchar_tech/status/1073536367643254785
sketchar_tech;2018-12-14 04:20;0;1;"Looks great! Keep going!";;;;"1073508121123917825";https://twitter.com/sketchar_tech/status/1073508121123917825
sketchar_tech;2018-12-06 04:11;0;0;"How to use augmented reality to create modern art? Founder of SketchAR Andrey @andreyadno painted using Hololens glasses. https://www. instagram.com/p/BrClWXeAZ7M/ ?utm_source=ig_twitter_share&igshid=ebs9uhcajpt8 …";;@andreyadno;;"1070606558713798658";https://twitter.com/sketchar_tech/status/1070606558713798658
sketchar_tech;2018-12-04 06:01;1;1;"Our CTO and co-founder, Alexander Danilin ( @sasha_good ), held a speech in Guangzhou at the 2nd International Conference and Exhibition on AR/VR Industry 2018. https:// medium.com/sketchar/guang zhou-2018-the-2nd-international-conference-and-exhibition-on-ar-vr-industry-report-43d46b4998ea … pic.twitter.com/rpcTZumgHq";;@sasha_good;;"1069909527573749760";https://twitter.com/sketchar_tech/status/1069909527573749760
sketchar_tech;2018-11-30 05:03;1;2;"Aleksandr Danilin ( @sasha_good ), co-founder and CTO of #SketchAR as a speaker at the 2nd International Conference and Exhibition on #AR / #VR Industry in Guangzhou, China. Nov, 30-Dec1. pic.twitter.com/i3XJIE9rci";;@sasha_good;#SketchAR #AR #VR;"1068445297934827520";https://twitter.com/sketchar_tech/status/1068445297934827520
sketchar_tech;2018-11-29 14:13;0;0;"Have you tried to draw #TheGrinch ? If no, check out a branded category in the #SketchAR app and draw it using #augmentedreality ! https://www. instagram.com/p/Bqxk51xg9cK/ ?utm_source=ig_twitter_share&igshid=1xd03twwkyfrf …";;;#TheGrinch #SketchAR #augmentedreality;"1068221554742435840";https://twitter.com/sketchar_tech/status/1068221554742435840
sasha_good;2018-11-23 02:12;0;1;"@sketchar_tech at the #HCE2018 . #huawei #sketchar #partnership #ar #augmentedreality https:// twitter.com/Huawei/status/ 1063348440539652096 …";;@sketchar_tech;#HCE2018 #huawei #sketchar #partnership #ar #augmentedreality;"1065865771396419584";https://twitter.com/sasha_good/status/1065865771396419584
sketchar_tech;2018-11-22 04:50;0;1;"It's a good point! Thank you!";;;;"1065543100460863488";https://twitter.com/sketchar_tech/status/1065543100460863488
