username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
skillate10;2018-10-11 10:46;1;6;"At the #MorganStanley CTO Innovation Summit #HRTech #Recruitment #startup pic.twitter.com/JIhGU9ijHp";;;#MorganStanley #HRTech #Recruitment #startup;"1050397293898162176";https://twitter.com/skillate10/status/1050397293898162176
skillate10;2018-08-11 06:43;4;10;"Thanks @SAPStartupStudi for being a great platform http:// ecoti.in/wylscZ via @economictimes";;@SAPStartupStudi @economictimes;;"1028230453264834560";https://twitter.com/skillate10/status/1028230453264834560
anzieee;2018-07-19 21:47;6;26;"It was our pleasure to host @ChrstnKlein @dilipkhandelwa and the leadership team at @SAPStartupStudi it’s through these conversations that we enable our startup’s build the next big thing. @saplabsindia @datoin_com @skillate10 @TagBox_in pic.twitter.com/AS2l4SbuBY";;@ChrstnKlein @dilipkhandelwa @SAPStartupStudi @saplabsindia @datoin_com @skillate10 @TagBox_in;;"1020122918783672320";https://twitter.com/anzieee/status/1020122918783672320
SAPStartupStudi;2018-07-18 02:07;6;16;"Hearing out the #Innovation Stories @SAPStartupStudi . @ChrstnKlein interacting with founders from @datoin_com , @skillate10 , @TagBox_in , @YellowMssngrAI pic.twitter.com/h9tK0Xymdd";;@SAPStartupStudi @ChrstnKlein @datoin_com @skillate10 @TagBox_in @YellowMssngrAI;#Innovation;"1019463648404631552";https://twitter.com/SAPStartupStudi/status/1019463648404631552
Analyticsindiam;2018-05-14 08:00;2;2;"Bipul Vaibhav, CEO of @skillate10 shares the technology they use and the journey so far https:// analyticsindiamag.com/bengaluru-base d-recruitment-platform-skillate-reduces-hiring-time-by-50-using-nlp-deep-learning/ …";;@skillate10;;"995997208716763141";https://twitter.com/Analyticsindiam/status/995997208716763141
skillate10;2018-04-26 07:18;1;5;"Bipul Vaibhav, CoFounder and CEO, addressing the wonderful folks of SAP India in its "Innovation Club" on the potential of AI-ML and how Skillate is creating impact in the HR space. Thanks Ravi Pandey, Praveen gupta, Shubham Srivastava for organizing the session. pic.twitter.com/KZmBAJ9Fhq";;;;"989463807822123008";https://twitter.com/skillate10/status/989463807822123008
avinaba_mitra;2018-04-24 08:11;0;0;"It is an online platform which simplifies hiring by leveraging artificial intelligence and deep learning @skillate10 Can your startup hit the home page of http:// BetaPage.co";;@skillate10;;"988752405507461121";https://twitter.com/avinaba_mitra/status/988752405507461121
skillate10;2018-04-04 07:14;0;3;"It was great interacting with @dilipkhandelwa Thanks for your valuable feedback. @SAPStartupStudi @saplabsindia https:// twitter.com/SAPStartupStud i/status/981469399193300994 …";;@dilipkhandelwa @SAPStartupStudi @saplabsindia;;"981490114202341376";https://twitter.com/skillate10/status/981490114202341376
SAPStartupStudi;2018-02-22 05:50;9;10;"Thank you #Julien Hautiere-Rey , Deputy CEO @SBILife and team for the inspiring conversation with @SAPStartupStudi founders. @appsflyio @entropiktech @skillate10 @YellowMssngr #PotentialSynergies pic.twitter.com/IkUdNumr3f";;@SBILife @SAPStartupStudi @appsflyio @entropiktech @skillate10 @YellowMssngr;#Julien #PotentialSynergies;"966626338164547584";https://twitter.com/SAPStartupStudi/status/966626338164547584
SAPStartupStudi;2018-02-21 04:24;4;12;"Thanks to #AtulJayawant , Grp CIO @AdityaBirlaGrp and the team for the engaging interaction with founders @SAPStartupStudi . @TagBox_in , @skillate10 , @ArkRobot , @InstaFinancials , @appsflyio , #eNexl pic.twitter.com/FCBhJy8R2i";;@AdityaBirlaGrp @SAPStartupStudi @TagBox_in @skillate10 @ArkRobot @InstaFinancials @appsflyio;#AtulJayawant #eNexl;"966242192883724288";https://twitter.com/SAPStartupStudi/status/966242192883724288
earlypad;2018-02-02 05:30;0;0;"#AI -based #HRTech #startup @skillate10 has raised an undisclosed amount of #funding from Incubate Fund India, and Industry expert and Director of Zyoin, Anuj Agrawal, https:// goo.gl/2H9cus";;@skillate10;#AI #HRTech #startup #funding;"959373381421367298";https://twitter.com/earlypad/status/959373381421367298
Inc42;2018-01-27 01:43;4;4;"Missed any funding news from past week? Read the story below ↓ cc: @HungerBoxApp @optacredit @skillate10 @HelloMilkbasket @GreyAtom_School @AeonLearning @Paymatrix_India @ZiffyHomes @advantageclub @WealthTrust https:// inc42.com/buzz/indian-st artup-funding-035/?utm_source=twitter&utm_medium=social&utm_campaign=organic …";;@HungerBoxApp @optacredit @skillate10 @HelloMilkbasket @GreyAtom_School @AeonLearning @Paymatrix_India @ZiffyHomes @advantageclub @WealthTrust;;"957141924703383552";https://twitter.com/Inc42/status/957141924703383552
Analyticsindiam;2018-01-23 05:30;0;0;". @skillate10 is the newest AI startup in town to get funded http:// owl.li/rsTf30hWxTS";;@skillate10;;"955749548105895936";https://twitter.com/Analyticsindiam/status/955749548105895936
crunchbase;2018-01-22 14:41;0;0;"Investor of the Day: @nao_IFI / @incubatecamp back AI hiring platform @skillate10 #dailyvc https:// buff.ly/2DtJkK0 pic.twitter.com/oijymtpqKU";;@nao_IFI @incubatecamp @skillate10;#dailyvc;"955525742900711426";https://twitter.com/crunchbase/status/955525742900711426
shraddhanjali_r;2018-01-22 11:50;0;6;"Well done team ! Very proud of you";;;;"955482701737336832";https://twitter.com/shraddhanjali_r/status/955482701737336832
anzieee;2018-01-22 05:56;0;3;"Congrats @skillate10 @saplabsindia https:// twitter.com/sapstartupstud i/status/955354169984008193 …";;@skillate10 @saplabsindia;;"955393727278743552";https://twitter.com/anzieee/status/955393727278743552
Inc42;2018-01-22 05:44;0;0;"Always a pleasure to highlight the stories of innovative companies. :)";;;;"955390717144150016";https://twitter.com/Inc42/status/955390717144150016
skillate10;2018-01-22 03:20;1;7;"Thanks @Inc42 for covering us today! #AI #Recruitment #startup https:// inc42.com/buzz/ai-hrtech -startup-skillate-funding/ …";;@Inc42;#AI #Recruitment #startup;"955354430764756992";https://twitter.com/skillate10/status/955354430764756992
SAPStartupStudi;2018-01-22 03:19;2;12;"Inspiring read on how @skillate10 is redefining the hiring space by leveraging #AI . @SAPStartupStudi member @saplabsindia #HRTech https:// inc42.com/buzz/ai-hrtech -startup-skillate-funding/ …";;@skillate10 @SAPStartupStudi @saplabsindia;#AI #HRTech;"955354169984008193";https://twitter.com/SAPStartupStudi/status/955354169984008193
earlypad;2018-01-22 02:32;2;2;"#AI -based #HRTech #startup @skillate10 has raised an undisclosed amount of #funding from Incubate Fund India, and Industry expert and Director of Zyoin, Anuj Agrawal, https:// goo.gl/2H9cus #earlybits pic.twitter.com/NStQwIsDnF";;@skillate10;#AI #HRTech #startup #funding #earlybits;"955342478596386817";https://twitter.com/earlypad/status/955342478596386817
CutshortHQ;2018-01-03 03:32;0;0;"Need a bigger team @skillate10 ? Use AI to hire the right startup talent: https:// goo.gl/MfQQjo";;@skillate10;;"948472055166480384";https://twitter.com/CutshortHQ/status/948472055166480384
SAPStartupStudi;2017-11-21 00:34;9;17;"A big thank you to @GodrejGroup for visiting us and inspiring our startups @saplabsindia @entropiktech @skillate10 @datoin_com pic.twitter.com/pHuiOpCQa6";;@GodrejGroup @saplabsindia @entropiktech @skillate10 @datoin_com;;"932844613605367808";https://twitter.com/SAPStartupStudi/status/932844613605367808
SAPStartupStudi;2017-11-21 00:16;11;18;"Demos with an #Impact . @SAPStartupStudi members @datoin_com @entropiktech @skillate10 showcasing innovations to CIO delegation from @GodrejGroup pic.twitter.com/qEiiRqus2J";;@SAPStartupStudi @datoin_com @entropiktech @skillate10 @GodrejGroup;#Impact;"932840030661414913";https://twitter.com/SAPStartupStudi/status/932840030661414913
anzieee;2017-11-20 23:45;7;11;"Pleased to host #Godrej Consumer Products division at @SAPStartupStudi @saplabsindia @entropiktech @skillate10 @Justinpaul87 pic.twitter.com/0M6fm1C95c";;@SAPStartupStudi @saplabsindia @entropiktech @skillate10 @Justinpaul87;#Godrej;"932832192413265920";https://twitter.com/anzieee/status/932832192413265920
GautamGhosh;2017-09-29 08:19;1;0;"#ArtificialIntelligence implications for #recruitment by @anandkishu co-founder of @skillate10 #HRTech https:// twitter.com/SriramVSharma/ status/913738084671414272 …";;@anandkishu @skillate10;#ArtificialIntelligence #recruitment #HRTech;"913739940466429952";https://twitter.com/GautamGhosh/status/913739940466429952
TiEBangalore;2017-04-20 05:24;3;4;"A deep learning HR platform for candidate recommendation - @skillate10 #sapstartupsocial pic.twitter.com/3swfyQ6NzP";;@skillate10;#sapstartupsocial;"854989248906223617";https://twitter.com/TiEBangalore/status/854989248906223617
skillate10;2016-09-15 13:31;0;0;"Completely makes sense. https:// twitter.com/kdnuggets/stat us/776440442095341568 …";;;;"776473454530834432";https://twitter.com/skillate10/status/776473454530834432
skillate10;2016-09-11 05:15;0;0;"Good basics to start with. :) https:// twitter.com/deeplearningld n/status/774760699721580544 …";;;;"774899260789628929";https://twitter.com/skillate10/status/774899260789628929
