username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sling_shot_aero;2018-11-07 11:46;0;2;"Join Slingshot next week! https:// hubs.ly/H0frB780";;;;"1060212022695079936";https://twitter.com/sling_shot_aero/status/1060212022695079936
sling_shot_aero;2018-11-05 14:17;1;7;"Our co-founder and very own "Trail Blazer", Melanie Stricklan, spoke at @TEDxMB this past weekend. Melanie gave an incredible presentation about her career journey, passion for space, and how Slingshot is transforming this world into a safer and more sustainable place to live! pic.twitter.com/scCetGpYzs";;@TEDxMB;;"1059525207260651520";https://twitter.com/sling_shot_aero/status/1059525207260651520
sling_shot_aero;2018-11-02 13:30;1;2;"No plans this weekend? Our co-founder and very own "Trail Blazer", Melanie Stricklan, will talk about her career journey, passion for space, and how Slingshot is transforming this world into a safer and more sustainable place to live at @TEDxMB ! Tickets at https:// hubs.ly/H0fnFQ40 pic.twitter.com/CgX3nU1xV4";;@TEDxMB;;"1058410952343855104";https://twitter.com/sling_shot_aero/status/1058410952343855104
dcodethegov;2018-10-31 12:55;1;5;"Thank you to Kevin O'Connell Director of the Office of Space Commerce, and team @Deloitte for joining us to kick off our Space 2.0 Accelerator powered by Deloitte. Welcome @Infinite_C_T , @KeplerComms , @Metamaterialtec , @sling_shot_aero , @Tacit to the Dcode family! pic.twitter.com/DxCPNECDsP";;@Deloitte @Infinite_C_T @KeplerComms @Metamaterialtec @sling_shot_aero @Tacit;;"1057677377780768770";https://twitter.com/dcodethegov/status/1057677377780768770
sling_shot_aero;2018-10-24 14:11;0;2;"Meet 16 Trail Blazers at TEDX Manhattan Beach on November 3rd. Line up includes our very own Founder & Chief Strategy Officer, Melanie Stricklan! Follow the link for ticket info! https:// hubs.ly/H0fdgXr0";;;;"1055159764378882051";https://twitter.com/sling_shot_aero/status/1055159764378882051
VickeryRob;2018-10-24 08:44;1;3;"It took 3 years for @googleearth to updates its images of the #Dabancheng region of China and to reveal the ominous new internment camps that have been built. @sling_shot_aero is the answer to higher quality, more frequently monitored orbital mapping. https://www. bbc.co.uk/news/resources /idt-sh/China_hidden_camps …";;@googleearth @sling_shot_aero;#Dabancheng;"1055077560915116032";https://twitter.com/VickeryRob/status/1055077560915116032
sling_shot_aero;2018-10-23 14:08;2;3;"Vote for Slingshot Aerospace! No sign up required. Voting ends 12/21. First published in 2016, the Global Ranking Report is the annual survey of the space industry's movers and shakers. https:// hubs.ly/H0fdd0R0";;;;"1054796665855664128";https://twitter.com/sling_shot_aero/status/1054796665855664128
mark_safran;2018-10-10 07:00;0;1;"Puting the #space in #geospatial While we’re all busy mapping the Earth, these folks are tracking the 1.7m objects circling our planet! #OrbitalAtlas @sling_shot_aero https:// twitter.com/sling_shot_aer o/status/1042814247368056833 …";;@sling_shot_aero;#space #geospatial #OrbitalAtlas;"1049977847425720320";https://twitter.com/mark_safran/status/1049977847425720320
sling_shot_aero;2018-09-20 12:34;3;5;"Outpacing change with advanced analytics! Slingshot is making tremendous progress in pioneering new approaches to SSA and BMC2! #sling_shot_aero #orbital_atlas #spacenews #spacesituationalawareness https:// hubs.ly/H0dSmVH0";;;#sling_shot_aero #orbital_atlas #spacenews #spacesituationalawareness;"1042814247368056833";https://twitter.com/sling_shot_aero/status/1042814247368056833
ATXVenture;2018-09-19 17:22;0;1;"US Air Force eyes commercial data from Slingshot Aerospace to gain intelligence on space threats @sling_shot_aero @ATXSeedVentures https:// spacenews.com/air-force-eyes -commercial-options-to-gain-intelligence-on-space-threats/ …";;@sling_shot_aero @ATXSeedVentures;;"1042524358172966913";https://twitter.com/ATXVenture/status/1042524358172966913
mark_safran;2018-09-11 12:50;0;0;"@Juliahamm @Energy_Leaders @ACORE @orbital_insight @jc_orbital @OurRadiantEarth @planetlabs @DescartesLabs @sling_shot_aero @wallacetim @Mapbox";;@Juliahamm @Energy_Leaders @ACORE @orbital_insight @jc_orbital @OurRadiantEarth @planetlabs @DescartesLabs @sling_shot_aero @wallacetim @Mapbox;;"1039556844140814337";https://twitter.com/mark_safran/status/1039556844140814337
sling_shot_aero;2018-09-11 10:47;1;7;"Find us at #AMOS or message us to learn more about Slingshot's newest graph-native, machine learning system - ORBITAL ATLAS! #slingshotaerospace #AMOS #spacesituationalawareness pic.twitter.com/X9B5xurg3C";;;#AMOS #slingshotaerospace #AMOS #spacesituationalawareness;"1039525899706753024";https://twitter.com/sling_shot_aero/status/1039525899706753024
sling_shot_aero;2018-08-28 13:57;0;1;"@SymantecCanada thanks for following!";;@SymantecCanada;;"1034500176700952576";https://twitter.com/sling_shot_aero/status/1034500176700952576
sling_shot_aero;2018-08-28 13:56;0;0;"@spectrabotics Thanks for the follow!";;@spectrabotics;;"1034499893715496960";https://twitter.com/sling_shot_aero/status/1034499893715496960
sling_shot_aero;2018-08-28 13:55;0;1;"@SpaceFrontier Thanks for the follow!";;@SpaceFrontier;;"1034499745983672321";https://twitter.com/sling_shot_aero/status/1034499745983672321
