username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
laverdadshy;2018-12-29 22:00;0;0;"Ven a tu sucursal y recibe COMPLETAMENTE GRATIS tu #TarjetaDébitoOro y ten tu dinero disponible #DondeQuierasComoQuieras Facebok: https://www. facebook.com/CAJAPOPULARSAH UAYO/ … Twitter: www.twitter.com @cpsahuyao Y recuerda que #ConAlianzaYoSí https://www. facebook.com/laverdadshy/po sts/1957139151048810 …";;@cpsahuyao;#TarjetaD #DondeQuierasComoQuieras #ConAlianzaYoS;"1079210500884516870";https://twitter.com/laverdadshy/status/1079210500884516870
RamGc18;2018-12-27 10:19;21;82;"हरेक फ्राइडे नया साथिहरूको ad बजाऊँछु त्यहिबाट आउने बिज्ञापन शुल्कले गुजारा चलाउॅछु अघिल्लो फ्राइडे पैसो नबुझाएका साथिहरूले #www_Twitter .com को शाखा कार्यालय नेपाल को स्विजरल्यान्ड पोखरा मा सम्पर्क गरी बुझाउनुहोला कृपया";;;#www_Twitter;"1078309287842131973";https://twitter.com/RamGc18/status/1078309287842131973
laverdadshy;2018-12-24 22:00;0;0;"Ven a tu sucursal y recibe COMPLETAMENTE GRATIS tu #TarjetaDébitoOro y ten tu dinero disponible #DondeQuierasComoQuieras Facebok: https://www. facebook.com/CAJAPOPULARSAH UAYO/ … Twitter: www.twitter.com @cpsahuyao Y recuerda que #ConAlianzaYoSí https://www. facebook.com/laverdadshy/po sts/1957137574382301 …";;@cpsahuyao;#TarjetaD #DondeQuierasComoQuieras #ConAlianzaYoS;"1077398554690375681";https://twitter.com/laverdadshy/status/1077398554690375681
laverdadshy;2018-12-22 22:00;0;0;"Ven a tu sucursal y recibe COMPLETAMENTE GRATIS tu #TarjetaDébitoOro y ten tu dinero disponible #DondeQuierasComoQuieras Facebok: https://www. facebook.com/CAJAPOPULARSAH UAYO/ … Twitter: www.twitter.com @cpsahuyao Y recuerda que #ConAlianzaYoSí https://www. facebook.com/laverdadshy/po sts/1948092111953514 …";;@cpsahuyao;#TarjetaD #DondeQuierasComoQuieras #ConAlianzaYoS;"1076673784357289984";https://twitter.com/laverdadshy/status/1076673784357289984
fabyanroger;2018-12-22 19:10;0;1;"A conta do Bolsonaro é livre. Digita na barra de navegação ( www. twitter. com /JairBolsonaro) e pronto, se a intenção era só ter informações, é simples.";;;;"1076631106127085568";https://twitter.com/fabyanroger/status/1076631106127085568
zipDJ;2018-12-21 01:12;0;1;"@www .twitter.com webradio on Sebastian Ingrosso & Tommy Trash - "Reload (Franky D.P 2K18 Mash Up Mix)" - bella belal, bella (8/10)";;@www;;"1075997332330741762";https://twitter.com/zipDJ/status/1075997332330741762
zipDJ;2018-12-21 01:08;0;0;"@www .twitter.com webradio on Avicii Vs Benji & Fede - "I Could Moscow Mule (Fabien Pizar Mash Up Mix)" - I like this and will play it out in my shows. (8/10)";;@www;;"1075996489485377536";https://twitter.com/zipDJ/status/1075996489485377536
zipDJ;2018-12-21 01:07;0;0;"@www .twitter.com webradio on Fisher Vs Missy Elliott - "I'm Really Losing It (Luke DB Mash Up Mix)" - beklla good fgleregfcbnvh b (8/10)";;@www;;"1075996125365223424";https://twitter.com/zipDJ/status/1075996125365223424
Nadeem35653309;2018-12-18 12:04;0;0;"Sad massage www twitter com 40404";;;;"1075074258026577921";https://twitter.com/Nadeem35653309/status/1075074258026577921
laverdadshy;2018-12-17 22:15;0;0;"Ven a tu sucursal y recibe COMPLETAMENTE GRATIS tu #TarjetaDébitoOro y ten tu dinero disponible #DondeQuierasComoQuieras Facebok: https://www. facebook.com/CAJAPOPULARSAH UAYO/ … Twitter: www.twitter.com @cpsahuyao Y recuerda que #ConAlianzaYoSí https://www. facebook.com/laverdadshy/po sts/1948091291953596 …";;@cpsahuyao;#TarjetaD #DondeQuierasComoQuieras #ConAlianzaYoS;"1074865617851875328";https://twitter.com/laverdadshy/status/1074865617851875328
