username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LoadBlockCo;2018-12-29 15:22;2;5;"" https://www. freightwaves.com/news/technolog y/trucking-logistics-startup-smarthop-gets-capital-to-modernize-traditional-dispatch-models … " New startup, @smarthop will provide real-time dispatch services to truckers. Very cool new logistics application.";;@smarthop;;"1079110436723687424";https://twitter.com/LoadBlockCo/status/1079110436723687424
smarthop;2018-12-26 12:04;1;1;"@SmartHop Receives Investment from @lasolasvc http://www. finsmes.com/2018/12/smarth op-receives-investment-from-las-olas-venture-capital.html#.XCO0iRGbFHI.twitter …";;@SmartHop @lasolasvc;#;"1077973533144293381";https://twitter.com/smarthop/status/1077973533144293381
smarthop;2018-12-24 18:00;0;1;"Merry Christmas from the @smarthop Team!!! May this day of the year be full of grace and joy. #merrychristmas pic.twitter.com/r8yVuTGPg7";;@smarthop;#merrychristmas;"1077338153734885377";https://twitter.com/smarthop/status/1077338153734885377
57cap;2018-12-20 17:59;0;3;"excited to be working with the @smarthop team! https:// twitter.com/lasolasvc/stat us/1075870123121172485 …";;@smarthop;;"1075888394360762369";https://twitter.com/57cap/status/1075888394360762369
lasolasvc;2018-12-20 16:46;1;9;"Thrilled to announce our investment in @smarthop ! https:// prn.to/2UZcQAa";;@smarthop;;"1075870123121172485";https://twitter.com/lasolasvc/status/1075870123121172485
megha_prn;2018-12-20 16:46;0;0;"Thrilled to announce our investment in @smarthop ! https:// prn.to/2UZcQAa";;@smarthop;;"1075870117194596357";https://twitter.com/megha_prn/status/1075870117194596357
smarthop;2018-12-07 16:44;0;1;"Making Miami proud @rmoas";;@rmoas;;"1071158559977730053";https://twitter.com/smarthop/status/1071158559977730053
smarthop;2018-12-07 16:44;0;1;"@ebreiser thanks for the shoutout. https:// twitter.com/ebreiser/statu s/1071065525399236609 …";;@ebreiser;;"1071158415836278786";https://twitter.com/smarthop/status/1071158415836278786
rmoas;2018-12-07 16:41;11;43;"Awesome profile of one of the ways #Miami 's startup scene is evolving by playing to our region's strengths. Kuddos @ebreiser @octopi_tos @TheShipMonk @smarthop @stowsimple @RyderSystemInc @MiamiAngelsVC @thelabmiami . https:// twitter.com/ebreiser/statu s/1071065525399236609 …";;@ebreiser @octopi_tos @TheShipMonk @smarthop @stowsimple @RyderSystemInc @MiamiAngelsVC @thelabmiami;#Miami;"1071157767120044034";https://twitter.com/rmoas/status/1071157767120044034
smarthop;2018-11-28 15:00;0;0;"It's hard to have complete visibility of all the data a Load Board has. #SmartHop can help clear the data & find the best load to #Dispatch";;;#SmartHop #Dispatch;"1067870781663780864";https://twitter.com/smarthop/status/1067870781663780864
smarthop;2018-11-28 09:01;0;0;"Looking for significant opportunities in your professional Career? Looking for a company that's on the verge to disrupt an entire industry? CLICK ON THE LINK TO APPLY http:// bit.ly/2PJooaZ @campusb @lacatolica @Monteavila @Unimet @SecretariaUCVe pic.twitter.com/ytU5iN4bjy";;@campusb @lacatolica @Monteavila @Unimet @SecretariaUCVe;;"1067780431481843714";https://twitter.com/smarthop/status/1067780431481843714
smarthop;2018-11-27 15:00;0;0;"What if you could have a super smart assistant, with 24/7 availability, to get you the best load in the market? Would it be awesome? Well, we have that assistant for you. Check it out here https:// goo.gl/qSdh3c";;;;"1067508471703183361";https://twitter.com/smarthop/status/1067508471703183361
smarthop;2018-11-27 09:00;0;0;"¿Quién quiere ser parte de la próxima generación de emprendimientos en la Industria de Transporte? ¡Estamos contratando! Estamos buscando profesionales talentosos. HAZ CLICK EN EL LINK PARA APLICAR http:// bit.ly/2PJooaZ @campusb @lacatolica @Monteavila @Unimet @SecretariaUCVe pic.twitter.com/b1SivFvzs7";;@campusb @lacatolica @Monteavila @Unimet @SecretariaUCVe;;"1067417777814818816";https://twitter.com/smarthop/status/1067417777814818816
smarthop;2018-11-26 15:00;0;0;"You're missing a lot of load options because you don't have time to go through all the data on every load board you're registered. Instead, use SmartHop's Planner to scan all the options and get the bests results. Learn more at https:// goo.gl/qSdh3c";;;;"1067146000509403143";https://twitter.com/smarthop/status/1067146000509403143
