username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
IntelSoftwareEs;2018-11-02 17:54;21;85;"Jason Toy, fundador de @somaticapi , utiliza deep learning para explorar distintas maneras de habilitar la tecnología táctil y la visión por computadora en la robótica: https:// intel.ly/2AHAiKi pic.twitter.com/gSkCdwMk3C";;@somaticapi;;"1058477369005170689";https://twitter.com/IntelSoftwareEs/status/1058477369005170689
thinky;2018-07-19 15:44;0;0;"@somaticapi Hi! You guys should tweet more. And restart your newsletter! We miss you...";;@somaticapi;;"1020031738398027776";https://twitter.com/thinky/status/1020031738398027776
somaticapi;2016-11-21 14:18;1;2;""On Exploring the Boundaries of Machine Learning and Creativity" http:// zpr.io/PRPzE";;;;"800780377853808640";https://twitter.com/somaticapi/status/800780377853808640
somaticapi;2016-10-29 06:01;0;1;""This Week in Deep Learning 10/28/16" http:// zpr.io/PgD7Q";;;;"792305457247420417";https://twitter.com/somaticapi/status/792305457247420417
promotehour;2016-10-28 04:53;1;1;"Now AI image processing easy : Al image filters with 1 line of code @somaticapi";;@somaticapi;;"791925888912920576";https://twitter.com/promotehour/status/791925888912920576
Somatic_io;2016-10-24 22:52;0;1;"Thanks for the tip shivali! We'll take a look. -PC";;;;"790747814305206272";https://twitter.com/Somatic_io/status/790747814305206272
shivali_baghel;2016-10-24 08:43;0;0;"Hello @Somatic_io @somaticapi you can also list your #startup at http:// bit.ly/1RlT2wS for more subscribers & visibility.";;@Somatic_io @somaticapi;#startup;"790534197479825408";https://twitter.com/shivali_baghel/status/790534197479825408
somaticapi;2016-10-22 05:16;0;2;""This Week in Deep Learning 10/21/16" http:// zpr.io/P6kJH";;;;"789757371446853632";https://twitter.com/somaticapi/status/789757371446853632
somaticapi;2016-10-19 10:44;0;0;"Check out @jtoy on the Behind the Numbers from @eMarketer ‘Using Artificial Intelligence To Spur Creativity’ https:// soundcloud.com/behind-the-num bers/episode-11-using-artificial-intelligence-to-spur-creativity?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter%C2%A0%E2%80%A6 …";;@jtoy @eMarketer;;"788752614221615106";https://twitter.com/somaticapi/status/788752614221615106
nicholascaplan;2016-10-19 00:19;2;2;"Check out @somaticapi on the Behind the Numbers from @eMarketer ‘Using Artificial Intelligence To Spur Creativity’ https:// soundcloud.com/behind-the-num bers/episode-11-using-artificial-intelligence-to-spur-creativity?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter …";;@somaticapi @eMarketer;;"788595317931380736";https://twitter.com/nicholascaplan/status/788595317931380736
