username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GengoIt;2018-12-30 10:11;1;1;"Great to see more AI predictions and all the discussion around this topic. I'd like to share this article that I wrote for 5 more predictions for 2019: https:// gengo.ai/articles/ai-pr edictions-for-2019-that-you-cant-afford-to-ignore/ …";;;;"1079394506741506048";https://twitter.com/GengoIt/status/1079394506741506048
meetsomnox;2018-12-30 07:11;0;3;"Can't wait to snuggle up! I am still in the certification phase. Almost there to sleep with you";;;;"1079349373669179393";https://twitter.com/meetsomnox/status/1079349373669179393
zeezpebble;2018-12-29 09:30;1;3;"THE BEST SLEEP TECH Yay! That's us Good choices @bansri_shah01 @SOMNEX @SleepScore @meetsomnox http://www. mrhyde.com/live-smarter/t ech-articles/an-expert-guide-to-the-best-sleep-tech/26720 … … via @Mr_Hyde";;@bansri_shah01 @SOMNEX @SleepScore @meetsomnox @Mr_Hyde;;"1079021836858466305";https://twitter.com/zeezpebble/status/1079021836858466305
meetsomnox;2018-12-28 11:01;1;6;"Launch time! Is your new year's resolution to sleep better? We created this video course for everyone that wants to know more about improving their sleep: http:// bit.ly/somnoxsleepaca demy … pic.twitter.com/hHYbBs4FhQ";;;;"1078682261665521673";https://twitter.com/meetsomnox/status/1078682261665521673
zeezpebble;2018-12-27 17:30;0;2;"THE BEST SLEEP TECH Yay! That's us Good choices @bansri_shah01 @SOMNEX @SleepScore @meetsomnox http://www. mrhyde.com/live-smarter/t ech-articles/an-expert-guide-to-the-best-sleep-tech/26720 … … via @Mr_Hyde";;@bansri_shah01 @SOMNEX @SleepScore @meetsomnox @Mr_Hyde;;"1078417833959268352";https://twitter.com/zeezpebble/status/1078417833959268352
meetsomnox;2018-12-27 10:03;0;2;"Are you ready for #CES2019 ? Find us here: CES Unveiled (January 6th) - Booth EP81 CES Showfloor (January 8th -11th) - Booth 51726, Eureka Park, Sands Expo, Holland Pavilion Welcome to schedule a meeting with us via the link http:// bit.ly/2CkEKiQ See you there!";;;#CES2019;"1078305254243004416";https://twitter.com/meetsomnox/status/1078305254243004416
NLinSF;2018-12-25 21:25;0;5;"Want to sleep faster, longer, and wake up more refreshed? @meetsomnox has just the remedy: the Somnox Sleep Robot is presented at #CES2019 ! #HealthTech #HollandCES @StartupDelta https:// meetsomnox.com / pic.twitter.com/S7mUmdDDAk";;@meetsomnox @StartupDelta;#CES2019 #HealthTech #HollandCES;"1077752105488703488";https://twitter.com/NLinSF/status/1077752105488703488
meetsomnox;2018-12-25 10:13;1;3;"May you feel all the love and joy we have for you throughout this festive season and all year round. We are grateful for each and every of your existence that makes the world a better place. Merry Christmas!!! pic.twitter.com/GYaRWvdodY";;;;"1077583012727001089";https://twitter.com/meetsomnox/status/1077583012727001089
meetsomnox;2018-12-07 04:48;3;9;"We were at Geef slaap de ruimte at the Gelderse Vallei Ziekenhuis yesterday, together with leading sleep scientists and astronaut @astro_andre ! #geefslaapderuimte #symposium #slaap @GelderseVallei pic.twitter.com/W8AOun3f3U";;@astro_andre @GelderseVallei;#geefslaapderuimte #symposium #slaap;"1070978295225819136";https://twitter.com/meetsomnox/status/1070978295225819136
ferrynag;2018-12-05 03:30;0;1;"Ken je @meetsomnox ?";;@meetsomnox;;"1070234035790721024";https://twitter.com/ferrynag/status/1070234035790721024
zeezpebble;2018-11-27 05:55;0;2;"THE BEST SLEEP TECH Yay! That's us Good choices @bansri_shah01 @SOMNEX @SleepScore @meetsomnox http://www. mrhyde.com/live-smarter/t ech-articles/an-expert-guide-to-the-best-sleep-tech/26720 … via @Mr_Hyde";;@bansri_shah01 @SOMNEX @SleepScore @meetsomnox @Mr_Hyde;;"1067371240078352385";https://twitter.com/zeezpebble/status/1067371240078352385
zeezpebble;2018-11-26 09:30;0;3;"THE BEST SLEEP TECH Yay! That's us Good choices @bansri_shah01 @SOMNEX @SleepScore @meetsomnox http://www. mrhyde.com/live-smarter/t ech-articles/an-expert-guide-to-the-best-sleep-tech/26720 … via @Mr_Hyde";;@bansri_shah01 @SOMNEX @SleepScore @meetsomnox @Mr_Hyde;;"1067062971262750722";https://twitter.com/zeezpebble/status/1067062971262750722
philtechnews;2018-11-26 04:37;0;1;"150+ startups disrupting the wellness industry, from mental wellness to personalized nutrition. Including @mysleepace , @meetsomnox and other #philtech startups. By @CBinsights https://www. cbinsights.com/research/welln ess-tech-startups-market-map … pic.twitter.com/SAxzPmL0EF";;@mysleepace @meetsomnox @CBinsights;#philtech;"1066989345050148864";https://twitter.com/philtechnews/status/1066989345050148864
zeezpebble;2018-11-25 16:30;0;4;"We are just catching up. We thoroughly enjoyed ourselves @meetsomnox @SleepJunkies https:// twitter.com/SleepJunkies/s tatus/1051536683840221185 …";;@meetsomnox @SleepJunkies;;"1066806348292202501";https://twitter.com/zeezpebble/status/1066806348292202501
meetsomnox;2018-11-24 15:15;2;6;"Few tips to try out before you go to bed. Sleeping robot is here to help : https:// bit.ly/2zi5sXl";;;;"1066424984485142530";https://twitter.com/meetsomnox/status/1066424984485142530
