username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
meersens;2018-12-24 11:08;0;2;"@meersens in the "Promising Startups" guide by @SparkAmplify ! Thank you so much @CES #CES2019 #IoT #AI #HealthTech #Health #hardware #Innovation #BusinessFrance https:// twitter.com/SparkAmplify/s tatus/1077233715414163457 …";;@meersens @SparkAmplify @CES;#CES2019 #IoT #AI #HealthTech #Health #hardware #Innovation #BusinessFrance;"1077234579700924417";https://twitter.com/meersens/status/1077234579700924417
SparkAmplify;2018-12-24 11:05;3;5;"Join World's First On-Demand Press Conference http://www. sparkamplify.com/events/ces-2019 Guide To Promising Startups @CES Eureka Park http://www. sparkamplify.com/blog/ces-2019- eureka-park … @Quantmetry @JustMiningFr @beMagnea @OrqaFPV @onTracks_FR @waverlylabsinc @vivoka @meersens @nurasound @EricTopol @nanoscent @WayCareTech";;@CES @Quantmetry @JustMiningFr @beMagnea @OrqaFPV @onTracks_FR @waverlylabsinc @vivoka @meersens @nurasound @EricTopol @nanoscent @WayCareTech;;"1077233715414163457";https://twitter.com/SparkAmplify/status/1077233715414163457
SparkAmplify;2018-12-21 05:44;0;2;"Join us on World's First On-Demand Press Conference for @CES 2019 https:// twitter.com/AHEAD_Taiwan/s tatus/1076035899702558720 …";;@CES;;"1076065946911965185";https://twitter.com/SparkAmplify/status/1076065946911965185
0W1audio;2018-12-19 04:15;0;0;"Hi @SparkAmplify @AudricLucini @gowithYamo #ShoutOutWednesday @jamescorneille @McElroyMarra @GrassrootsDNC @Nicochan33 I wish all of you a #WellnessWednesday full of good #Music #portablespeaker #soundquality #musicbox #musiclover #audiotech #design #lifestyle #highendaudio pic.twitter.com/xsCySVIa1z";;@SparkAmplify @AudricLucini @gowithYamo @jamescorneille @McElroyMarra @GrassrootsDNC @Nicochan33;#ShoutOutWednesday #WellnessWednesday #Music #portablespeaker #soundquality #musicbox #musiclover #audiotech #design #lifestyle #highendaudio;"1075318706169876480";https://twitter.com/0W1audio/status/1075318706169876480
SparkAmplify;2018-12-18 22:33;0;1;"Sure! Love what you guys are doing and will be following you for CES updates!";;;;"1075232566754476032";https://twitter.com/SparkAmplify/status/1075232566754476032
SparkAmplify;2018-12-18 08:16;1;0;"What's your PR strategy for CES 2019? CES2019 on-demand press conference, a whole new way of connecting brands with worldwide media without boundaries. https:// twitter.com/CES/status/104 1760816213700608 …";;;;"1075016853783625728";https://twitter.com/SparkAmplify/status/1075016853783625728
biostrap;2018-12-18 08:14;0;1;"@SparkAmplify what wearable do you use? have you checked out our product? https:// biostrap.com /";;@SparkAmplify;;"1075016350886780929";https://twitter.com/biostrap/status/1075016350886780929
SparkAmplify;2018-12-18 03:59;1;1;"CES2019 on-demand press conference, a whole new way of connecting brands with worldwide media without boundaries. Sign up for a free trial to join in and maximize your press coverage potential at CES2019 => https://www. sparkamplify.com/events/ces-2019";;;;"1074952244565405696";https://twitter.com/SparkAmplify/status/1074952244565405696
SparkAmplify;2018-12-07 02:18;0;1;"Honored to be invited to speak at @startupweek , a week-long global entrepreneurship knowledge sharing event first time hosted in Taiwan. #techstars #sparkamplify #tta #startupmovement pic.twitter.com/vkjrTouVvD";;@startupweek;#techstars #sparkamplify #tta #startupmovement;"1070940660256071680";https://twitter.com/SparkAmplify/status/1070940660256071680
SparkAmplify;2018-10-29 15:37;0;0;"SparkAmplify is a proud sponsor of Serendipity, the first women's conference of its kind in SF (10/26-10/27). Don't miss out on the salon-style workshops, conversations, and activity-based networking events. https://www. guildserendipity.com /";;;;"1056993544789848065";https://twitter.com/SparkAmplify/status/1056993544789848065
SparkAmplify;2018-09-26 05:01;0;0;"<TechCrunch Disrupt SF> Over 500 top startups all over the world participating the 3-day tech festival. SparkAmplify refers to TechCrunch Announcing the TC Top Picks for Disrupt SF 2018 and chooses 7 from 48 startups. http:// bit.ly/2N36AT5 #SparkAmplify #TechCrunchDisrupt";;;#SparkAmplify #TechCrunchDisrupt;"1044874588235141124";https://twitter.com/SparkAmplify/status/1044874588235141124
SparkAmplify;2018-08-23 04:15;0;0;"Boost Your Brand Message in A Limited Time — A Guild to Build An Influencer Outreach Strategy => http:// bit.ly/2BDi7Yx #influencer #sparkAmplify";;;#influencer #sparkAmplify;"1032541926887546880";https://twitter.com/SparkAmplify/status/1032541926887546880
SparkAmplify;2018-07-11 22:41;0;1;"#MEET創業之星 thanks for great coverage https:// meet.bnext.com.tw/articles/view/ 43233 … #SparkAmplify";;;#MEET #SparkAmplify;"1017237373791305728";https://twitter.com/SparkAmplify/status/1017237373791305728
SparkAmplify;2018-07-09 23:47;0;0;"@meet_startup thanks for great coverage  Are you a journalist looking for brand story? Or you're in a startup trying to earn media exposure? https:// meet.bnext.com.tw/articles/view/ 43233 … #SparkAmplify";;@meet_startup;#SparkAmplify;"1016529422352986112";https://twitter.com/SparkAmplify/status/1016529422352986112
SparkAmplify;2018-07-09 23:43;0;1;""Why did you start this business?" Tell your brand story in the way that catches journalists’ attention, interactive and visually appealing. @snips is a Private-by-Design, Decentralized, Open Source Voice Assistant. know more => https:// brand.sparkamplify.com/snips pic.twitter.com/3QLOaIxM7Q";;@snips;;"1016528279090556934";https://twitter.com/SparkAmplify/status/1016528279090556934
SparkAmplify;2018-06-07 04:26;0;0;"@InnoVEX3 supporting partner unleash your press coverage potential pic.twitter.com/IEzQ72vavO";;@InnoVEX3;;"1004640632407654400";https://twitter.com/SparkAmplify/status/1004640632407654400
TechDayHQ;2018-05-31 17:05;0;0;"@SparkAmplify Hey! LA’s most powerful startup event will be here before you know it, and as a valued alum, we want to make sure you get in at our lowest rates. Booth prices are currently discounted by 20% and won’t get any lower than they are right now! https:// techdayhq.com/los-angeles/wh y-exhibit …";;@SparkAmplify;;"1002295056559157259";https://twitter.com/TechDayHQ/status/1002295056559157259
SparkAmplify;2018-05-30 23:54;0;0;"6/6 -6/8 SparkAmplify invites you to join us at @InnoVEX3 ! The Most Unique Startup Event in Asia. TWTC Hall 3 #G0769 #SparkAmplify #InnoVEX2018 pic.twitter.com/9dp7fk7WAs";;@InnoVEX3;#G0769 #SparkAmplify #InnoVEX2018;"1002035675418382336";https://twitter.com/SparkAmplify/status/1002035675418382336
SparkAmplify;2018-05-24 00:02;0;0;"Computex - Asia's biggest tech show is coming. What's your media outreach plan? #SparkAmplify #InnoVEX https:// twitter.com/InnoVEX3/statu s/998885052946657280 …";;;#SparkAmplify #InnoVEX;"999500826912567296";https://twitter.com/SparkAmplify/status/999500826912567296
InnoVEX3;2018-05-22 07:15;0;1;"[ #InnoVEX2018 Exhibitor] @SparkAmplify provides SaaS PR solution with AI to maximize press coverage. As a supporting partner of InnoVEX, SparkAmplify will provide a media influencer list for exhibitors. Sign up https:// bit.ly/2ImJsgF Meet SparkAmplify in TWTC Hall 3 Booth G0769 pic.twitter.com/JKDO3WNitc";;@SparkAmplify;#InnoVEX2018;"998885052946657280";https://twitter.com/InnoVEX3/status/998885052946657280
SparkAmplify;2018-05-22 04:09;0;0;"See how SparkAmplify help you get more media placements with less work “Computex 2018 to focus on global innovations as InnoVEX features six highlights” http:// bit.ly/2x0N2f7 #Computex #InnoVEX";;;#Computex #InnoVEX;"998838209005076480";https://twitter.com/SparkAmplify/status/998838209005076480
SparkAmplify;2018-05-08 06:07;0;1;"Congrats to the winners!!! Happy and honored to be Sprint (student hackathon) as mentor #SparkAmplify #hackathon https://www. sparkamplify.com pic.twitter.com/ZH1L3LVJaj";;;#SparkAmplify #hackathon;"993794388256964608";https://twitter.com/SparkAmplify/status/993794388256964608
SparkAmplify;2018-05-02 23:08;0;1;"Always good to meet SparkAmplify users from around the world! You are the reason why we strive to be better. #sparkamplify #collision2018 pic.twitter.com/B30pRjo6iG";;;#sparkamplify #collision2018;"991877212650463232";https://twitter.com/SparkAmplify/status/991877212650463232
SparkAmplify;2018-04-17 10:39;0;2;"#SparkAmplify can always be better! Check out our new website https:// bit.ly/2HGd8WB SparkAmplify data-driven media outreach, unleash your press coverage potential.";;;#SparkAmplify;"986252916171264008";https://twitter.com/SparkAmplify/status/986252916171264008
SparkAmplify;2018-03-29 03:05;0;0;"TESTIMONIAL FROM @ConserWater Technologies ConserWater is a startup company specializing in reducing irrigation water use with Artificial Intelligence. === Find out more about SparkAmplify : https:// goo.gl/v91UZB pic.twitter.com/BLdiCHP6UY";;@ConserWater;;"979253289547005959";https://twitter.com/SparkAmplify/status/979253289547005959
SparkAmplify;2018-03-29 03:02;0;3;"Thank you so much! @mainspire we love you! https:// twitter.com/mainspire/stat us/948965902493650944 …";;@mainspire;;"979252553769611264";https://twitter.com/SparkAmplify/status/979252553769611264
SparkAmplify;2018-02-13 14:08;0;2;"Here we are again @StartupGrind pic.twitter.com/uAXEFbRrDV – bei Fox Theatre";;@StartupGrind;;"963489981896409089";https://twitter.com/SparkAmplify/status/963489981896409089
HeyHanyu2;2018-02-13 13:53;0;1;"@SparkAmplify is back again. @StartupGrind 2018 pic.twitter.com/Dz8jBkoe8w – bei Fox Theatre";;@SparkAmplify @StartupGrind;;"963486358227402752";https://twitter.com/HeyHanyu2/status/963486358227402752
SparkAmplify;2018-01-12 01:55;0;3;"It was great meeting Deep Force and other top startups from Taiwan at #CES2018 ! #AI #deeplearning #startup #vegas https:// twitter.com/DeepforceInc/s tatus/951645905630896129 …";;;#CES2018 #AI #deeplearning #startup #vegas;"951709195681722369";https://twitter.com/SparkAmplify/status/951709195681722369
SparkAmplify;2017-10-23 04:01;0;4;"Another full house event! Over 100 Small and Medium Businesses learned how to utilize Big Data to transform their business. #TAITRA #Bigdata";;;#TAITRA #Bigdata;"922372503393177600";https://twitter.com/SparkAmplify/status/922372503393177600
