username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SiteZeus;2018-12-27 16:47;2;0;"Webinar: Learn how your brand can leverage social media conversations to pinpoint where customers are with @spatialAI in SiteZeus. To register, Click here: http:// bit.ly/2TdKxMG #SiteZeus #Spatialai #Webinar #Customers #CustomerSegmentation #Data";;@spatialAI;#SiteZeus #Spatialai #Webinar #Customers #CustomerSegmentation #Data;"1078407109736349696";https://twitter.com/SiteZeus/status/1078407109736349696
spatialAI;2018-12-21 16:45;1;7;"Happy holidays, everyone! pic.twitter.com/YqZcIMqnJb";;;;"1076232112632709121";https://twitter.com/spatialAI/status/1076232112632709121
spatialAI;2018-12-20 12:09;1;4;"Spatial Conquest 2018 // Red River Gorge, KY We celebrated big wins, captured lessons learned, and we're more excited than ever for how Geosocial data will change the marketplace next year. #Geosocial #Team #StartupCincy #RedRiverGorge pic.twitter.com/rEPbFoSOMT";;;#Geosocial #Team #StartupCincy #RedRiverGorge;"1075800264257560576";https://twitter.com/spatialAI/status/1075800264257560576
AITwentyThirty;2018-12-20 11:06;0;0;"@spatialAI please follow us back and also see your company mentioned in our article: "Selecting 25 of the Top AI Companies for 2018 is No Small Task" at http:// bit.ly/Top25AI2018";;@spatialAI;;"1075784417556160514";https://twitter.com/AITwentyThirty/status/1075784417556160514
spatialAI;2018-12-19 09:12;0;1;""Two sites having similar demographics doesn’t mean they have similar communities and customers. Failing to identify the social differences between these locations is a mistake that can cost millions." Read more: https:// sptl.ai/dw4uanl #Geosocial #Retail #SiteSelection pic.twitter.com/5KBjYQGlQE";;;#Geosocial #Retail #SiteSelection;"1075393325664997378";https://twitter.com/spatialAI/status/1075393325664997378
SiteZeus;2018-12-18 16:47;3;0;"Looking to learn where your customers are and learn from their behaviors? We uncover the secrets with our newest data partner @spatialAI on our latest webinar. To get early access register here: http:// bit.ly/2rJhwNt #SiteZeus #Spatialai #Data #Customer #Segmentation #Webinar";;@spatialAI;#SiteZeus #Spatialai #Data #Customer #Segmentation #Webinar;"1075145642572427267";https://twitter.com/SiteZeus/status/1075145642572427267
spatialAI;2018-12-14 18:13;0;1;"A short guide for property owners and operators to recruit the optimal tenants: https:// sptl.ai/ew4bowv #Geosocial #PropertyOwners #Retailers #SiteSelection #LocationIntelligence pic.twitter.com/o3TA9NYhiA";;;#Geosocial #PropertyOwners #Retailers #SiteSelection #LocationIntelligence;"1073717529414172674";https://twitter.com/spatialAI/status/1073717529414172674
TMetzner;2018-12-12 20:05;0;2;"Excited for the @spatialAI team -- STRONG add! "The decision to join Spatial was fairly easy for me. Having been a part of a number of successful startups, Spatial, hands down, has the most potential that I have seen.” https:// buff.ly/2F5YytD pic.twitter.com/uu36qi6Ruk";;@spatialAI;;"1073020943872733186";https://twitter.com/TMetzner/status/1073020943872733186
spatialAI;2018-12-12 13:13;0;2;"@JGriffinMorris on how Spatial captures representative geosocial data. #ICSC #Geosocial #Retail #LocationIntelligence #BehavioralData pic.twitter.com/q8bigs0zve";;@JGriffinMorris;#ICSC #Geosocial #Retail #LocationIntelligence #BehavioralData;"1072917368773533696";https://twitter.com/spatialAI/status/1072917368773533696
SiteZeus;2018-12-11 14:06;0;0;"Geosocial data to help multi-unit brand operators better understand their customer. A solution only possible thanks to the partnership between @spatialAI and SiteZeus. To learn more about how your brand could benefit from this, Click here: http:// bit.ly/2Qv3TAk";;@spatialAI;;"1072568356778246144";https://twitter.com/SiteZeus/status/1072568356778246144
spatialAI;2018-12-11 12:24;1;2;""For the first time, site selectors can see beyond demographics into the social DNA of a block group." Read more: https:// sptl.ai/tw69sol #LocationIntellgience #SiteSelection #Geosocial pic.twitter.com/yQOQ6k6E10";;;#LocationIntellgience #SiteSelection #Geosocial;"1072542543366250497";https://twitter.com/spatialAI/status/1072542543366250497
spatialAI;2018-12-10 13:09;1;7;"The prelaunch of our all-new 2019 Geosocial Dataset is now live! Head to https:// spatial.ai/prelaunch to signup for exclusive early access. pic.twitter.com/g67kmQ3Ch9";;;;"1072191637680459776";https://twitter.com/spatialAI/status/1072191637680459776
spatialAI;2018-12-07 14:09;1;2;"In case you missed it, we've partnered with @SiteZeus to make #Geosocial data available to every brand on their platform. Read more here: https:// sptl.ai/0c3tvym #LocationIntelligence #Partnerships pic.twitter.com/JM5PWKSn3u";;@SiteZeus;#Geosocial #LocationIntelligence #Partnerships;"1071119418204274688";https://twitter.com/spatialAI/status/1071119418204274688
spatialAI;2018-12-07 12:23;0;2;"1938 CENTRAL SECTION, CINCINNATI https:// sptl.ai/s4cnmcr @CincyMap #Maps #Cincy #StartupCincy #Cities pic.twitter.com/z0AIWD6aW4";;@CincyMap;#Maps #Cincy #StartupCincy #Cities;"1071092736705642498";https://twitter.com/spatialAI/status/1071092736705642498
MarTechSeries;2018-12-07 08:30;1;1;"SiteZeus® Strengthens Platform with Social Psychographic Data Pioneer http:// Spatial.ai http:// ow.ly/82uw30mTLg6 @SiteZeus @spatialAI #MarTech pic.twitter.com/46iZ561zuL";;@SiteZeus @spatialAI;#MarTech;"1071034150130458624";https://twitter.com/MarTechSeries/status/1071034150130458624
spatialAI;2018-12-06 12:09;0;2;"Forrester estimates that 86% of U.S. retail sales still happen in brick-and-mortar stores. https:// sptl.ai/psvbip8 #LocationIntelligence #SiteSelection #Retail pic.twitter.com/7ME5JueTFS";;;#LocationIntelligence #SiteSelection #Retail;"1070726826455171072";https://twitter.com/spatialAI/status/1070726826455171072
spatialAI;2018-12-05 12:24;0;4;"How do you measure the success of #Geosocial data? #LocationIntelligence #SiteSelection #Retail #ICSC pic.twitter.com/yA4gHuH7iI";;;#Geosocial #LocationIntelligence #SiteSelection #Retail #ICSC;"1070368275404652544";https://twitter.com/spatialAI/status/1070368275404652544
SiteZeus;2018-12-05 11:05;0;1;"Thank you!";;;;"1070348513958076416";https://twitter.com/SiteZeus/status/1070348513958076416
SiteZeus;2018-12-05 11:05;0;0;"Thank you!";;;;"1070348434224414722";https://twitter.com/SiteZeus/status/1070348434224414722
MargieCatalyst;2018-12-05 06:35;0;1;"Business briefs: News about @SiteZeus ' new data partnership with @spatialAI and more https:// bit.ly/2Qev81T pic.twitter.com/uVHeMTpC0x";;@SiteZeus @spatialAI;;"1070280550043271168";https://twitter.com/MargieCatalyst/status/1070280550043271168
DavePaprocki;2018-12-04 14:58;0;2;"Congratulations guys!";;;;"1070044616261537792";https://twitter.com/DavePaprocki/status/1070044616261537792
geoawesomeness;2018-12-04 13:33;0;3;"Awesome! Congratulations and best wishes on your partnership! Keep the awesomeness going guys";;;;"1070023202770948097";https://twitter.com/geoawesomeness/status/1070023202770948097
spatialAI;2018-12-04 13:12;2;6;"Very proud to announce our data partnership with @SiteZeus bringing #Geosocial data to the #SiteZeus platform. #MachineLearning #Partnerships #Retail #RealEstate ##PredictiveAnalytics #ConsumerBehavior #LocationIntelligence http:// sptl.ai/va7jlii pic.twitter.com/UQlFnbv3Ax";;@SiteZeus;#Geosocial #SiteZeus #MachineLearning #Partnerships #Retail #RealEstate # #PredictiveAnalytics #ConsumerBehavior #LocationIntelligence;"1070017914160463872";https://twitter.com/spatialAI/status/1070017914160463872
JGriffinMorris;2018-12-04 10:46;1;7;"Announcing @spatialai partnership with fellow #ai company @sitezeus . Check us out on their platform. "SiteZeus Strengthens Platform with Social Psychographic Data Pioneer http:// Spatial.ai " https:// insites.sitezeus.com/sitezeus-stren gthens-platform-with-social-psychographic-data-pioneer-spatial-ai/ …";;@spatialai @sitezeus;#ai;"1069981226365304833";https://twitter.com/JGriffinMorris/status/1069981226365304833
spatialAI;2018-11-29 08:22;0;3;"Applebee's identified stress-eaters as their key audience segment after a period of struggling "...to pursue a customer who wasn't going to Applebee's anyway." http:// sptl.ai/p8jdkx1 #Applebees #Geosocial #Marketing pic.twitter.com/AmRKNSQ1Sz";;;#Applebees #Geosocial #Marketing;"1068132981288697856";https://twitter.com/spatialAI/status/1068132981288697856
spatialAI;2018-11-28 17:38;0;1;"Geosocial data helps you get the right product to the right people in the perfect location. Learn how: http:// sptl.ai/ptidt8i #Geosocial #Marketing #LocationIntelligence pic.twitter.com/xxIIWhj4IQ";;;#Geosocial #Marketing #LocationIntelligence;"1067910525886099457";https://twitter.com/spatialAI/status/1067910525886099457
spatialAI;2018-11-27 11:05;1;1;"Q: How does Spatial make geosocial data usable? #LocationIntelligence #SiteSelection #Geosocial #ICSC pic.twitter.com/oDUT7x3qbd";;;#LocationIntelligence #SiteSelection #Geosocial #ICSC;"1067449307186515968";https://twitter.com/spatialAI/status/1067449307186515968
