username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AdvicePeriod;2018-06-27 12:24;1;3;"@OpenAdvisor shares with @barronsonline what tech we are using to add value to small and medium-sized businesses. @teamzero @sperse @billcom https:// twitter.com/OpenAdvisor/st atus/1011791340647088129 …";;@OpenAdvisor @barronsonline @teamzero @sperse @billcom;;"1012008782899998721";https://twitter.com/AdvicePeriod/status/1012008782899998721
OpenAdvisor;2018-06-26 22:00;4;10;"Here's the tech to use to run the business of YOUR actual business. @billcom @TeamXero @sperse @barronsonline http:// ow.ly/3RLI50hPtRm pic.twitter.com/eUd7Lhz93c";;@billcom @TeamXero @sperse @barronsonline;;"1011791340647088129";https://twitter.com/OpenAdvisor/status/1011791340647088129
beyondthearc;2018-05-09 13:22;0;0;". @sperse offers a business management and financial software platform. Its flagship product is called CFO – Cash Flow Outlook. http:// bit.ly/FinovateDay2 #Finovate #Fintech pic.twitter.com/e203xRxLVS";;@sperse;#Finovate #Fintech;"994266277337227264";https://twitter.com/beyondthearc/status/994266277337227264
quovo;2018-05-09 12:53;1;2;"Great demo from @Sperse at #Finovate ! pic.twitter.com/IGGgSNun0N";;@Sperse;#Finovate;"994259096642686976";https://twitter.com/quovo/status/994259096642686976
williamemills;2018-05-09 12:52;1;2;"Sperse offers a business management and financial software platform. Its flagship product is called CFO – Cash Flow Outlook @sperse https:// hubs.ly/H0c0KMV0 #finovate pic.twitter.com/XoleuwdVmB";;@sperse;#finovate;"994258910545620995";https://twitter.com/williamemills/status/994258910545620995
wmagency;2018-05-09 12:52;0;0;"Most businesses are using spreadsheets and other older tech to manage cashflow; @sperse built a new platform intended to make the lives of their customers easier. https:// hubs.ly/H0c0JNT0 #Finovate pic.twitter.com/TbGx3QkK2F";;@sperse;#Finovate;"994258909983633408";https://twitter.com/wmagency/status/994258909983633408
wmagency;2018-05-09 12:52;0;0;"Cool demo of Cash Flow Outlook (CFO) , a cloud-based business solution for real-time cash management and forecasting from @sperse https:// hubs.ly/H0c0J7B0 pic.twitter.com/j9LdvvL3U3";;@sperse;;"994258909954297857";https://twitter.com/wmagency/status/994258909954297857
benmough;2018-05-09 12:46;0;2;"“Made with a lot of love and hard work.” Love that! @sperse #finovate";;@sperse;#finovate;"994257430803501057";https://twitter.com/benmough/status/994257430803501057
Finovate;2018-05-09 12:46;0;0;". @sperse is in beta testing, and is pre-launch. The company has 7 full-time & 2 part-time employees, and has been self-funded for the last 18 months. #Finovate";;@sperse;#Finovate;"994257252176412672";https://twitter.com/Finovate/status/994257252176412672
Finovate;2018-05-09 12:44;0;0;". @sperse with a live demonstration of Cash Flow Outlook (CFO), a cloud-based business solution for real-time cash management and forecasting. #Finovate pic.twitter.com/mUzWeXfCCC";;@sperse;#Finovate;"994256860726231040";https://twitter.com/Finovate/status/994256860726231040
calosth;2017-08-18 12:53;0;1;""We introduce Chewbacca analitycs tool"";;;;"898588564962897920";https://twitter.com/calosth/status/898588564962897920
nesbtesh;2017-08-18 09:23;0;1;"I love when I am naming the new features for @Sperse and I get to pull out my #StarWars handbook #Geek #ProudGeek #AI";;@Sperse;#StarWars #Geek #ProudGeek #AI;"898535862690086913";https://twitter.com/nesbtesh/status/898535862690086913
