username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Spookfish_AI;2018-03-07 09:24;1;5;"We are featured on @cnandco blog talking about Computer Vision in South Africa! https://www. cnandco.com/the-low-down-o n-spookfish-and-computer-vision-in-sa/ …";;@cnandco;;"971391171846135808";https://twitter.com/Spookfish_AI/status/971391171846135808
sandisosibisi;2018-02-26 08:26;0;1;"@Spookfish_AI presenting at #OpenInnovation pic.twitter.com/61Cx3mrNxg";;@Spookfish_AI;#OpenInnovation;"968115133913366528";https://twitter.com/sandisosibisi/status/968115133913366528
Zimmy_Jay;2017-10-27 16:58;0;0;"@Spookfish_AI soo cool you should see this";;@Spookfish_AI;;"924017500710494208";https://twitter.com/Zimmy_Jay/status/924017500710494208
Spookfish_AI;2017-05-23 02:41;0;2;"We will be streaming this in the office while we work on our own models #AlphaGo17 #alphago https:// events.google.com/alphago2017/";;;#AlphaGo17 #alphago;"866906991146524672";https://twitter.com/Spookfish_AI/status/866906991146524672
Spookfish_AI;2017-05-18 05:14;0;3;"Hopefully we will have some of our larger models running on these beauties in the future! #deeplearning #tpus https:// twitter.com/googleresearch /status/864929753819525120 …";;;#deeplearning #tpus;"865133372796022784";https://twitter.com/Spookfish_AI/status/865133372796022784
Spookfish_AI;2017-04-03 02:36;0;1;"This is amazing! We are a Deep Learning startup in Johannesburg and we can't wait to attend!";;;;"848786251436232705";https://twitter.com/Spookfish_AI/status/848786251436232705
Spookfish_AI;2017-04-03 02:30;0;0;"This is so exciting! More AI education for South Africa! https:// twitter.com/NandoDF/status /848781792664592384 …";;;;"848784775271907329";https://twitter.com/Spookfish_AI/status/848784775271907329
Spookfish_AI;2016-09-09 01:57;0;0;"Extremely exciting stuff from @DeepMindAI !! #AI https:// twitter.com/DeepMindAI/sta tus/773946826689024000 …";;@DeepMindAI;#AI;"774124431241129984";https://twitter.com/Spookfish_AI/status/774124431241129984
Spookfish_AI;2016-08-31 00:59;0;0;"Here is an great podcast on Chatbots from @OReillyMedia . #AI #chatbots https://www. oreilly.com/ideas/what-are -bots-heres-the-background …";;@OReillyMedia;#AI #chatbots;"770848521666883584";https://twitter.com/Spookfish_AI/status/770848521666883584
Spookfish_AI;2016-08-23 02:36;0;0;"@jackclarkSF is back with the fourth installment of Import AI. He is also a new team member of @OpenAI ! Exciting! https:// twitter.com/jackclarkSF/st atus/767772174450995200 …";;@jackclarkSF @OpenAI;;"767973749249437696";https://twitter.com/Spookfish_AI/status/767973749249437696
Spookfish_AI;2016-08-22 03:39;0;1;"@odsc gives an awesome introduction to chatbots! #deeplearning #chatbots https://www. opendatascience.com/blog/introduct ion-deep-learning-for-chatbots-part-1/ …";;@odsc;#deeplearning #chatbots;"767627283129565184";https://twitter.com/Spookfish_AI/status/767627283129565184
Spookfish_AI;2016-08-20 15:28;0;0;"First Spookfish #hackathon today! We put the first dent into developing our general Dynamic Memory Network. #deeplearning #AI #DMN";;;#hackathon #deeplearning #AI #DMN;"767080790874267648";https://twitter.com/Spookfish_AI/status/767080790874267648
Spookfish_AI;2016-08-19 01:29;0;0;"@kaggle recently launched their open data platform! #DataScience #MachineLearning http:// blog.kaggle.com/2016/08/17/mak ing-kaggle-the-home-of-open-data/ …";;@kaggle;#DataScience #MachineLearning;"766507461125795840";https://twitter.com/Spookfish_AI/status/766507461125795840
Spookfish_AI;2016-08-18 04:46;0;1;"Amazing speakers! Thanks @caraface17 @letspixelup !!";;@caraface17 @letspixelup;;"766194626906599425";https://twitter.com/Spookfish_AI/status/766194626906599425
caraface17;2016-08-18 04:37;0;0;"Hey @spookfish_ai : check out the amazing speakers at this conference in September! https:// pixelup.co.za /";;@spookfish_ai;;"766192347864530944";https://twitter.com/caraface17/status/766192347864530944
Spookfish_AI;2016-08-17 00:57;0;0;"@nvidia GPU's help us train our neural networks and this announcement has us all excited! #deeplearning http://www. geforce.com/hardware/10ser ies/notebook …";;@nvidia;#deeplearning;"765774620725219328";https://twitter.com/Spookfish_AI/status/765774620725219328
