username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sproutlogix;2018-12-27 06:00;0;3;"Deep Learning & Reinforcement Learning, two of the top trends of 2018! But what do these terms mean? How are they different? Click here to find out http:// bit.ly/2VahxXX . #HR #HRBlogs #Technology #goodread";;;#HR #HRBlogs #Technology #goodread;"1078244220996063237";https://twitter.com/sproutlogix/status/1078244220996063237
sproutlogix;2018-12-20 06:15;1;1;"Do you lead L&D in your organization? Click here to find out How L&D Can Garner That Coveted Spot at the ‘C’ Table http:// bit.ly/2SbtJ9b . #HR #HRBlogs #LnD #leadership #goodread";;;#HR #HRBlogs #LnD #leadership #goodread;"1075711194823081986";https://twitter.com/sproutlogix/status/1075711194823081986
sproutlogix;2018-12-14 06:15;0;1;"3 Reasons why 'HIPOism' must go! Click here to http:// bit.ly/2zT08tP . #HR #HRBlogs #HIPO #goodread";;;#HR #HRBlogs #HIPO #goodread;"1073536872893333504";https://twitter.com/sproutlogix/status/1073536872893333504
sproutlogix;2018-12-13 09:00;0;2;"Is your L&D function focusing just on HI-PO employees? Read this article to find out why that's a big mistake http:// bit.ly/2zT08tP . #HR #HRBlogs #HIPO #goodread";;;#HR #HRBlogs #HIPO #goodread;"1073216126308507648";https://twitter.com/sproutlogix/status/1073216126308507648
sproutlogix;2018-12-12 06:00;0;2;"Investing in HIPO (High Potential) Programs for your organization? You're not making the right decision! Click here to find out why - http:// bit.ly/2zT08tP #HR #HIPO #HRBlogs #learninganddevelopment #goodread";;;#HR #HIPO #HRBlogs #learninganddevelopment #goodread;"1072808357361344512";https://twitter.com/sproutlogix/status/1072808357361344512
disruptivehiri1;2018-12-11 18:11;0;0;"@sproutlogix I’m trying to crack the code. I came to leadership coaching and learning and development through a rigorous preparation in the K-12 space. Why am I seen as a minimum wage worker in the private sector? Any advice on how I might be able to transfer my skills?";;@sproutlogix;;"1072629984718712832";https://twitter.com/disruptivehiri1/status/1072629984718712832
sproutlogix;2018-12-11 06:15;1;1;"Specialized programs for HIPO or high-potential employees have fast gained popularity. But is this translating to the desired ROI? Is this the right method to go with? Click here to find out - http:// bit.ly/2zT08tP . #HR #hipo #HRBlogs #goodread";;;#HR #hipo #HRBlogs #goodread;"1072449711418892288";https://twitter.com/sproutlogix/status/1072449711418892288
sproutlogix;2018-12-07 00:45;0;1;"We're Hiring! Sproutlogix is looking for a talented & experienced Program Manager to Join the team! Interested candidates, click here to apply - http:// bit.ly/2UiZvT2 #hiring #jobs #hr #programmanager";;;#hiring #jobs #hr #programmanager;"1070917082097876993";https://twitter.com/sproutlogix/status/1070917082097876993
sproutlogix;2018-12-06 08:40;0;1;"We're Hiring! Sproutlogix is looking for a talented & experienced Program Manager to Join the team! Interested candidates, click here to apply - http:// bit.ly/2UiZvT2 #hiring #jobs #hr #programmanager";;;#hiring #jobs #hr #programmanager;"1070674248140767232";https://twitter.com/sproutlogix/status/1070674248140767232
HRTechDaily;2018-12-05 11:56;0;1;"Today's HR Tech Daily has just been released! http:// hrtechdaily.com/?edition_id=af ad5390-f8ae-11e8-9722-0cc47a0d164b … Stories from @Hire_Potential @sproutlogix @UnileverFoundry";;@Hire_Potential @sproutlogix @UnileverFoundry;;"1070361242018242560";https://twitter.com/HRTechDaily/status/1070361242018242560
sproutlogix;2018-12-05 06:00;0;2;"Looking to implement #ALX in your #LearningandDevelopment function? But you're not completely sure of the concept? Our CEO has given a quick overview of Adaptive Learning and the impact it can have on your organisation. Click here to read more - https:// bit.ly/2Pi95Sg #HR #Tech";;;#ALX #LearningandDevelopment #HR #Tech;"1070271619296301057";https://twitter.com/sproutlogix/status/1070271619296301057
sproutlogix;2018-12-04 07:00;0;1;"Josh Bersin recently wrote about the potential of the Adaptive Learning Market and the impact it could have on L&D. So, what is Adaptive Learning? And how does it help? Our CEO, Mr. Devang Shah gives you his thoughts. Read and find out - http:// bit.ly/2Pi95Sg #HR #ALX";;;#HR #ALX;"1069924329603899392";https://twitter.com/sproutlogix/status/1069924329603899392
sproutlogix;2018-12-03 01:45;0;1;"Mark the 7th of this month on your calendar! We have a new look coming up for our intelligent learning platform - DeveLoop. Want an early sneak peak? We're happy to give you a demo. Request the same by clicking here - https:// bit.ly/2BfYFPp . #HR #HRTech #newlook #ALX pic.twitter.com/SgKmUALomp";;;#HR #HRTech #newlook #ALX;"1069482631446913025";https://twitter.com/sproutlogix/status/1069482631446913025
sproutlogix;2018-11-30 09:30;0;1;"Henry Ford - “The only thing worse than training your employees and having them leave is not training them and having them stay!”. But L&D faces challenges in achieving Tangible returns. Read our Quick Guide to Generate ROI from L&D - https:// bit.ly/2BzeRvg . #HR #HRBlogs #ROI";;;#HR #HRBlogs #ROI;"1068512607437500416";https://twitter.com/sproutlogix/status/1068512607437500416
sproutlogix;2018-11-29 08:00;0;2;"Over $ 90 billion in learning and development, underlining the criticality of this space. Are you genuinely reaping benefit from this function. Here's a Quick Guide to Generate a High Tangible ROI from your L&D Efforts - https:// bit.ly/2BzeRvg #HR #HRBlogs #Business #ROI #LnD";;;#HR #HRBlogs #Business #ROI #LnD;"1068127504609742848";https://twitter.com/sproutlogix/status/1068127504609742848
sproutlogix;2018-11-28 09:30;1;3;"For years, organisations struggled to get a quantitative value out of employee learning initiatives. Is there a way to convert #LnD from a cost to a #profit centre? For sure! Read this Quick Guide to Transform #LnD to be Profitable - https:// bit.ly/2BzeRvg . #HR #HRBlogs";;;#LnD #profit #LnD #HR #HRBlogs;"1067787832687845376";https://twitter.com/sproutlogix/status/1067787832687845376
sproutlogix;2018-11-27 06:20;1;3;"49% of companies report budgetary constraints as the top reason for ineffective learning. L&D can no longer afford to be a cost center. Read our quick guide to Transforming L&D To Generate A Greater ROI - https:// bit.ly/2BzeRvg . #HR #Lnd #roi #profit #businessstrategy";;;#HR #Lnd #roi #profit #businessstrategy;"1067377517126918145";https://twitter.com/sproutlogix/status/1067377517126918145
