username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Sofiyas_Ideas;2018-10-30 18:27;0;0;"Just an FYI, if you're searching for a job in the US, don't use @stellarecruit . They advertise how great they are but end up playing god without telling you. So pissed that I ever used them .";;@stellarecruit;;"1057398731954360321";https://twitter.com/Sofiyas_Ideas/status/1057398731954360321
Zoomdotai;2018-09-03 19:09;0;1;"Thanks for including us!";;;;"1036752963484540929";https://twitter.com/Zoomdotai/status/1036752963484540929
AdvancedHPC;2018-09-03 13:06;2;3;"In Recognition of #LaborDay . . . Five #AI Companies Improving the Workplace: https:// buff.ly/2CbTdji @AgaraLabs @xdotai @textio @stellarecruit @Zoomdotai #LaborDay2018 #AI #blogger #blog #blogpost pic.twitter.com/tNr1pUMqEA";;@AgaraLabs @xdotai @textio @stellarecruit @Zoomdotai;#LaborDay #AI #LaborDay2018 #AI #blogger #blog #blogpost;"1036661611036110849";https://twitter.com/AdvancedHPC/status/1036661611036110849
Im_Sharad_Jain;2018-08-29 01:51;1;2;"@stellarecruit Loved the growth hack by posting jobs on @LinkedIn network and nudging users to sign up on the Stella's own marketplace. Similar to what @Airbnb did on the already existing craigslist network. #GrowthHacking #AI";;@stellarecruit @LinkedIn @Airbnb;#GrowthHacking #AI;"1034679952291979264";https://twitter.com/Im_Sharad_Jain/status/1034679952291979264
MungosCryptos;2018-08-07 02:21;0;0;"What the fuck is up with every job in Australia needing experienced workers?! You can't even rent a house unless you have rental experience! Who can I @to complain about this? @seekjobs @ProgrammedGroup @stellarecruit @RayWhiteGroup @FirstNationalRE @realestate_au";;@to @seekjobs @ProgrammedGroup @stellarecruit @RayWhiteGroup @FirstNationalRE @realestate_au;;"1026714873441316864";https://twitter.com/MungosCryptos/status/1026714873441316864
SpencerStuart;2018-05-29 16:05;1;2;". @usamaf of @stellarecruit , @wadors of @ServiceNow and Beth Axelrod of @Airbnb talk about what #AI means for #talent recruitment and engagement: http:// bit.ly/2KOtWuR";;@usamaf @stellarecruit @wadors @ServiceNow @Airbnb;#AI #talent;"1001555037166940160";https://twitter.com/SpencerStuart/status/1001555037166940160
SpencerStuart;2018-05-24 13:05;3;4;". @usamaf of @stellarecruit , @wadors of @ServiceNow and Beth Axelrod of @Airbnb talk about what #AI means for #talent recruitment and engagement: http:// bit.ly/2KOtWuR";;@usamaf @stellarecruit @wadors @ServiceNow @Airbnb;#AI #talent;"999697792770695174";https://twitter.com/SpencerStuart/status/999697792770695174
taratrucci;2018-03-06 09:55;0;0;". @stellarecruit is your site down?";;@stellarecruit;;"971036627534565376";https://twitter.com/taratrucci/status/971036627534565376
john_am_;2018-03-05 23:54;0;0;"@stellarecruit is your website down?";;@stellarecruit;;"970885204930805760";https://twitter.com/john_am_/status/970885204930805760
justaskkesta;2018-01-31 13:40;0;0;"@stellarecruit for some reason I can't continue onto job preferences after filling in my profile. How can I get to Step 3?";;@stellarecruit;;"958771864138108928";https://twitter.com/justaskkesta/status/958771864138108928
lahelamaxwell;2018-01-25 16:53;0;0;"What was the point of signing up with my @LinkedIn account if it's not going to import my work history??? @stellarecruit";;@LinkedIn @stellarecruit;;"956646237763022848";https://twitter.com/lahelamaxwell/status/956646237763022848
SpencerStuart;2018-01-24 13:15;0;2;"Excited to hear from panelists Beth Axelrod at @Airbnb , @usamaf at @stellarecruit & @wadors at @servicenow on #HR and #AI at our #CHRO reception tonight.";;@Airbnb @usamaf @stellarecruit @wadors @servicenow;#HR #AI #CHRO;"956228868494516225";https://twitter.com/SpencerStuart/status/956228868494516225
SpencerStuart;2018-01-23 16:00;0;0;"We look forward to hosting our #CHRO reception tomorrow with @stellarecruit and @Visa on the future of #HR and #AI .";;@stellarecruit @Visa;#CHRO #HR #AI;"955908181343064065";https://twitter.com/SpencerStuart/status/955908181343064065
razkarmi;2017-12-18 02:50;0;1;"The worlds first shared talent Network https://www. producthunt.com/posts/stella-ai @stellarecruit @ProductHunt #ArtificialIntelligence #Recruiting";;@stellarecruit @ProductHunt;#ArtificialIntelligence #Recruiting;"942663368539885568";https://twitter.com/razkarmi/status/942663368539885568
WorkingNation;2017-12-15 20:11;0;0;"The launch of @stellarecruit will help employers sort through resumés with #AI . For job applicants who've been turned away, the service matches them with other opportunities. https://www. fastcompany.com/40507314/this- ai-marketplace-matches-you-with-a-job-even-if-youre-rejected …";;@stellarecruit;#AI;"941838034294771712";https://twitter.com/WorkingNation/status/941838034294771712
SpencerStuart;2017-10-11 20:47;0;0;"Thanks to @stellarecruit CEO Rich Joffe & @MotoSolutions for a great discussion of #HR and #AI pic.twitter.com/7oknnnJJH2";;@stellarecruit @MotoSolutions;#HR #AI;"918276836924289026";https://twitter.com/SpencerStuart/status/918276836924289026
SpencerStuart;2017-10-11 20:25;1;0;"#HR and #AI : "Start with the problem you’re trying to solve rather than going into the quicksand." - @stellarecruit CEO Rich Joffe";;@stellarecruit;#HR #AI;"918271472099094528";https://twitter.com/SpencerStuart/status/918271472099094528
SpencerStuart;2017-10-11 19:04;1;0;"Looking forward to discussing the impact of #AI on #HR with Manuel Cuevas-Trisan head of HR @MotoSolutions & @stellarecruit CEO Rich Joffe pic.twitter.com/Vpp4ap2Or7";;@MotoSolutions @stellarecruit;#AI #HR;"918251023327727616";https://twitter.com/SpencerStuart/status/918251023327727616
SpencerStuart;2017-10-10 13:24;2;2;"Looking forward to discussing the impact of #AI on #HR tomorrow with Rich Joffe, CEO at @stellarecruit";;@stellarecruit;#AI #HR;"917802914512625669";https://twitter.com/SpencerStuart/status/917802914512625669
SpencerStuart;2017-10-09 10:30;1;1;"We look forward to hosting #HR leaders at @MotoSolutions in partnership with @stellarecruit this Wednesday";;@MotoSolutions @stellarecruit;#HR;"917396747328073728";https://twitter.com/SpencerStuart/status/917396747328073728
MinaSalib09;2017-06-26 12:22;0;0;"5 chatbots that will help you find a job https:// venturebeat.com/2017/06/22/5-c hatbots-that-will-help-you-find-a-job/ … via @VentureBeat feat: @Newton_Talk @stellarecruit @Woo_io @wadeandwendy";;@VentureBeat @Newton_Talk @stellarecruit @Woo_io @wadeandwendy;;"879374360229945344";https://twitter.com/MinaSalib09/status/879374360229945344
mrcamroe;2017-05-29 00:24;0;1;"Testing out @stellarecruit Pretty amazing so far! #hr #recruiting #ai pic.twitter.com/l6t7w2QLVN";;@stellarecruit;#hr #recruiting #ai;"869046702044532736";https://twitter.com/mrcamroe/status/869046702044532736
EricaBreuerful;2017-05-23 13:03;0;1;"@stellarecruit looks like an interesting career tool. I wonder how it compares to @Hired_HQ … http:// buff.ly/2oNeDfo";;@stellarecruit @Hired_HQ;;"867063339888803840";https://twitter.com/EricaBreuerful/status/867063339888803840
kempjaso;2017-05-12 09:38;0;0;"@stellarecruit Can I hop on a call with you guys? Would love to learn more and collaborate on how to improve the tool's capability!";;@stellarecruit;;"863025595617357825";https://twitter.com/kempjaso/status/863025595617357825
CJMoore;2016-09-13 00:29;0;0;"@stellarecruit got you in this article: http://www. huffingtonpost.com/entry/57d7627a e4b047401d04655b?timestamp=1473739189782 …";;@stellarecruit;;"775551992764600320";https://twitter.com/CJMoore/status/775551992764600320
