username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BuiltInChicago;2018-12-12 17:30;3;5;"Never stop learning: How 3 Chicago tech leaders promote continued growth at their companies @labelinsight @stronganalytics @adagetech http:// bit.ly/2zUfQFj";;@labelinsight @stronganalytics @adagetech;;"1072981924321255424";https://twitter.com/BuiltInChicago/status/1072981924321255424
stronganalytics;2018-10-24 00:09;1;1;"Strong-Bootcamp : An ultra-lightweight solution for more rigorous machine learning development https://www. strong.io/blog/strong-bo otcamp-model-development-deployment …";;;;"1054947852923912197";https://twitter.com/stronganalytics/status/1054947852923912197
StackDevJobs;2018-10-19 01:50;2;1;"Data Engineer at @stronganalytics (Chicago, IL) https:// stackoverflow.com/jobs/205179/da ta-engineer-strong-analytics … #python";;@stronganalytics;#python;"1053161322400174080";https://twitter.com/StackDevJobs/status/1053161322400174080
stronganalytics;2018-10-18 13:41;1;0;"Jade strikes again with a new blog post on evolutionary algorithms, including Python implementations of each! https://www. strong.io/blog/evolution ary-optimization … #datascience #optimization";;;#datascience #optimization;"1052978018094735360";https://twitter.com/stronganalytics/status/1052978018094735360
stronganalytics;2018-09-04 17:04;4;9;"Our co-founders @jacobzweig @brocferg were recently featured in a Built in Chicago spotlight! Read about our work and see our team (almost) believably not posing for photos at http:// bit.ly/2Nnw922";;@jacobzweig @brocferg;;"1037084101692588032";https://twitter.com/stronganalytics/status/1037084101692588032
BuiltInChicago;2018-08-29 14:24;1;1;"How @stronganalytics co-founders are ushering in software’s next evolution http:// bit.ly/2NnwhP4";;@stronganalytics;;"1034869290120437761";https://twitter.com/BuiltInChicago/status/1034869290120437761
stronganalytics;2018-07-11 20:39;0;2;"New Strong blog from Jade: Learn how to use simulations of Coulomb's Law for better visualizations of graphs! https://www. strong.io/blog/visualizi ng-graphs-coulomb-simulation …";;;;"1017206816025923584";https://twitter.com/stronganalytics/status/1017206816025923584
stronganalytics;2018-07-07 19:40;0;5;"Wireframing and algorithm research for parallel design sprints in the office. pic.twitter.com/NXaZCaIpFF";;;;"1015742394686320640";https://twitter.com/stronganalytics/status/1015742394686320640
BuiltInChicago;2018-05-24 12:04;3;2;"The perfect fit: Here's what 5 Chicago tech companies look for in new hires @GoHealthDotCom @GuaranteedRate @stronganalytics http:// bit.ly/2s4kOLM";;@GoHealthDotCom @GuaranteedRate @stronganalytics;;"999682602654228480";https://twitter.com/BuiltInChicago/status/999682602654228480
stronganalytics;2018-05-15 18:58;0;1;"New hire alert: This week, we welcomed Noah Salas as our newest data scientist! https://www. strong.io/team";;;;"996525293559934976";https://twitter.com/stronganalytics/status/996525293559934976
brocferg;2018-04-27 20:04;0;3;"@jacobzweig wants me to clarify that this isn’t a real rule and we are a fun place to work";;@jacobzweig;;"990018946915954690";https://twitter.com/brocferg/status/990018946915954690
brocferg;2018-04-26 18:29;0;0;"Haha yes it’s a bit different for open source. This tweet comes from an informal internal rule @stronganalytics though";;@stronganalytics;;"989632674233962496";https://twitter.com/brocferg/status/989632674233962496
stronganalytics;2018-04-24 12:18;0;4;"Delighted to announce that Kieran Mace has joined our ever-growing team of data scientists and engineers! https://www. strong.io/team";;;;"988814332057210880";https://twitter.com/stronganalytics/status/988814332057210880
brocferg;2018-03-28 18:09;3;1;"Great — and lightweight — new package from @stronganalytics ' @jwdink for building custom model interfaces in #rstats https:// twitter.com/stronganalytic s/status/979116399258877952 …";;@stronganalytics @jwdink;#rstats;"979118326361149441";https://twitter.com/brocferg/status/979118326361149441
stronganalytics;2018-03-28 18:01;0;0;"Introducing the "keanu" R package for rapidly building custom model interfaces: https://www. strong.io/blog/keanu-ent er-the-model-matrix … #rstats";;;#rstats;"979116399258877952";https://twitter.com/stronganalytics/status/979116399258877952
stronganalytics;2018-03-04 11:32;2;6;"One of our co-founders, @brocferg , is speaking to @ubc Data Science students on Wednesday about entering the field, consulting vs in-house, and what we look for in candidates! #datascience";;@brocferg @ubc;#datascience;"970336252128980992";https://twitter.com/stronganalytics/status/970336252128980992
stronganalytics;2018-02-28 16:29;0;1;"One of our co-founders, Jacob, talks about why data science consulting is his dream job https:// medium.com/@jacob.zweig/w hy-data-science-consulting-is-my-dream-job-c3704b982dbe …";;@jacob;;"968961369486786560";https://twitter.com/stronganalytics/status/968961369486786560
stronganalytics;2018-01-19 16:34;1;5;"Today we are officially welcoming our newest member, Jade, to the Strong team! https://www. strong.io/team";;;;"954467008338210816";https://twitter.com/stronganalytics/status/954467008338210816
