username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Trustdataprivac;2018-12-04 09:54;3;5;"Foi também pela questão da privacidade dos dados e do #GDPR que a @supa_ai decidiu mudar-se dos EUA para a Europa “Temos legislação que nos permite criar tokens seguros e permitir que as pessoas utilizem os tokens com segurança" @SabineSeymour #dataprivacy https:// observador.pt/2018/11/27/est a-app-cria-um-banco-de-dados-anonimos-atraves-da-roupa-e-acaba-de-chegar-a-lisboa/ …";;@supa_ai @SabineSeymour;#GDPR #dataprivacy;"1069968114538946560";https://twitter.com/Trustdataprivac/status/1069968114538946560
STARTUPLISBOA;2018-12-04 09:00;0;2;"". @supa_ai é uma startup que pretende dar a possibilidade aos mais jovens de recolherem os seus dados biométricos e ambientais e, ao mesmo tempo, obterem retorno financeiro com isso." Bem-vindos à Startup Lisboa e, já agora, ao @observadorpt ! https:// observador.pt/2018/11/27/est a-app-cria-um-banco-de-dados-anonimos-atraves-da-roupa-e-acaba-de-chegar-a-lisboa/ …";;@supa_ai @observadorpt;;"1069954481658318848";https://twitter.com/STARTUPLISBOA/status/1069954481658318848
supa_ai;2018-11-28 09:52;1;6;"Great write up by Ana Catarina Peixoto about SUPA's next steps in Lisbon. SUPA is tokenizing the body. #data #AI #Blockchain #tokenization #gaming #sports #health #GenZ #IoT #fashiontech Thanks Maria Lacerda for connecting, @cea … https:// lnkd.in/gS3PvRs https:// lnkd.in/g85Gcqr";;@cea;#data #AI #Blockchain #tokenization #gaming #sports #health #GenZ #IoT #fashiontech;"1067793242119299074";https://twitter.com/supa_ai/status/1067793242119299074
ithinkout;2018-11-28 01:56;1;4;"SUPA ( @supa_ai ) > The SUPA app can be used to gather data on young people's lifestyles. That interests a lot of brands #biometrics #data #apps #fashion #brandstrategy #future #health #healthtech #innovation More https://www. supa.ai";;@supa_ai;#biometrics #data #apps #fashion #brandstrategy #future #health #healthtech #innovation;"1067673618337927168";https://twitter.com/ithinkout/status/1067673618337927168
supa_ai;2018-11-27 11:42;1;4;"My body was as game controller when presenting SUPA's TOKENZING THE BODY in the session DADA DATA. Thanks for your smile Greg Sherwin. Great insights from @ClareMaryJones @danziconsulting Joe Schaeppi @jfgrossen . This is an attempt to credit for #data #A … https:// lnkd.in/gejNJyT";;@ClareMaryJones @danziconsulting @jfgrossen;#data #A;"1067458667191005184";https://twitter.com/supa_ai/status/1067458667191005184
fashionabletech;2018-11-17 03:34;3;4;"Discussing the future of #fashiontech #lifestyle #data #AI #Blockchain #GenZ http://www. clsbe.lisboa.ucp.pt/node/47441 @farfetch @supa_ai @STARTUPLISBOA pic.twitter.com/pxZ04wwawe";;@farfetch @supa_ai @STARTUPLISBOA;#fashiontech #lifestyle #data #AI #Blockchain #GenZ;"1063711889732050945";https://twitter.com/fashionabletech/status/1063711889732050945
supa_ai;2018-11-17 02:32;1;3;"Keynote @Pioneers Health. SUPA pays #GenZ for #biometric #data with #tokens . #Blockchain #dataownership #dataethics https:// lnkd.in/gQXBhFt pic.twitter.com/6x6IV8VPrd";;@Pioneers;#GenZ #biometric #data #tokens #Blockchain #dataownership #dataethics;"1063696304088461313";https://twitter.com/supa_ai/status/1063696304088461313
supa_ai;2018-11-16 15:13;1;3;"Looking forward to speaking about my career of 20 years in #fashiontech #wearabletechnology #sensors #AI and the #Blockchain type encryption methodology for biometric data I proposed in 2014 with @nunoribeiro Filipa Neto Farfetch @thejoanarafael . @pierr … https:// lnkd.in/gEJY924";;@nunoribeiro @thejoanarafael @pierr;#fashiontech #wearabletechnology #sensors #AI #Blockchain;"1063525504135745536";https://twitter.com/supa_ai/status/1063525504135745536
switchGirl;2018-11-14 18:51;0;1;"That looks intense and fun! Keep up the good work!";;;;"1062855576411992064";https://twitter.com/switchGirl/status/1062855576411992064
supa_ai;2018-11-14 05:05;2;8;"Great fun pitching SUPA at #Blockchain Boat Party https:// lnkd.in/g7fM5Qv . Thanks Bright Pixel for the invite @celso @ants4all UTRUST TRON Foundation and cheers Hugo Castro. #GenZ #health #sports #tokenization #ai https:// lnkd.in/g8krTRn";;@celso @ants4all;#Blockchain #GenZ #health #sports #tokenization #ai;"1062647771000229888";https://twitter.com/supa_ai/status/1062647771000229888
ForexNewsID;2018-11-03 14:23;0;0;"@supa_ai Hello SUPA. We see you are a ICO enthusiast. Quickly, sharing this project that can geo-locate digital assets giving them a real, physical location. https:// platin.io / , https:// hackernoon.com/meet-platins-p roof-of-location-a-secure-and-verifiable-location-consensus-protocol-336528626e7e?gi=1e08a4472970 …";;@supa_ai;;"1058786782769115136";https://twitter.com/ForexNewsID/status/1058786782769115136
supa_ai;2018-10-31 18:43;1;4;"@timleberecht convinced me to talk about my 20 year career in #fashiontech and the #art and #science of living in #style at http:// houseofbeautifulbusiness.com with Jodie Patterson @albersmark and @danziconsulting Chief Client Officer at Tory Burch which is par… https:// lnkd.in/gJFFGCm";;@timleberecht @albersmark @danziconsulting;#fashiontech #art #science #style;"1057765126906892289";https://twitter.com/supa_ai/status/1057765126906892289
supa_ai;2018-10-31 17:43;1;3;"SUPA excited to present at DADA DATA at the House of Beautiful Business. Tokenizing the Body? Data for Good? #blockchain #datasecurity #tokenization #dataownership #AI #digitalhealth #GenZ #sports #gaming Honored to have Greg Sher… https:// lnkd.in/givwpQf https:// lnkd.in/gB3393b";;;#blockchain #datasecurity #tokenization #dataownership #AI #digitalhealth #GenZ #sports #gaming;"1057749940514938881";https://twitter.com/supa_ai/status/1057749940514938881
fashionabletech;2018-10-13 03:50;0;3;"Honored to be part of such an amazing line up! Salon: Dada Data: How can we make #data #human again? @supa_ai #AI #GenZ #token #ownership https:// twitter.com/timleberecht/s tatus/1050353395104698368 …";;@supa_ai;#data #human #AI #GenZ #token #ownership;"1051017349732716544";https://twitter.com/fashionabletech/status/1051017349732716544
HubertZajicek;2018-10-10 05:41;2;5;"#healthpioneers @pioneers Sabine Seymour CEO of @supa_ai talking about tokenizing health data of #genZ pic.twitter.com/OSqqNdHULe";;@pioneers @supa_ai;#healthpioneers #genZ;"1049958070791606273";https://twitter.com/HubertZajicek/status/1049958070791606273
supa_ai;2018-09-25 11:27;0;5;"Thanks for organizing a great #blockchain conference in #Lisbon to intro SUPA & tokenizing the body. #genz #biometric #data #tokens https:// twitter.com/STARTUPLISBOA/ status/1042832546411814912 …";;;#blockchain #Lisbon #genz #biometric #data #tokens;"1044609331004678144";https://twitter.com/supa_ai/status/1044609331004678144
dmexco;2018-09-25 08:08;1;3;"Sabine Seymour, Founder & CEO @supa_ai & ihre Idee von „Tokenizing your Body“ haben wir dir schon mal in einer Story vorgestellt. Hast du dir ihren Vortrag auf der #DMEXCO18 angeschaut? Du solltest auch nicht verpassen, was sie uns im TV-Studio erzählt hat https:// hubs.ly/H0dV5Tw0";;@supa_ai;#DMEXCO18;"1044559148879368192";https://twitter.com/dmexco/status/1044559148879368192
dmexco;2018-09-25 05:09;1;2;"Sabine Seymour, Founder & CEO of @supa_ai & her idea of "Tokenizing your Body" have already been introduced to you in a story. Did you manage to watch her talk at the #DMEXCO18 ? You shouldn't miss her appearance in our TV studio: https:// hubs.ly/H0dV5Kq0";;@supa_ai;#DMEXCO18;"1044514112410136576";https://twitter.com/dmexco/status/1044514112410136576
masha___;2018-09-23 13:37;0;1;"check this out! works great! @supa_ai https:// lnkd.in/dhVKjCW";;@supa_ai;;"1043917234157088768";https://twitter.com/masha___/status/1043917234157088768
supa_ai;2018-09-23 08:19;1;3;"Looking forward to present SUPA at https:// startupdays.ch / Startup INVEST in Bern #Switzerland . SUPA is tokenizing the body. #blockchain #tokenization #digitalhealth #GenZ #startups #VC https:// lnkd.in/dkQFsjk";;;#Switzerland #blockchain #tokenization #digitalhealth #GenZ #startups #VC;"1043837350588100608";https://twitter.com/supa_ai/status/1043837350588100608
supa_ai;2018-09-21 07:51;0;4;"At SUPA we are tokenizing the body. We pay GenZ for their anonymized lifestyle data. Our data kits SUPA Move, SUPA Surf, ... focus on sports and music. Get paid for your moves . https:// lnkd.in/dA6c3Uj";;;;"1043105352202502144";https://twitter.com/supa_ai/status/1043105352202502144
STARTUPLISBOA;2018-09-20 10:38;2;7;"Why #genz @supa_ai ? “they don’t know another world that is not mobile. We don’t have to explain to them” #token #blockchain pic.twitter.com/y2o3durgrq";;@supa_ai;#genz #token #blockchain;"1042785058015375360";https://twitter.com/STARTUPLISBOA/status/1042785058015375360
STARTUPLISBOA;2018-09-20 10:35;2;8;"Sabine from @supa_ai and Michael Vollmer “Human body is an asset we all have, how to create value with that?” #token #blockchain pic.twitter.com/PGMvY00Lqk";;@supa_ai;#token #blockchain;"1042784231179649024";https://twitter.com/STARTUPLISBOA/status/1042784231179649024
