username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
botlistco;2018-09-16 08:29;0;0;"@swayfinance someone should claim your @BotListco page https:// botlist.co/bots/sway-fina nce …";;@swayfinance @BotListco;;"1041303051531956224";https://twitter.com/botlistco/status/1041303051531956224
sifteryrecs;2018-02-25 05:38;0;0;"Have you ever used Sway Finance ( @swayfinance ) and recommend them? You can do it here http:// siftery.com/sway-finance?r ecommend …";;@swayfinance;;"967710265197432832";https://twitter.com/sifteryrecs/status/967710265197432832
botlistco;2017-12-09 07:09;0;0;"@swayfinance someone should claim your @BotListco page https:// botlist.co/bots/sway-fina nce …";;@swayfinance @BotListco;;"939466956742242304";https://twitter.com/botlistco/status/939466956742242304
kolegraffvclink;2017-11-23 12:19;1;1;". @swayfinance @ycombinator San Francisco, CA. A huge #kolegraffvclink Silicon Valley welcome to the Startup Team @swayfinance . See=> http:// swayfinance.com + RT pic.twitter.com/1WMqNc0i0T";;@swayfinance @ycombinator @swayfinance;#kolegraffvclink;"933746751848161280";https://twitter.com/kolegraffvclink/status/933746751848161280
kolegraffvclink;2017-11-19 13:35;0;0;". @swayfinance @ycombinator A huge #kolegraffvclink Silicon Valley welcome to the Startup Team @swayfinance . See=> http:// swayfinance.com + RT pic.twitter.com/RdsV2ankQl";;@swayfinance @ycombinator @swayfinance;#kolegraffvclink;"932316423296204801";https://twitter.com/kolegraffvclink/status/932316423296204801
kolegraffvclink;2017-11-15 15:56;0;0;"@swayfinance @ycombinator A huge #kolegraffvclink Silicon Valley welcome to the Startup Team @swayfinance . See=> http:// swayfinance.com + RT pic.twitter.com/3qpKn8Zici";;@swayfinance @ycombinator @swayfinance;#kolegraffvclink;"930902388814233600";https://twitter.com/kolegraffvclink/status/930902388814233600
kolegraffvclink;2017-11-08 15:40;0;1;". @swayfinance @ycombinator San Francisco. A huge #kolegraffvclink Silicon Valley welcome to the Startup Team @swayfinance . See=> http:// swayfinance.com + RT pic.twitter.com/tElZ6waE0I";;@swayfinance @ycombinator @swayfinance;#kolegraffvclink;"928361711211446272";https://twitter.com/kolegraffvclink/status/928361711211446272
sifteryhello;2017-05-10 14:17;0;0;"@swayfinance You're on Siftery! Add your customers and get recommended http:// siftery.com/sway-finance";;@swayfinance;;"862370904923361280";https://twitter.com/sifteryhello/status/862370904923361280
Cardlifeapp;2017-05-10 08:04;0;0;"Love @swayfinance ? So do we! Track and manage your Sway Finance subscription #finance #SaaSorted with @Cardlifeapp https:// goo.gl/2Is5lh";;@swayfinance @Cardlifeapp;#finance #SaaSorted;"862277214359793665";https://twitter.com/Cardlifeapp/status/862277214359793665
Cardlifeapp;2017-03-22 08:03;0;0;"Using @swayfinance ? Manage sway-finance subscription with @Cardlifeapp #finance #SaaS Save time & money https:// goo.gl/2Is5lh";;@swayfinance @Cardlifeapp;#finance #SaaS;"844519788068024321";https://twitter.com/Cardlifeapp/status/844519788068024321
