username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OrrickTA;2018-03-29 20:27;2;3;"Best pitch goes to... @Orrick client @HelloVera_ai #flashpitch pic.twitter.com/qT2iMfYpKP – bei Rise New York";;@Orrick @HelloVera_ai;#flashpitch;"979515533526695936";https://twitter.com/OrrickTA/status/979515533526695936
Peak_Support;2018-02-06 10:00;0;1;"@IBMWatson says it can lower customer service costs by 40%. Read more in our deep dive on #AI in customer service: (link) #CustomerService #ArtificialIntelligence #CustServ #CX @trueaicompany @DigitalGeniusAI @hellovera_ai @IBMWatson @GetAgentAI @zendesk @intercom @helpscout";;@IBMWatson @trueaicompany @DigitalGeniusAI @hellovera_ai @IBMWatson @GetAgentAI @zendesk @intercom @helpscout;#AI #CustomerService #ArtificialIntelligence #CustServ #CX;"960890918088953856";https://twitter.com/Peak_Support/status/960890918088953856
Peak_Support;2018-02-04 15:00;0;0;"How much money can AI really save call centers? Read our deep dive on #AI in customer service to find out: (link) #CustomerService #ArtificialIntelligence #CustServ #CX @trueaicompany @DigitalGeniusAI @hellovera_ai @IBMWatson @GetAgentAI @zendesk @intercom @helpscout";;@trueaicompany @DigitalGeniusAI @hellovera_ai @IBMWatson @GetAgentAI @zendesk @intercom @helpscout;#AI #CustomerService #ArtificialIntelligence #CustServ #CX;"960241554232414208";https://twitter.com/Peak_Support/status/960241554232414208
Peak_Support;2018-02-03 15:00;0;0;"Why does Bob Morgen of @trueaicompany say that humans are an essential part of artificial intelligence systems? https:// buff.ly/2FziAbg #ArtificialIntelligence #A #CustServ #CX I@trueaicompany @DigitalGeniusAI @hellovera_ai @IBMWatson @GetAgentAI @zendesk @intercom @helpscout";;@trueaicompany @trueaicompany @DigitalGeniusAI @hellovera_ai @IBMWatson @GetAgentAI @zendesk @intercom @helpscout;#ArtificialIntelligence #A #CustServ #CX;"959879261669744641";https://twitter.com/Peak_Support/status/959879261669744641
Peak_Support;2018-02-02 15:00;0;1;"Which #AI startups could win the race to replace human #CustomerService agents? See our deep dive: https:// buff.ly/2FxoGZP #CustomerService #ArtificialIntelligence #CustServ #CX @trueaicompany @DigitalGeniusAI @hellovera_ai @IBMWatson @GetAgentAI @Zendesk @intercom @helpscout";;@trueaicompany @DigitalGeniusAI @hellovera_ai @IBMWatson @GetAgentAI @Zendesk @intercom @helpscout;#AI #CustomerService #CustomerService #ArtificialIntelligence #CustServ #CX;"959516975335604225";https://twitter.com/Peak_Support/status/959516975335604225
Peak_Support;2018-02-01 15:01;2;1;"When will artificial intelligence replace human agents in call centers? Read our deep dive on #AI to find out: https:// buff.ly/2DR5hmd #ArtificialIntelligence #CustServ #CX @trueaicompany @DigitalGeniusAI @hellovera_ai @IBMWatson @GetAgentAI @zendesk @intercom @helpscout";;@trueaicompany @DigitalGeniusAI @hellovera_ai @IBMWatson @GetAgentAI @zendesk @intercom @helpscout;#AI #ArtificialIntelligence #CustServ #CX;"959154708366659584";https://twitter.com/Peak_Support/status/959154708366659584
NYUFutureLabs;2017-12-29 12:00;5;16;"4 of our portfolio companies— @clarifai , @klustera , @hellovera_ai , and Cambrian Intelligence—topped @CultureTrip 's list of hottest #AI #startups in NYC. Couldn't be happier to incubate businesses that are fueling the city's AI ecosystem. http:// ow.ly/WC2e30h6bge";;@clarifai @klustera @hellovera_ai @CultureTrip;#AI #startups;"946788028269383686";https://twitter.com/NYUFutureLabs/status/946788028269383686
NYUFutureLabs;2017-12-19 12:01;0;1;". @CultureTrip lists @HelloVera_ai , an alumnus of our first #AINexusLab cohort, among New York City's top #AI #startups and the cofounders' experience building @IBMWatson . http:// ow.ly/WC2e30h6bge";;@CultureTrip @HelloVera_ai @IBMWatson;#AINexusLab #AI #startups;"943164434125647873";https://twitter.com/NYUFutureLabs/status/943164434125647873
stevenkuyan;2017-12-11 14:16;1;5;"@tealwillingham from @NYUFutureLabs and James Fan from @HelloVera_ai talking about how AI will work alongside human employees at Machine Learning Innovation Summit pic.twitter.com/82GnOnjdpP";;@tealwillingham @NYUFutureLabs @HelloVera_ai;;"940299148519268353";https://twitter.com/stevenkuyan/status/940299148519268353
AliHShah;2017-12-05 13:03;0;0;"RT @NYUFutureLabs : . @tealwillingham , GM at our SoHo office, interviews @HelloVera_ai 's cofounder James Fan about empowering employees with #AI at #MLNY 1 week from today. Mark your calendar for this lunchtime event! http:// ow.ly/r4j530gU0Kp";;@NYUFutureLabs @tealwillingham @HelloVera_ai;#AI #MLNY;"938106510604931072";https://twitter.com/AliHShah/status/938106510604931072
