username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hanifjosh;2018-12-20 12:51;2;11;"Unbelievably proud of the @SymendInc team for making 2018 such a successful year and beyond excited to go even further in 2019. https:// twitter.com/SymendInc/stat us/1075806695765483521 …";;@SymendInc;;"1075810852085805057";https://twitter.com/hanifjosh/status/1075810852085805057
SymendInc;2018-12-20 12:34;7;18;"Heading into 2019, we're reflecting on our winning pitch from the 2018 Canada FinTech Forum where our co-founders @hanifjosh and Tiffany took home Top Fintech Startup, $150,000 from Luge Capital, plus a $25,000 jury prize from Finance Montréal. Enjoy! https://www. youtube.com/watch?v=fm2yGf YY7Fc …";;@hanifjosh;;"1075806695765483521";https://twitter.com/SymendInc/status/1075806695765483521
janakaitaylor;2018-12-18 14:44;0;1;"Our @321Growth Our holiday video is here ft. @stellaralgo @ABenterpriseCor @benevity @yyctechnologies @fredsensetech @deaconrogers @ImLocum @lawcubator @PolicyWorksInc @carrie_gour @ShareSmartApp @startupcalgary @PRtheagency @SymendInc (Vid by @medialabyyc ) #LetItGrow";;@321Growth @stellaralgo @ABenterpriseCor @benevity @yyctechnologies @fredsensetech @deaconrogers @ImLocum @lawcubator @PolicyWorksInc @carrie_gour @ShareSmartApp @startupcalgary @PRtheagency @SymendInc @medialabyyc;#LetItGrow;"1075114630869970944";https://twitter.com/janakaitaylor/status/1075114630869970944
321Growth;2018-12-14 11:37;4;13;"Let it grow! Our holiday video is here ft. @stellaralgo @ABenterpriseCor @benevity @yyctechnologies @fredsensetech @deaconrogers @ImLocum @lawcubator @PolicyWorksInc @carrie_gour @ShareSmartApp @startupcalgary @PRtheagency @SymendInc (Vid by @medialabyyc ) https://www. youtube.com/watch?v=aTwNtz 46R6E …";;@stellaralgo @ABenterpriseCor @benevity @yyctechnologies @fredsensetech @deaconrogers @ImLocum @lawcubator @PolicyWorksInc @carrie_gour @ShareSmartApp @startupcalgary @PRtheagency @SymendInc @medialabyyc;;"1073617997963685889";https://twitter.com/321Growth/status/1073617997963685889
TateHackert;2018-12-03 17:44;1;4;"thanks for the shout out. And to everyone listed... pic.twitter.com/6oEtrymV0v";;;;"1069724022194106368";https://twitter.com/TateHackert/status/1069724022194106368
Koridorapp;2018-12-03 16:18;0;8;"Let's go #yyc and #yeg thanks for the shoutout @terrahub_news glad to be among such great companies! Great to see such a great ecosystem of tech talent! I'd like to also mention @CraftTappAB @GoalZeroHse @DeepwaterFarms";;@terrahub_news @CraftTappAB @GoalZeroHse @DeepwaterFarms;#yyc #yeg;"1069702328301760514";https://twitter.com/Koridorapp/status/1069702328301760514
InnoTraction;2018-11-30 21:46;0;2;"Congrats @hanifjosh @symendinc";;@hanifjosh @symendinc;;"1068697715805057026";https://twitter.com/InnoTraction/status/1068697715805057026
hanifjosh;2018-11-30 19:55;0;1;"Thanks!";;;;"1068669845464539136";https://twitter.com/hanifjosh/status/1068669845464539136
ArleighGV;2018-11-30 19:49;0;3;"Congratulations!";;;;"1068668273556774913";https://twitter.com/ArleighGV/status/1068668273556774913
SymendInc;2018-11-30 19:01;0;1;"Thank you!";;;;"1068656173509836801";https://twitter.com/SymendInc/status/1068656173509836801
VanbexGroup;2018-11-30 18:53;0;2;"Congrats! Your team did a great job";;;;"1068654164249583622";https://twitter.com/VanbexGroup/status/1068654164249583622
hanifjosh;2018-11-30 18:39;9;28;"We won! Ending a busy week on a high note, kudos to the @SymendInc team for all their hard work to make wins like this possible. Here’s to a bright future! #VF2018 https:// twitter.com/SymendInc/stat us/1068649489001406464 …";;@SymendInc;#VF2018;"1068650794684043264";https://twitter.com/hanifjosh/status/1068650794684043264
SymendInc;2018-11-30 18:34;1;8;"Here’s our fearless leader @hanifjosh w/ @NCFACanada #VF2018 judges sharing how Symend is reinventing debt recovery. pic.twitter.com/oOQxsjwEMY";;@hanifjosh @NCFACanada;#VF2018;"1068649489001406464";https://twitter.com/SymendInc/status/1068649489001406464
NCFACanada;2018-11-30 18:19;6;13;"Congratulations to @SymendInc @hanifjosh winning the 1st live pitching round. #VF2018 pic.twitter.com/5FjhUPuYib";;@SymendInc @hanifjosh;#VF2018;"1068645657672527872";https://twitter.com/NCFACanada/status/1068645657672527872
NCFACanada;2018-11-30 17:13;6;8;"Good luck to each company pitching! #VF2018 Hanif Joshaghani @hanifjosh CEO & Co-founder, @SymendInc James Atherton CEO & Founder, Capiche Capital Technologies Corp @CapicheCapital Lance Montgomery @MontgomeryLance Founder & CEO, @HeyBryanHQ pic.twitter.com/2nomRjxRAZ";;@hanifjosh @SymendInc @CapicheCapital @MontgomeryLance @HeyBryanHQ;#VF2018;"1068629108576243712";https://twitter.com/NCFACanada/status/1068629108576243712
NCFACanada;2018-11-30 17:11;0;1;"1ST LIVE PITCHING PANEL: @CapicheCapital @SymendInc @HeyBryanHQ 3 companies will pitch to a panel of judges and investor crowd for a chance to win prizes and profile on their journey to raising capital and future success. #VF2018 #Vancouver #startup #startups pic.twitter.com/bf1mWgS8IA";;@CapicheCapital @SymendInc @HeyBryanHQ;#VF2018 #Vancouver #startup #startups;"1068628511957573632";https://twitter.com/NCFACanada/status/1068628511957573632
hanifjosh;2018-11-30 15:41;8;16;"Taking to the stage soon to pitch @SymendInc at @NCFACanada #VF2018 ! Come find me to connect or visit our website to learn how we’re empowering people to get ahead w/ positive & proactive consumer engagement. http://www. symend.com https:// twitter.com/SymendInc/stat us/1064670167236558850 …";;@SymendInc @NCFACanada;#VF2018;"1068605987945242624";https://twitter.com/hanifjosh/status/1068605987945242624
SymendInc;2018-11-30 12:36;1;11;"We’re lucky to be among such good company! S/o @ZayZoonTransfer @mikatahealth @vizworx @opliiapp @KeepSecure @theleankor @interfacefluids";;@ZayZoonTransfer @mikatahealth @vizworx @opliiapp @KeepSecure @theleankor @interfacefluids;;"1068559506320191489";https://twitter.com/SymendInc/status/1068559506320191489
Helcim;2018-11-30 10:43;1;10;"Thanks for the mention! Lots of great tech talent in #YYC including @Passportal , @arcurve , @thechataHQ and many many more!";;@Passportal @arcurve @thechataHQ;#YYC;"1068531028854099968";https://twitter.com/Helcim/status/1068531028854099968
aimsioinc;2018-11-30 10:40;0;11;"Thanks for the shout out @janakaitaylor ! We'll keep this kudos train going by mentioning @Helcim @arcurve @terrahub_news @atVenu .";;@janakaitaylor @Helcim @arcurve @terrahub_news @atVenu;;"1068530328522780672";https://twitter.com/aimsioinc/status/1068530328522780672
janakaitaylor;2018-11-30 07:47;0;8;"Just a few @SymendInc @athennian @Micro_Mech @stellaralgo @showpassevents @aimsioinc";;@SymendInc @athennian @Micro_Mech @stellaralgo @showpassevents @aimsioinc;;"1068486672482951168";https://twitter.com/janakaitaylor/status/1068486672482951168
SymendInc;2018-11-29 14:44;1;7;"Making stellar connections in beautiful San Diego, California this week w/ some real forward-thinkers attending the 2018 @EnerTechCap Energy Technology Forum. Grateful to be here #ECPForum2018";;@EnerTechCap;#ECPForum2018;"1068229298853634048";https://twitter.com/SymendInc/status/1068229298853634048
hanifjosh;2018-11-26 19:41;4;22;"Starting the night off strong w/ our friend @alexanderpeh , VP Innovation at @RBC and nominee for #Fintech Leader of the Year! I’m grateful to represent @SymendInc , nominated for Startup of the Year among such great company. Best of luck to all! @CAFintechAwards #fintechawards pic.twitter.com/nv7agoaoei";;@alexanderpeh @RBC @SymendInc @CAFintechAwards;#Fintech #fintechawards;"1067216740361203712";https://twitter.com/hanifjosh/status/1067216740361203712
SymendInc;2018-11-26 13:01;6;15;"It's a big week for Symend! Nominated for #FinTech Startup of The Year @DFInstitute @CAFintechAwards in Toronto tonight, San Diego for the @EnerTechCap Energy Technology Forum tomorrow, and Vancouver to pitch at VanFunding 2018 on Friday @NCFACanada #VF2018 . Stay tuned for more!";;@DFInstitute @CAFintechAwards @EnerTechCap @NCFACanada;#FinTech #VF2018;"1067116024963756032";https://twitter.com/SymendInc/status/1067116024963756032
EnerTechCap;2018-11-23 19:47;0;3;"We can’t wait! #ECPForum2018";;;#ECPForum2018;"1066131074059653120";https://twitter.com/EnerTechCap/status/1066131074059653120
NCFACanada;2018-11-23 16:37;8;11;"Presenting the VanFUNDING 2018 Pitching Companies #VF2018 competing next week in Vancouver! #emergingstars Good luck to all. @CapicheCapital @DriveHockey @HeyBryanHQ Flux Network @MOCA_Estimator @SquamishCanyon @SymendInc VEME @VeryGoodButcher @zenGOTzen pic.twitter.com/OeSIUh0xrz";;@CapicheCapital @DriveHockey @HeyBryanHQ @MOCA_Estimator @SquamishCanyon @SymendInc @VeryGoodButcher @zenGOTzen;#VF2018 #emergingstars;"1066083422752239616";https://twitter.com/NCFACanada/status/1066083422752239616
SymendInc;2018-11-23 15:35;4;11;"Our Co-Founder, Tiffany Kaminsky will be in San Diego for the @EnerTechCap Energy Technology Forum next week to connect with some of the world's leading #energy innovators. Find out how Symend can transform your customer engagement today: http://www. symend.com #fintech pic.twitter.com/hJmZyN5Rqh";;@EnerTechCap;#energy #fintech;"1066067815097135104";https://twitter.com/SymendInc/status/1066067815097135104
jasonlk;2018-11-21 10:32;0;1;"Just email me more";;;;"1065266640533839874";https://twitter.com/jasonlk/status/1065266640533839874
