username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GoBirdhouse;2018-06-12 06:20;0;0;"Op 20 juni delen top Growth Marketeers Nicholas D'hondt ( @plann3rdotcom ), Timothy Verhaeghe (ex- @taglayer ) Geert Van Kerckhoven & Wouter Lachat (Osmosis) de nieuwste marketing trends en tips op maat van start-ups! Come and join us! https:// brdh.se/growthhacks-ey novation … pic.twitter.com/ROueuHhpB9";;@plann3rdotcom @taglayer;;"1006481331252072449";https://twitter.com/GoBirdhouse/status/1006481331252072449
taglayer;2018-05-08 05:29;0;2;"Three ways artificial intelligence can enhance your #personalisation strategy! https://www. forbes.com/sites/forbesag encycouncil/2018/04/17/three-ways-artificial-intelligence-can-enhance-your-personalization-strategy/#28808ec35159 …";;;#personalisation #28808ec35159;"993784974447869952";https://twitter.com/taglayer/status/993784974447869952
taglayer;2018-05-07 05:14;0;4;"A new week, a new success story to start off an inspiring new week. #startup #entrepreneurship https:// hackernoon.com/how-we-bootstr apped-our-startup-to-1m-in-12-months-and-you-can-too-dad55578062c …";;;#startup #entrepreneurship;"993418734911000577";https://twitter.com/taglayer/status/993418734911000577
taglayer;2018-05-04 09:17;0;1;"Customer experience on the website is important, but how will it develop in the future? Read it in this article! #UX #personalisation https:// hackernoon.com/how-technology -is-reshaping-the-consumer-experience-c5bc72e5dc52 …";;;#UX #personalisation;"992392891220856834";https://twitter.com/taglayer/status/992392891220856834
taglayer;2018-05-04 05:02;0;1;"Interesting read on what kind of #marketing AI's can be used by physical retailers. https:// martechtoday.com/three-ai-marke ting-trends-for-brick-and-mortar-retailers-214917 …";;;#marketing;"992328540543733760";https://twitter.com/taglayer/status/992328540543733760
taglayer;2018-05-03 05:59;0;1;"Take this into consideration if you’d like to improve your a/b testing. #abtesting https:// hackernoon.com/we-are-misusin g-a-b-tests-heres-what-you-should-do-with-them-instead-53d4e7ab19cc …";;;#abtesting;"991980464436072449";https://twitter.com/taglayer/status/991980464436072449
taglayer;2018-05-02 10:39;0;3;"A #limerick like this one may sound cheesy But is a fast strategy you can use effortlessly. It shortly states what you do While it’s easy for customers to chew For you, we make #personalisation just as easy.";;;#limerick #personalisation;"991688591821688832";https://twitter.com/taglayer/status/991688591821688832
taglayer;2018-05-02 04:08;0;2;"The best way to start a new month is with a day off Hope you guys spent it well! #workersday";;;#workersday;"991590319685885952";https://twitter.com/taglayer/status/991590319685885952
taglayer;2018-04-30 08:35;0;2;""Should marketers automate everything they can, just because they have the ability to do so?" Very interesting read on Automation vs #Personalisation https://www. onlinemarketinginstitute.org/blog/2017/10/a utomation-vs-personalization-marketing-campaigns/ …";;;#Personalisation;"990932744581632000";https://twitter.com/taglayer/status/990932744581632000
plann3rdotcom;2018-04-30 08:29;0;0;"Soon my friends...";;;;"990931096278794240";https://twitter.com/plann3rdotcom/status/990931096278794240
taglayer;2018-04-30 08:23;0;1;"We can't wait @plann3rdotcom ! We're curious about what you guys have #planned for us";;@plann3rdotcom;#planned;"990929626653392903";https://twitter.com/taglayer/status/990929626653392903
cumul_io;2018-03-01 11:02;0;0;"Ready to rock at #hashcode #hashcode2018 at Antwerp Hub in @MASAntwerpen by @taglayer @googleeurope -- good luck to all!! pic.twitter.com/qtw6y838S5";;@MASAntwerpen @taglayer @googleeurope;#hashcode #hashcode2018;"969241456836841472";https://twitter.com/cumul_io/status/969241456836841472
taglayer;2017-10-25 06:53;0;1;"Mid-Week Motivation #OfficeWithAView pic.twitter.com/Wxg31925Ha";;;#OfficeWithAView;"923140470611509248";https://twitter.com/taglayer/status/923140470611509248
Patrick62ven;2017-10-22 10:01;0;0;"Ik wacht nog steeds op jullie bericht dat #arco 100% wordt uitbetaald";;;#arco;"922100690113236993";https://twitter.com/Patrick62ven/status/922100690113236993
