username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ScaleUpVD;2018-12-14 09:55;0;2;"Interesting talk by Wiktor Bourée @MyTechnis #VDtech #IoT #Healthcare https:// twitter.com/MyTechnis/stat us/1068963098562830336 …";;@MyTechnis;#VDtech #IoT #Healthcare;"1073592226708623360";https://twitter.com/ScaleUpVD/status/1073592226708623360
EPFL_Park;2018-12-12 02:45;1;4;"Discover the pitch of @MyTechnis CEO Wiktor Bourée, along with the start-up Data scientist Laurent D'Andrès, at the @SwissAI_ Meetup. How AI is revolutionizing the use of the #flooring ? What are the main benefits and challenges ? https://www. youtube.com/watch?v=sLCoWf BNibw …";;@MyTechnis @SwissAI_;#flooring;"1072759224390823936";https://twitter.com/EPFL_Park/status/1072759224390823936
MyTechnis;2018-11-30 04:41;6;13;"Discover below the pitch of our CEO Wiktor Bourée, along with our Data scientist Laurent D'Andrès, at the @SwissAI_ Meetup. How AI is revolutionizing the use of the #flooring ? What are the main benefits and challenges ? https://www. youtube.com/watch?v=sLCoWf BNibw …";;@SwissAI_;#flooring;"1068439746395947008";https://twitter.com/MyTechnis/status/1068439746395947008
FIT_fund;2018-11-28 12:40;2;5;"Technis is taking a major step in its growth by consolidating its activities in France (in French): http:// bit.ly/2AECxhw via @startuptickerCH #startupfit #VDtech @MyTechnis pic.twitter.com/jhOqHQDujV";;@startuptickerCH @MyTechnis;#startupfit #VDtech;"1067835579583381504";https://twitter.com/FIT_fund/status/1067835579583381504
scib_fr;2018-11-24 14:00;4;1;"Le regard de Wiktor Bourée, Co-fondateur et CEO de Technis, sur le secteur #événementiel : « La vraie #innovation doit apporter un bénéfice à l’organisateur » ! Point de vue inspirant #eventprofs #startups @MyTechnis http:// bit.ly/2MwFTWj pic.twitter.com/MSl72wPmUB";;@MyTechnis;# #innovation #eventprofs #startups;"1066406111861977094";https://twitter.com/scib_fr/status/1066406111861977094
FIT_fund;2018-11-20 02:50;1;1;"Technis consolidates its activities in France (Post in French): http:// bit.ly/2AECxhw via @startuptickerCH #startupfit #VDtech @MyTechnis pic.twitter.com/NGHa1izNVa";;@startuptickerCH @MyTechnis;#startupfit #VDtech;"1064787982039859201";https://twitter.com/FIT_fund/status/1064787982039859201
MyTechnis;2018-11-13 07:31;4;11;"Technis team was awarded by the US Ambassador Edward T. McMullen, Jr. at the Venture Leaders graduation ceremony in Bern. @venturelab_ch Photo credits: U.S. Embassy Bern #smartflooringasaservice #vleaders pic.twitter.com/YGbU8bFjOU";;@venturelab_ch;#smartflooringasaservice #vleaders;"1062322105788891136";https://twitter.com/MyTechnis/status/1062322105788891136
Innovaud;2018-11-09 02:45;0;5;"Nouveau portrait vidéo | Spin-off de l'EPFL, Technis développe des sols connectés pour le marché médical http:// bit.ly/2NSBCS3 #VDtech #medtech #healthcare #IoT @MyTechnis @EPFL_en pic.twitter.com/OyHdPWSBSx";;@MyTechnis @EPFL_en;#VDtech #medtech #healthcare #IoT;"1060800446116360193";https://twitter.com/Innovaud/status/1060800446116360193
venturelab_ch;2018-11-08 06:43;0;5;"How to talk to investors? @GamayaNews CEO Yosef Akhtman shares fundraising strategies at #AskTheEntrepreneur @EPFL based on his founder's experience. Next up "The art of sales & negotiation" on Nov 21st with @MyTechnis CEO Wiktor Bouree. Sign up now https:// bit.ly/2ATI4AN pic.twitter.com/m3v5jvuQMt";;@GamayaNews @EPFL @MyTechnis;#AskTheEntrepreneur;"1060497920980594688";https://twitter.com/venturelab_ch/status/1060497920980594688
venturelab_ch;2018-11-07 12:49;4;16;"First to receive their diploma at @USEmbassyBern : 2018 #VleadersTech , after a successful business roadshow in Silicon Valley. Congrats to @CREAL_3D @dotphoton Exeon Analytics @fashwell_com , @Fotokite_ @imverseIO @involi_ch @Moka_Studio @MyTechnis & @TouchlessAutom pic.twitter.com/VBLCcgBm46";;@USEmbassyBern @CREAL_3D @dotphoton @fashwell_com @Fotokite_ @imverseIO @involi_ch @Moka_Studio @MyTechnis @TouchlessAutom;#VleadersTech;"1060227785577426945";https://twitter.com/venturelab_ch/status/1060227785577426945
