username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
threatswitch;2018-12-21 16:29;0;2;"Wishing you all a wonderful holiday season! #happyholidays pic.twitter.com/zEVwOmSxod";;;#happyholidays;"1076228094845992960";https://twitter.com/threatswitch/status/1076228094845992960
VirgilSecurity;2018-12-05 18:08;4;2;"Congratulations to our #cybersecurity friends @StatusIdentity @ThreatQuotient and @threatswitch for making the @NoVaTechCouncil #Tech100 ! Two of the three are also @MACH37cyber alumni! https://www. prweb.com/releases/nvtc_ announces_the_2018_nvtc_tech_100/prweb15923180.htm …";;@StatusIdentity @ThreatQuotient @threatswitch @NoVaTechCouncil @MACH37cyber;#cybersecurity #Tech100;"1070454868727513090";https://twitter.com/VirgilSecurity/status/1070454868727513090
threatswitch;2018-12-05 09:14;0;3;"Looking forward to this week's @VentureSouth_VC summit. pic.twitter.com/O34WWiVF5M";;@VentureSouth_VC;;"1070320412272324609";https://twitter.com/threatswitch/status/1070320412272324609
threatswitch;2018-11-28 11:58;1;2;"Happening Now: @ThreatSwitch CEO, John Dillard, highlights the importance of collaboration within a successful #security program at the Chesapeake Bay #NCMS Seminar. pic.twitter.com/erXwqjbDVn";;@ThreatSwitch;#security #NCMS;"1067825011996721152";https://twitter.com/threatswitch/status/1067825011996721152
threatswitch;2018-11-16 20:00;0;0;"Introducing the ThreatSwitch Inbox https:// hubs.ly/H0fzn4y0";;;;"1063597714527698944";https://twitter.com/threatswitch/status/1063597714527698944
threatswitch;2018-11-16 15:17;0;1;"@threatswitch is thrilled to be named to the 2018 NVTC Tech 100! #nvtctech100 http:// bit.ly/2ThtmuE https:// twitter.com/NoVaTechCounci l/status/1063508313453797378 …";;@threatswitch;#nvtctech100;"1063526413779836928";https://twitter.com/threatswitch/status/1063526413779836928
WithRove;2018-11-11 19:50;0;1;"Thanks for the shoutout @TFXShelton ! Incredible to see us listed amongst a well diverse and forward thinking list of companies and personalities in the Charlotte region.";;@TFXShelton;;"1061783279127400448";https://twitter.com/WithRove/status/1061783279127400448
threatswitch;2018-11-11 14:08;0;1;"Thank you to all of the brave men and women who have served our country and continue to protect our freedom. #veteransday";;;#veteransday;"1061697231999393792";https://twitter.com/threatswitch/status/1061697231999393792
threatswitch;2018-11-07 14:08;0;0;"Join @ThreatSwitch CEO, John Dillard on November 15th to learn more about the critical role of collaboration in a successful security program: https://www. threatswitch.com/webinar/securi ty-program-collaboration … #webinar";;@ThreatSwitch;#webinar;"1060247537515487234";https://twitter.com/threatswitch/status/1060247537515487234
threatswitch;2018-10-25 13:19;0;2;"A big thanks to @LockheedMartin for hosting @threatswitch today as a sponsor for the 2018 #CISAC Fall Conference! #NISPOMCYA pic.twitter.com/Yi9sP0UJ3p";;@LockheedMartin @threatswitch;#CISAC #NISPOMCYA;"1055509253220429824";https://twitter.com/threatswitch/status/1055509253220429824
threatswitch;2018-10-22 15:51;1;1;"Continuous Evaluation https:// hubs.ly/H0fdcCm0";;;;"1054460175049023488";https://twitter.com/threatswitch/status/1054460175049023488
TFXShelton;2018-10-17 10:21;10;21;"I would like to put Charlotte, NC on the short list! @AvidAutomates @RedVentures @ProctorFree @WithRove @VersaMe_Tech @catapult_hq @StartCLT @CLTAngelFund @VentureSouth_VC @TheFrontierTeam @AccessOneInc @threatswitch @ncgronk @SamazonSmith https:// twitter.com/hypepotamus/st atus/1052217787777728512 …";;@AvidAutomates @RedVentures @ProctorFree @WithRove @VersaMe_Tech @catapult_hq @StartCLT @CLTAngelFund @VentureSouth_VC @TheFrontierTeam @AccessOneInc @threatswitch @ncgronk @SamazonSmith;;"1052565147011743745";https://twitter.com/TFXShelton/status/1052565147011743745
