username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Itential;2018-12-21 16:35;0;0;"Check out these words of advice for anyone looking to adopt #DevOps #automation from @ToyotaResearch : http:// bit.ly/2UNQx0a";;@ToyotaResearch;#DevOps #automation;"1076229617093095424";https://twitter.com/Itential/status/1076229617093095424
ToyotaMobFdn;2018-12-21 12:00;2;1;"We were pleased to be joined by Dr Eric Krotkov, Chief Science Officer from @ToyotaResearch as part of our judging panel. He discusses some of his favourite things about the Challenge below. #MobilityUnlimited pic.twitter.com/Tlb2lzBTv5";;@ToyotaResearch;#MobilityUnlimited;"1076160368236470272";https://twitter.com/ToyotaMobFdn/status/1076160368236470272
electronics_360;2018-12-21 11:30;0;0;"A new magnesium battery has been developed by a team of researchers from @UHouston and @ToyotaResearch http:// ow.ly/LB0V30n4Ao5 #batteries pic.twitter.com/2OgKM2SEL6";;@UHouston @ToyotaResearch;#batteries;"1076152872184791040";https://twitter.com/electronics_360/status/1076152872184791040
Mohcen_Ali;2018-12-21 03:47;0;0;"I need your email to contact you please...";;;;"1076036391929298944";https://twitter.com/Mohcen_Ali/status/1076036391929298944
rbourgoise;2018-12-19 08:19;0;0;"@Toyota_AI_VC invests in startup Elementary Robotics as part of its first "call for innovation" in partnership with @ToyotaResearch https:// toyota.us/2QEi9Xq";;@Toyota_AI_VC @ToyotaResearch;;"1075380126710460416";https://twitter.com/rbourgoise/status/1075380126710460416
ToyotaResearch;2018-12-19 08:19;1;2;"@Toyota_AI_VC invests in startup Elementary Robotics as part of its first "call for innovation" in partnership with TRI https:// toyota.us/2QEi9Xq";;@Toyota_AI_VC;;"1075379999828520960";https://twitter.com/ToyotaResearch/status/1075379999828520960
Toyota_AI_VC;2018-12-19 08:06;5;7;"We're thrilled to announce that we've invested in robotics startup Elementary Robotics as part of our first "call for innovation" with @ToyotaResearch https:// toyota.us/2QEi9Xq pic.twitter.com/2N7XwYd5GS";;@ToyotaResearch;;"1075376824228691968";https://twitter.com/Toyota_AI_VC/status/1075376824228691968
mlcliff;2018-12-18 20:43;0;0;"Our team at Parola Analytics selected this autonomous vehicle that predicts traffic behavior as a #ParolaTopPatent @toyotaresearch #autonomousvehicles #intellectualproperty #innovation https:// lnkd.in/dBEvf25";;@toyotaresearch;#ParolaTopPatent #autonomousvehicles #intellectualproperty #innovation;"1075205058848022528";https://twitter.com/mlcliff/status/1075205058848022528
ParolaAnalytics;2018-12-18 15:30;0;0;"This new patent from @toyotaresearch discloses a user assistant in an autonomous vehicle that includes a prediction model for traffic behavior using data from the various sensors included in the vehicle. Read more about the top patents granted last week: https:// medium.com/@ParolaAnalyti cs/last-week-on-patents-new-vr-patent-by-oculus-and-samsungs-patent-on-holographic-technology-d5fd37dd9d3b?platform=hootsuite&utm_campaign=HSCampaign … pic.twitter.com/OePDGB3wte";;@toyotaresearch @ParolaAnalyti;;"1075126192397828097";https://twitter.com/ParolaAnalytics/status/1075126192397828097
ToyotaResearch;2018-12-17 08:52;5;13;"Autonomous Mobility Grows Its Sea Legs — @Toyota_AI_VC Invests in @SeaMachines . Learn more about the investment in @Jim_Adler 's blog post: https:// medium.com/toyota-ai-vent ures/autonomous-mobility-grows-its-sea-legs-our-investment-in-sea-machines-c4488444b52a … pic.twitter.com/kFwAyxa3Qw";;@Toyota_AI_VC @SeaMachines @Jim_Adler;;"1074663610599784448";https://twitter.com/ToyotaResearch/status/1074663610599784448
