username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NextEnergyMi;2017-12-14 16:19;3;9;"Thank you to all who braved the storm to support #SmartCities innovation! #NextChallenge17 #ncpitchday @michiganplanetm @CityofDetroit #DENSO @DTE_Energy @WellsFargo @ambiencedata @ecobcg @NextekPower @SourceSwitched @trafisense @DerqAI @ecog_io @greenlots @TheSmartCone @TomeOwl pic.twitter.com/LnrIChwA5m";;@michiganplanetm @CityofDetroit @DTE_Energy @WellsFargo @ambiencedata @ecobcg @NextekPower @SourceSwitched @trafisense @DerqAI @ecog_io @greenlots @TheSmartCone @TomeOwl;#SmartCities #NextChallenge17 #ncpitchday #DENSO;"941417279316742145";https://twitter.com/NextEnergyMi/status/941417279316742145
NextEnergyMi;2017-12-13 14:03;6;3;"A little snow can’t stop #Detroit ! #ncpitchday @michiganplanetm @CityofDetroit #DENSO @DTE_Energy @WellsFargo @ambiencedata @ecobcg @NextekPower @SourceSwitched @trafisense @DerqAI @ecog_io @greenlots @TheSmartCone @TomeOwl #mobility #builtenvironment #startups pic.twitter.com/uEEVs5XMfC";;@michiganplanetm @CityofDetroit @DTE_Energy @WellsFargo @ambiencedata @ecobcg @NextekPower @SourceSwitched @trafisense @DerqAI @ecog_io @greenlots @TheSmartCone @TomeOwl;#Detroit #ncpitchday #DENSO #mobility #builtenvironment #startups;"941020755780882437";https://twitter.com/NextEnergyMi/status/941020755780882437
NextEnergyMi;2017-11-30 17:11;4;5;"Join us 12/13 to see our finalists pitch their #smartcities solutions live in #Detroit ! @michiganplanetm #DENSO @DTE_Energy @WellsFargo @ambiencedata @ecobcg @NextekPower @SourceSwitched @trafisense @DerqAI @ecog_io @greenlots @TheSmartCone @TomeOwl #mobility #builtenvironment pic.twitter.com/wZXcWvOu6Z";;@michiganplanetm @DTE_Energy @WellsFargo @ambiencedata @ecobcg @NextekPower @SourceSwitched @trafisense @DerqAI @ecog_io @greenlots @TheSmartCone @TomeOwl;#smartcities #Detroit #DENSO #mobility #builtenvironment;"936357037671440395";https://twitter.com/NextEnergyMi/status/936357037671440395
trafisense;2017-06-29 23:14;0;0;"Just completed the deployment of our 2nd generation HW for dry-type transformer monitoring. 1/3 the size & 1/2 the cost of the original! pic.twitter.com/KViAH88YLM";;;;"880625631179964417";https://twitter.com/trafisense/status/880625631179964417
trafisense;2017-02-02 03:20;0;0;"Great news! Trafisense has been selected for funding by @H2020SME Phase 1 in #CleanTech and #LowCarbon";;@H2020SME;#CleanTech #LowCarbon;"827069170567217153";https://twitter.com/trafisense/status/827069170567217153
trafisense;2016-09-05 11:39;0;0;"Prescriptive analytics is next. https:// twitter.com/IBMbigdata/sta tus/772789119206338560 …";;;;"772821579688448000";https://twitter.com/trafisense/status/772821579688448000
trafisense;2016-07-25 07:35;0;0;""When predictive is not enough" https:// lnkd.in/dFtct5X on @LinkedIn";;@LinkedIn;;"757539776190881792";https://twitter.com/trafisense/status/757539776190881792
FIWARE;2016-06-29 04:59;2;5;". @trafisense pitching about its solution powered by #FIWARE & @INCENSe_Acc #cleanenergy #IoT #incenseday @EnelGroup pic.twitter.com/5II4q7S2p0";;@trafisense @INCENSe_Acc @EnelGroup;#FIWARE #cleanenergy #IoT #incenseday;"748078427492728832";https://twitter.com/FIWARE/status/748078427492728832
INCENSe_Acc;2016-06-24 04:30;1;3;"Succes stories @trafisense . @Fiware really provided us with a fast track forward! #cleantech http:// ow.ly/JDLc301u3Jj";;@trafisense @Fiware;#cleantech;"746259230420762624";https://twitter.com/INCENSe_Acc/status/746259230420762624
INCENSe_Acc;2016-06-24 04:25;1;3;"Succes stories @Fiware @trafisense :...and provide early warning of hardware failures like power cut-offs #cleantech http:// ow.ly/JDLc301u3Jj";;@Fiware @trafisense;#cleantech;"746257853267251200";https://twitter.com/INCENSe_Acc/status/746257853267251200
INCENSe_Acc;2016-06-24 04:20;1;2;"Succes stories @Fiware @trafisense : monitors dry type transformers to estimate the required maintenance… #cleantech http:// ow.ly/JDLc301u3Jj";;@Fiware @trafisense;#cleantech;"746256623300149248";https://twitter.com/INCENSe_Acc/status/746256623300149248
