username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Trapica_labs;2018-11-09 13:39;0;1;"The History of Marketing Technology, Beginning-> Middle Ages-> Industrial Revolution->? https:// medium.com/trapica/the-hi story-of-marketing-technology-beginning-middle-ages-industrial-revolution-66d9f8a7ae31 …";;;;"1060965181637959681";https://twitter.com/Trapica_labs/status/1060965181637959681
ChmuraLogan;2018-10-19 12:18;0;0;"Dont forget Comcast has a history of fraud. https://www. google.com/amp/s/www.wire d.com/2016/10/fcc-fines-comcast-2-3m-billing-practices-enough/amp …";;;;"1053319372280881152";https://twitter.com/ChmuraLogan/status/1053319372280881152
MichaelBertoni;2018-10-17 09:01;3;5;"Check out the 10 #startups at @comcast @LIFT_Labs & see how #Philly is becoming a global startup hub @TorresLuzardo @techstars @mbaratz @samschwartz @OraiApp @playoctobo @eyecandylab @Trapica_labs @portlmedia @thepolycade @meettally @wiARframe @wearealive5 https:// technical.ly/philly/2018/10 /15/at-lift-labs-demo-day-a-glimpse-of-philly-as-a-global-startup-hub/ …";;@comcast @LIFT_Labs @TorresLuzardo @techstars @mbaratz @samschwartz @OraiApp @playoctobo @eyecandylab @Trapica_labs @portlmedia @thepolycade @meettally @wiARframe @wearealive5;#startups #Philly;"1052545030911664128";https://twitter.com/MichaelBertoni/status/1052545030911664128
Nurnberg;2018-10-15 12:25;0;0;"TRUMP AT AIR FORCE ONE TODAY: "We have the strongest military by far. We have the strongest country economically and blow everybody away. We gained 11 trillion dollars in worth since Trump took office."";;;;"1051871730011115527";https://twitter.com/Nurnberg/status/1051871730011115527
LIFT_Labs;2018-10-12 10:56;5;17;"BIG NEWS for our accelerator grads! Find out what they announced LIVE on stage at last night's #TSComcastNBCU Demo Day! @wearealive5 @OraiApp @thepolycade @portlmedia @Trapica_labs @wiARfram @eyecandylab @TallyTV @playoctobo #TSDemoDay https:// comca.st/2OknMcf pic.twitter.com/LBB59XYTgo";;@wearealive5 @OraiApp @thepolycade @portlmedia @Trapica_labs @wiARfram @eyecandylab @TallyTV @playoctobo;#TSComcastNBCU #TSDemoDay;"1050762024349777921";https://twitter.com/LIFT_Labs/status/1050762024349777921
LIFT_Labs;2018-10-11 20:12;6;20;"Are you following along on the live stream? We’re about halfway through the inspiring #TSDemoDay presentations. So far, we’ve heard from @OraiApp , @portlmedia , @Trapica_labs , @eyecandylab and @playoctobo #TSComcastNBCU . Tune in for more: https:// comca.st/2yzl7R1 pic.twitter.com/uqQGYNQ63m";;@OraiApp @portlmedia @Trapica_labs @eyecandylab @playoctobo;#TSDemoDay #TSComcastNBCU;"1050539787273289729";https://twitter.com/LIFT_Labs/status/1050539787273289729
TechnicallyPHL;2018-10-11 19:54;0;1;"You're reaching the wrong audience with social media marketing, says the founder of New York-based @Trapica_labs . Their AI can do better, founder Mike Teitelman says #TSDemoDay";;@Trapica_labs;#TSDemoDay;"1050535153997635584";https://twitter.com/TechnicallyPHL/status/1050535153997635584
LIFT_Labs;2018-10-11 15:31;10;29;"Our #startups are ready for TONIGHT'S Demo Day! We can’t wait to see them show off all they have worked for! #TSComcastNBCU #TSDemoDay . @wearealive5 @OraiApp @thepolycade @portlmedia @Trapica_labs @wiARfram @eyecandylab @TallyTV @playoctobo pic.twitter.com/nMEe6USNaw";;@wearealive5 @OraiApp @thepolycade @portlmedia @Trapica_labs @wiARfram @eyecandylab @TallyTV @playoctobo;#startups #TSComcastNBCU #TSDemoDay;"1050468834300350464";https://twitter.com/LIFT_Labs/status/1050468834300350464
LIFT_Labs;2018-10-09 09:57;1;8;"Social media ads are hard. Well they used to be before @Trapica_labs brought AI and real-time data into the mix. #FutureOfMarketing #NYC https:// comca.st/2OeCSQk pic.twitter.com/JRlmpbi5Yr";;@Trapica_labs;#FutureOfMarketing #NYC;"1049660166222831618";https://twitter.com/LIFT_Labs/status/1049660166222831618
Arcweb;2018-09-28 11:13;3;7;"Tech Tour starts at 12p @Arcweb ! Featuring a tech panel with @lendamico @ChariotSolution @TheWillToms @trapica_labs @StaceyMosley & tunes from @maxwell_swan . Come out, then continue on to @Guru_HQ @1776 & @worldcafelive pic.twitter.com/K2pApJh8Y1";;@Arcweb @lendamico @ChariotSolution @TheWillToms @trapica_labs @StaceyMosley @maxwell_swan @Guru_HQ @1776 @worldcafelive;;"1045693074880516101";https://twitter.com/Arcweb/status/1045693074880516101
RECphilly;2018-09-24 13:19;6;15;"Panel discussions during #TECHTOUR will include representatives from: @RECphilly @Arcweb @Trapica_labs @ChariotSolution @StepwiseRE @Guru_HQ @o3world @stitch_data @joiekathos @STRATISIoT @MeetUp @ShopJenzy @Rachel_Andie";;@RECphilly @Arcweb @Trapica_labs @ChariotSolution @StepwiseRE @Guru_HQ @o3world @stitch_data @joiekathos @STRATISIoT @MeetUp @ShopJenzy @Rachel_Andie;#TECHTOUR;"1044275218435518464";https://twitter.com/RECphilly/status/1044275218435518464
ArcgateInc;2018-07-23 09:00;0;3;"Here are the 10 #startups that made it to the Comcast LIFT Labs Accelerator https:// technical.ly/philly/2018/07 /16/10-startups-comcast-lift-labs-accelerator/ … @wearealive5 @OraiApp @thepolycade @portlmedia @tallytv @playoctobo @wiARframe @Trapica_labs @LIFT_Labs @techstars #ArtificialIntelligence #martech #adtech #edtech #gaming #hrtech";;@wearealive5 @OraiApp @thepolycade @portlmedia @tallytv @playoctobo @wiARframe @Trapica_labs @LIFT_Labs @techstars;#startups #ArtificialIntelligence #martech #adtech #edtech #gaming #hrtech;"1021379507368996864";https://twitter.com/ArcgateInc/status/1021379507368996864
AlleyWatch;2018-07-23 00:25;0;1;"#NYCtech Week in Review: 7/15/18-7/21/18 ft @trapica_labs https:// alleywat.ch/2Lfmldf via @AlleyWatch";;@trapica_labs @AlleyWatch;#NYCtech;"1021249916658700288";https://twitter.com/AlleyWatch/status/1021249916658700288
Trapica_labs;2018-07-16 20:10;0;1;"Super excited to be part of Techstars and Comcast! https:// lift.comcast.com/2018/07/startu ps-selected-for-comcast-nbcuniversal-lift-labs-accelerator-powered-by-techstars/ …";;;;"1019011316063850498";https://twitter.com/Trapica_labs/status/1019011316063850498
portlmedia;2018-07-16 18:59;0;3;"Thanks for the mention! We are so excited to be taking part!!!!";;;;"1018993440636403717";https://twitter.com/portlmedia/status/1018993440636403717
LIFT_Labs;2018-07-16 17:39;18;35;"Sneak peek inside the Comcast NBCU LIFT Labs Accelerator, powered by @techstars ! Today was the first day of class for 10 companies. Welcome to Philadelphia! @wearealive5 @OraiApp @thepolycade @portlmedia @Trapica_labs @wiARframe Pium Eyecandy Lab Tally Thinker Tinker pic.twitter.com/QZ1yfXcuTy";;@techstars @wearealive5 @OraiApp @thepolycade @portlmedia @Trapica_labs @wiARframe;;"1018973324330897409";https://twitter.com/LIFT_Labs/status/1018973324330897409
LIFT_Labs;2018-07-16 14:45;2;6;"Powered by an #artificialintelligence algorithm that autonomously optimizes targeting decisions in real time, @Trapica_labs allows marketing campaigns on social networks to reach the right audiences at the right time. #FutureOfMarketing #NYC https:// comca.st/2zJ9WZJ pic.twitter.com/2g9tvrNMKw";;@Trapica_labs;#artificialintelligence #FutureOfMarketing #NYC;"1018929512514572288";https://twitter.com/LIFT_Labs/status/1018929512514572288
Trapica_labs;2018-05-04 12:09;0;0;"I just published “Identify the best targeted audience for your product” https:// medium.com/trapica/identi fy-the-best-targeted-audience-for-your-product-2a6266e65a9a …";;;;"992435960326606848";https://twitter.com/Trapica_labs/status/992435960326606848
Trapica_labs;2018-04-03 10:17;0;1;"“Trapica, The Artificial Intelligence That Makes Targeting Simple for Marketers” by Nick T https:// medium.com/retail-marketi ng-growth-hack/trapica-artificial-intelligence-is-making-targeting-simple-for-marketers-8146ebe5ceb1 …";;;;"981173740745691136";https://twitter.com/Trapica_labs/status/981173740745691136
Trapica_labs;2018-03-22 11:15;0;0;"“Trapica Makes Facebook Marketing Campaign’s Targeting simple for Online Retailers” by Nick T https:// medium.com/@mikmicte/trap ica-makes-facebook-marketing-campaigns-targeting-simple-for-online-retailers-3b0663798f94 …";;@mikmicte;;"976839850052718595";https://twitter.com/Trapica_labs/status/976839850052718595
Trapica_labs;2018-03-19 14:04;0;0;"“Gartner’s Magic Quadrant For Targeting AI Companies for Marketing Campaigns -March 2018” by Nick T https:// medium.com/retail-marketi ng-growth-hack/gartners-magic-quadrant-for-targeting-ai-companies-for-marketing-campaigns-march-2018-79a8ae016c5 …";;;;"975795110775488512";https://twitter.com/Trapica_labs/status/975795110775488512
Trapica_labs;2018-03-14 13:25;0;0;"https:// medium.com/retail-marketi ng-growth-hack/trapica-vs-albert-2-marketing-ai-platforms-that-help-online-retails-to-market-6a2e36d3ba25 …";;;;"973973413500014597";https://twitter.com/Trapica_labs/status/973973413500014597
Trapica_labs;2018-03-12 13:08;0;0;"“Trapica vs Albert — 2 Marketing AI Platforms That Help Online Retails To Market” by Nick T https:// medium.com/retail-marketi ng-growth-hack/trapica-vs-albert-2-marketing-ai-platforms-that-help-online-retails-to-market-6a2e36d3ba25 …";;;;"973244227894341635";https://twitter.com/Trapica_labs/status/973244227894341635
Trapica_labs;2018-03-08 15:30;0;0;"I just published “2018 Advertising Will Enter a New Chapter: The Death of Traditional Advertising” https:// medium.com/trapica/2018-a dvertising-will-enter-a-new-chapter-the-death-of-traditional-advertising-465da9cfb49 …";;;;"971845586600300544";https://twitter.com/Trapica_labs/status/971845586600300544
