username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
treedys3d;2018-11-12 15:30;0;0;"@TechCrunch What do you guys think about this? NY for HQ2? https://www. nytimes.com/2018/11/05/nyr egion/amazon-hq2-long-island-city.html?module=inline …";;@TechCrunch;;"1062080096553578496";https://twitter.com/treedys3d/status/1062080096553578496
treedys3d;2018-09-24 07:56;0;0;"Interestingly most of the scenarios that still cause confusion seem to be due to misinterpreted 2D data... Once the companies working on this get a good trip on processing 3D sensor data in real time most of these should go away";;;;"1044193812560711680";https://twitter.com/treedys3d/status/1044193812560711680
treedys3d;2018-08-20 14:35;0;1;"I would love to, but the Belgian website is broken and wants me to use a delivery address in France ! pic.twitter.com/1Af7d1yerS";;;;"1031610757262266368";https://twitter.com/treedys3d/status/1031610757262266368
Cedricc_be;2018-07-09 10:33;0;0;"For our @treedys3d project were are looking for your feedback about the futur design of our scanners ! #ThankYou https:// docs.google.com/forms/d/e/1FAI pQLScifKlAYcg1Il4esfDf6JtiLaDnJbAyW6sADPZEBkbljstGAg/viewform?usp=sf_link …";;@treedys3d;#ThankYou;"1016329621007224833";https://twitter.com/Cedricc_be/status/1016329621007224833
treedys3d;2018-06-23 13:48;0;0;"A good read for you... What is 'deep tech'? | BBVA https:// bbva.info/2ibJwbt via @BBVA";;@BBVA;;"1010580246893035520";https://twitter.com/treedys3d/status/1010580246893035520
treedys3d;2018-06-23 03:34;0;0;"We could not agree more... #fashiontech https://www. engadget.com/2017/05/23/the -future-of-fashion-and-technology/ …";;;#fashiontech;"1010425911227936768";https://twitter.com/treedys3d/status/1010425911227936768
philippeeters;2018-02-16 14:18;1;1;"We kijken bij @bizidee alvast uit naar het ondernemingsplan van @treedys3d voor onze Ondernemingsplanwedstrijd. #startups #ondernemen https:// twitter.com/datanews_nl/st atus/964577150966861825 …";;@bizidee @treedys3d;#startups #ondernemen;"964579646166749194";https://twitter.com/philippeeters/status/964579646166749194
Air_Shaper;2018-02-06 06:50;0;2;"The @Olympics are coming up! Should they include @speedski ? We just finished aerodynamics simulations on a @treedys3d / @argon_ms 3D scan of Joost Van Den Dries, Belgian speed ski contender! For more info: http://www. airshaper.com/media/speedski .pdf … pic.twitter.com/n4d2qqHnRc";;@Olympics @speedski @treedys3d @argon_ms;;"960843059566170113";https://twitter.com/Air_Shaper/status/960843059566170113
omohout;2018-02-02 03:00;0;1;"#Startup du jour: http:// treedys.com body scanning technology that can be used for marketing purposes, eCommerce and to extract precise body measurement information @treedys3d powered by by @Nvidia Inception #BeTech";;@treedys3d @Nvidia;#Startup #BeTech;"959335588641075201";https://twitter.com/omohout/status/959335588641075201
paulmelnikow;2017-12-07 10:01;0;0;"Hmmmm";;;;"938785594175606784";https://twitter.com/paulmelnikow/status/938785594175606784
