username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
imswaathik;2018-12-29 03:01;0;1;"I’m not a front end dev. I would rather use Safari so I don’t loose precious memory than compromise on other services.";;;;"1078923953710583808";https://twitter.com/imswaathik/status/1078923953710583808
_blnarayanan;2018-12-29 02:48;0;0;"Do you use Safari for dev?";;;;"1078920665854500869";https://twitter.com/_blnarayanan/status/1078920665854500869
imswaathik;2018-12-28 08:39;3;11;"4.2 seconds to 200 ms improvement in page speed! 20x reduction with just @memcached and 10 minutes of work. Ah, this is bliss. #code #optimization #efficiency All for you @UNBTHQ pic.twitter.com/fCmTafNpY0";;@memcached @UNBTHQ;#code #optimization #efficiency;"1078646624937639937";https://twitter.com/imswaathik/status/1078646624937639937
UNBTHQ;2018-12-28 04:08;2;7;"Still in the holiday mood? So are we! We have our new product update to celebrate - UnderstandBetter's Slack integration. Now you can receive and answer survey questions on your IM. Smart, aren't we? Check out https:// understandbetter.co / #Integration #Slack #EmployeeSurvey pic.twitter.com/xbrdrDEklp";;;#Integration #Slack #EmployeeSurvey;"1078578390355959809";https://twitter.com/UNBTHQ/status/1078578390355959809
ImKarthikK;2018-12-24 04:56;0;2;"This beautiful @SlackHQ integration just showed up from @UNBTHQ The engagement rates have gone up 50% ever since this happened. https:// understandbetter.co / #product #startup #feedback #newyearfeature pic.twitter.com/FMtjipSXWX";;@SlackHQ @UNBTHQ;#product #startup #feedback #newyearfeature;"1077140952051998720";https://twitter.com/ImKarthikK/status/1077140952051998720
UNBTHQ;2018-12-19 06:45;1;3;"Voice of employee program and benefits our recent blog by @roshni__dsouza talks about the importance of employee program and how your organization can benefit from it. Hop on to read it! #EmployeeBenefit #VoiceofEmployees #EmployeeEngagement https:// buff.ly/2SZzkiR pic.twitter.com/3JFwgn1zTK";;@roshni__dsouza;#EmployeeBenefit #VoiceofEmployees #EmployeeEngagement;"1075356336626515968";https://twitter.com/UNBTHQ/status/1075356336626515968
UNBTHQ;2018-12-18 07:07;6;8;"HR industry is older than you and me, and every generation has had an upgrade in the HR process. The introduction of AI in the HR industry has made revolutionary changes and here is a book showcasing it. #HRTech #WhitePaper #HR #ArtificialIntelligence https:// understandbetter.co/books/ai-for-h r-book/ … pic.twitter.com/XDyWTgiQku";;;#HRTech #WhitePaper #HR #ArtificialIntelligence;"1074999708387438592";https://twitter.com/UNBTHQ/status/1074999708387438592
UNBTHQ;2018-12-17 22:09;2;4;"“By now, most organizations know that customer experience is queen, but they’re also quickly realizing that it’s #employeeexperience that paves the way to a successful customer experience. #Happyteams make for happy customers.” - by @ckosmowski https:// slackhq.com/effective-chan ge-management …";;@ckosmowski;#employeeexperience #Happyteams;"1074864159760629760";https://twitter.com/UNBTHQ/status/1074864159760629760
UNBTHQ;2018-12-11 08:38;2;3;"The new talent contract as explained by Pamela stroko talks the importance of workforce. #PeopleFirst #Recognition #EmployeeValue #EmployeeEngagement #Growth pic.twitter.com/XAylDe3PgM";;;#PeopleFirst #Recognition #EmployeeValue #EmployeeEngagement #Growth;"1072485830613237760";https://twitter.com/UNBTHQ/status/1072485830613237760
UNBTHQ;2018-12-06 23:02;2;4;"We are at the @CiscoLaunchPad event about fostering #womenentrepreneurs . Such a great way to end the week! #womenled pic.twitter.com/uq4wnHoFM7";;@CiscoLaunchPad;#womenentrepreneurs #womenled;"1070891193028960256";https://twitter.com/UNBTHQ/status/1070891193028960256
