username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sytreports;2018-07-16 07:34;0;0;"Mind ( @uxhospitality ) is a performance management tool which uses data-driven insights to provide tangible recommendations to help clients increase their crews overall productivity onboard. Read more about Mind, our #ProductoftheMonth , here: http:// bit.ly/2zExhvP pic.twitter.com/gRgLVTltKg";;@uxhospitality;#ProductoftheMonth;"1018821206286401536";https://twitter.com/sytreports/status/1018821206286401536
uxhospitality;2017-03-14 09:47;0;0;"Happy to announce our new website! http:// uxh.space /";;;;"841646986084438017";https://twitter.com/uxhospitality/status/841646986084438017
uxhospitality;2017-03-09 09:57;0;0;"Very excited to now have our office at @cicnow Rotterdam!";;@cicnow;;"839852698681950209";https://twitter.com/uxhospitality/status/839852698681950209
uxhospitality;2016-12-01 17:15;0;0;"Moonshot. Serendipity. Not just our vision. Our mission. pic.twitter.com/iGaORQGeZA";;;;"804448954851037184";https://twitter.com/uxhospitality/status/804448954851037184
uxhospitality;2016-11-15 14:11;0;2;"After @WebSummit #GlobalSuperyachtForum is an interesting change back to our own vertical! pic.twitter.com/xu4MG44yEb";;@WebSummit;#GlobalSuperyachtForum;"798604265874931712";https://twitter.com/uxhospitality/status/798604265874931712
uxhospitality;2016-11-10 05:02;0;0;"@WebSummit , come find us! A208, pavilion three. Come find us!";;@WebSummit;;"796654369588527104";https://twitter.com/uxhospitality/status/796654369588527104
StartupLeagueHQ;2016-11-10 04:48;0;2;"Goodies for our day 3 #startups ! @hirefreehands @getYouClap @uxhospitality and http:// innovationmeasurement.tech ! #WebSummit x #StartupLeague pic.twitter.com/qHxZv1CvgK";;@hirefreehands @getYouClap @uxhospitality;#startups #WebSummit #StartupLeague;"796650705293574144";https://twitter.com/StartupLeagueHQ/status/796650705293574144
uxhospitality;2016-11-08 12:27;0;0;"@WebSummit . Day 1 done and dusted. Innovation in the making. Happy to be amongst likeminded souls. Exiting potential collabs!";;@WebSummit;;"796041511334977537";https://twitter.com/uxhospitality/status/796041511334977537
StartupLeagueHQ;2016-11-08 08:03;0;8;"Had a great time with Startup League #startups @uxhospitality & @getYouClap ! They'll be exhibiting on day 3. #WebSummit x #StartupLeague pic.twitter.com/11tPukFIfX";;@uxhospitality @getYouClap;#startups #WebSummit #StartupLeague;"795974904415997952";https://twitter.com/StartupLeagueHQ/status/795974904415997952
StartupLeagueHQ;2016-11-07 07:25;0;3;"Meet @uxhospitality , a #startup focused on digitizing 7 star hospitality! #WebSummit x #StartupLeague pic.twitter.com/tOMTr5uCnt";;@uxhospitality;#startup #WebSummit #StartupLeague;"795603070956621824";https://twitter.com/StartupLeagueHQ/status/795603070956621824
YoStartups;2016-11-05 09:30;17;0;"Say hello to @uxhospitality coming to @WebSummit #Lisbon from #Netherlands #YoStartups #WebSummit pic.twitter.com/dsiEElVs0B";;@uxhospitality @WebSummit;#Lisbon #Netherlands #YoStartups #WebSummit;"794894664772046849";https://twitter.com/YoStartups/status/794894664772046849
uxhospitality;2016-10-30 13:56;0;0;"Very excited to be flying to Lisbon in a week! Come find us: stand A-208, software development area, 10/11. https://www. theguardian.com/world/2016/oct /29/lisbon-web-summit-sun-surf-cheap-rents-tech-capital?CMP=Share_iOSApp_Other …";;;;"792787315240366084";https://twitter.com/uxhospitality/status/792787315240366084
uxhospitality;2016-10-21 02:35;0;0;"Exciting things in the pipeline! http:// bit.ly/2epUG5F";;;;"789354470702546944";https://twitter.com/uxhospitality/status/789354470702546944
YoStartups;2016-10-18 03:15;29;5;"Meet the #Startups at @WebSummit @uxhospitality digitising 7 star hospitality using AI software products #WebSummit #Lisbon #YoStartups pic.twitter.com/c1wd6QQa0Q";;@WebSummit @uxhospitality;#Startups #WebSummit #Lisbon #YoStartups;"788277251733327872";https://twitter.com/YoStartups/status/788277251733327872
uxhospitality;2016-10-11 15:04;0;1;"Serenity is a state of mind. We engineer it. pic.twitter.com/5K65qvokmD";;;;"785918943198187520";https://twitter.com/uxhospitality/status/785918943198187520
uxhospitality;2016-10-07 01:20;0;1;"After the @mys_monaco already stoked for the next big thing! pic.twitter.com/qFnLJJRjyi";;@mys_monaco;;"784261989157572608";https://twitter.com/uxhospitality/status/784261989157572608
uxhospitality;2016-10-05 01:34;0;1;"Future proofing yachting. Not just our business, our passion. pic.twitter.com/OlJtKXJBVr";;;;"783540857995685888";https://twitter.com/uxhospitality/status/783540857995685888
uxhospitality;2016-09-24 12:13;0;0;"Almost that time of year again... we are excited! pic.twitter.com/CjkdkQsgzH";;;;"779715361449140224";https://twitter.com/uxhospitality/status/779715361449140224
uxhospitality;2016-09-21 14:57;0;0;"Software solutions should not tie you down. They should set you free. pic.twitter.com/6kplX2vnfT";;;;"778669580445253632";https://twitter.com/uxhospitality/status/778669580445253632
