username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FutureofTransp1;2018-12-27 14:44;0;0;"Check out @VALERANN_LTD at #CES2019 in Las Vegas... https:// twitter.com/VALERANN_LTD/s tatus/1078313458582634496 …";;@VALERANN_LTD;#CES2019;"1078376100416376834";https://twitter.com/FutureofTransp1/status/1078376100416376834
VALERANN_LTD;2018-12-27 10:35;1;2;"Valerann will be presenting at the CES 2019 with the UK delegation - we'll love to see you! Our location: Britain is GREAT pavilion (Great Britain and Northern Ireland Pavilion). Tech West, Sands, Hall G - 51441 (Eureka Park Marketplace) pic.twitter.com/a9pOVC9xqu";;;;"1078313458582634496";https://twitter.com/VALERANN_LTD/status/1078313458582634496
NoCamels;2018-12-25 11:51;1;3;"Tel Aviv-based #smartroad #startup @VALERANN_LTD raised $5 million in a seed financing round led by Rio Ventures Holdings, 2B Angels, with participation from Telefonica. The startup developed smart road platforms with an eye on future #AutonomousVehicles http:// nocamels.com/2018/12/smart- road-valerann-5m-bosch-jaguar/ …";;@VALERANN_LTD;#smartroad #startup #AutonomousVehicles;"1077607785070804992";https://twitter.com/NoCamels/status/1077607785070804992
horovits;2018-12-24 05:05;0;0;"#Israel #startup @VALERANN_LTD raises $5M to upgrade existing roads for #mobility challenges; announcing partnership with #Bosch , #Jaguar to create a holistic #data #marketplace to support #connectedCars , #selfdriving #cars https:// tech.eu/brief/valerann -funding … #vc #smartcity #IoT #autotech";;@VALERANN_LTD;#Israel #startup #mobility #Bosch #Jaguar #data #marketplace #connectedCars #selfdriving #cars #vc #smartcity #IoT #autotech;"1077143236030935040";https://twitter.com/horovits/status/1077143236030935040
ConnectedWMag;2018-12-23 16:15;5;1;"On #TPSS , I highlight some of the hottest startups. https:// peggysmedleyshow.com/portfolio-item s/12-18-18-episode-594-segment-1-six-startups-drive-iot/ … @Digiflak , @Claroty , @Valerann_LTD , @DraysonTech #IoT #M2M #technology #bigdata #AI #artificialintelligence #machinelearning #blockchain #podcast #security #digitaltransformation pic.twitter.com/6msRqfqT2R";;@Digiflak @Claroty @Valerann_LTD @DraysonTech;#TPSS #IoT #M2M #technology #bigdata #AI #artificialintelligence #machinelearning #blockchain #podcast #security #digitaltransformation;"1076949339648507904";https://twitter.com/ConnectedWMag/status/1076949339648507904
ConnectedWMag;2018-12-23 15:30;3;1;"@Valerann_LTD has its eyes one the road and the environment surrounding it. https:// connectedworld.com/iot-startups-t o-watch-in-2019/ … #M2M #AI #artificialintelligence #machinelearning #bigdata #digitaltransformation #blockchain pic.twitter.com/gnmYvLwb7Z";;@Valerann_LTD;#M2M #AI #artificialintelligence #machinelearning #bigdata #digitaltransformation #blockchain;"1076938027837079552";https://twitter.com/ConnectedWMag/status/1076938027837079552
ConnectedWMag;2018-12-23 12:30;1;1;"I talk about new startups like @Digiflak , @Claroty , @Valerann_LTD , @DraysonTech , and more on #TPSS . https:// peggysmedleyshow.com/portfolio-item s/12-18-18-episode-594-segment-1-six-startups-drive-iot/ … #IoT #M2M #technology #bigdata #AI #artificialintelligence #machinelearning #blockchain #podcast #security #digitaltransformation pic.twitter.com/zHjT3rkKdF";;@Digiflak @Claroty @Valerann_LTD @DraysonTech;#TPSS #IoT #M2M #technology #bigdata #AI #artificialintelligence #machinelearning #blockchain #podcast #security #digitaltransformation;"1076892731765673985";https://twitter.com/ConnectedWMag/status/1076892731765673985
WayraUK;2018-12-21 12:03;3;6;"Happy news right before #Christmas ! @VALERANN_LTD raises $5 million to upgrade existing roads for present and future #mobility challenges! Read more here: https:// tech.eu/brief/valerann -funding/ … #WeAreWayra #tech #business #entrepreneurship #mobility #FridayMotivation";;@VALERANN_LTD;#Christmas #mobility #WeAreWayra #tech #business #entrepreneurship #mobility #FridayMotivation;"1076161158288158721";https://twitter.com/WayraUK/status/1076161158288158721
VALERANN_LTD;2018-12-21 11:10;0;0;"We are happy to announce Valerann's latest funding round. Glad to have new partners on our journey to making all roads smart! And we are hiring in London and Tel Aviv! https:// tech.eu/brief/valerann -funding/ …";;;;"1076147977268486144";https://twitter.com/VALERANN_LTD/status/1076147977268486144
DigitalAgenda_;2018-12-15 05:34;0;0;"@VALERANN_LTD does our 2019 #ImpactAwards ‘connected cities’ category interest? Entry closes Fri 21 Dec http://www. impact-awards.co.uk #techforgood #smartcities";;@VALERANN_LTD;#ImpactAwards #techforgood #smartcities;"1073889094818770947";https://twitter.com/DigitalAgenda_/status/1073889094818770947
PUBLIC_Team;2018-12-04 06:40;0;1;"Last week we found out our #GovStart2018 startup @VALERANN_LTD will be a part of building world's first holistic autonomous vehicle data market place – congratulations! Read the news in full here: https://www. gov.uk/government/new s/from-science-fiction-to-reality-people-in-london-and-edinburgh-set-to-be-the-first-to-trial-self-driving-vehicle-services …";;@VALERANN_LTD;#GovStart2018;"1069919265560645632";https://twitter.com/PUBLIC_Team/status/1069919265560645632
MOVE_Event;2018-11-29 06:47;2;5;"CONFIRMED! Gabriel Jacobson, CEO, @VALERANN_LTD – Gabriel is talking about creating V-2-X and IoT systems around cat’s eyes. See the latest mobility innovations at #MOVE2019 https://www. terrapinn.com/exhibition/mov e/speaker-gabriel-JACOBSEN.stm … #MOVE #mobility #multimodality #future https://www. israel21c.org/smart-road-stu d-system-will-make-driving-safer/ … pic.twitter.com/ck9QxdgG6j";;@VALERANN_LTD;#MOVE2019 #MOVE #mobility #multimodality #future;"1068109091636240385";https://twitter.com/MOVE_Event/status/1068109091636240385
PUBLIC_Team;2018-11-27 11:30;2;2;". @DisruptionHub have put together a list of the top 10 #GovTech companies gaining momentum with governments, congratulations to our #GovStart2018 startups @ForwardHealth_ @VALERANN_LTD @HeadlightAI & @e_strawberry who all made the list! https:// disruptionhub.com/10-govtech-com panies-gaining-momentum-with-governments/#.W_Vj1ycdpBc.twitter …";;@DisruptionHub @ForwardHealth_ @VALERANN_LTD @HeadlightAI @e_strawberry;#GovTech #GovStart2018 #;"1067455610780884992";https://twitter.com/PUBLIC_Team/status/1067455610780884992
SommetGovTech;2018-11-27 11:30;3;4;". @DisruptionHub have put together a list of 10 #GovTech startups gaining momentum with governments – many spoke at the #GovTechSummit including @Fluicity @ForwardHealth_ @VALERANN_LTD & @headlightAI . Check out the full list: https:// disruptionhub.com/10-govtech-com panies-gaining-momentum-with-governments/#.W_Vj1ycdpBc.twitter …";;@DisruptionHub @Fluicity @ForwardHealth_ @VALERANN_LTD @headlightAI;#GovTech #GovTechSummit #;"1067455579524874240";https://twitter.com/SommetGovTech/status/1067455579524874240
PUBLIC_Team;2018-11-26 09:05;0;2;"Congratulations to one of our #GovStart2018 startups @VALERANN_LTD –  they've won the Meridian competition and are part of a project to build the world's first holistic data market place for autonomous vehicles https://www. gov.uk/government/new s/from-science-fiction-to-reality-people-in-london-and-edinburgh-set-to-be-the-first-to-trial-self-driving-vehicle-services …";;@VALERANN_LTD;#GovStart2018;"1067056658961055746";https://twitter.com/PUBLIC_Team/status/1067056658961055746
MeridianMob;2018-11-26 08:38;4;18;"Learn about the latest significant investment in the UK’s self-driving vehicle testing and development capabilities. Read more here - https:// bit.ly/2TAppS4 @BoschUK @JLR_News @warwickuni @TransportforWM @VALERANN_LTD @Immense_AI @synaptivHQ @TSCatapult @InterDigitalCom pic.twitter.com/Klzg4IXdpS";;@BoschUK @JLR_News @warwickuni @TransportforWM @VALERANN_LTD @Immense_AI @synaptivHQ @TSCatapult @InterDigitalCom;;"1067050074700742656";https://twitter.com/MeridianMob/status/1067050074700742656
VALERANN_LTD;2018-11-23 10:33;0;5;"We are extremely proud to take part in this incredible project ! https:// twitter.com/MeridianMob/st atus/1065624741749379073 …";;;;"1065991794733797383";https://twitter.com/VALERANN_LTD/status/1065991794733797383
Fluicity;2018-11-22 08:38;1;1;"Thank you @DisruptionHub for listing us as one of the 10 GovTech Companies that are gaining momentum with governments, alongside with @appcitylife @CityBaseInc @enigma_data @Airboxlab @VALERANN_LTD @HeadlightAI @ForwardHealth_ @mark43 @e_strawberry #govtech #civictech https:// twitter.com/DisruptionHub/ status/1065280475923656705 …";;@DisruptionHub @appcitylife @CityBaseInc @enigma_data @Airboxlab @VALERANN_LTD @HeadlightAI @ForwardHealth_ @mark43 @e_strawberry;#govtech #civictech;"1065600319378374657";https://twitter.com/Fluicity/status/1065600319378374657
WestcottBIC;2018-11-22 07:04;6;8;"We had a fantastic piece published in ADS Advance this week about the first three companies to join us at the Westcott Space Cluster; @joinstratian , @VALERANN_LTD & SteamJet Space Systems, and phase two of our open call! Read more here: http:// ow.ly/djmC30mIjXP @EUinmyRegion pic.twitter.com/pqPEzV0zKy";;@joinstratian @VALERANN_LTD @EUinmyRegion;;"1065576839266078720";https://twitter.com/WestcottBIC/status/1065576839266078720
DisruptionHub;2018-11-21 11:27;3;6;"NEW! 10 GovTech Companies Gaining Momentum With Governments, including @appcitylife @CityBaseInc @enigma_data @Airboxlab @VALERANN_LTD @HeadlightAI @ForwardHealth_ @mark43 @e_strawberry @Fluicity https:// dsruptn.com/2S6gWUS #Technology #GovTech #Government";;@appcitylife @CityBaseInc @enigma_data @Airboxlab @VALERANN_LTD @HeadlightAI @ForwardHealth_ @mark43 @e_strawberry @Fluicity;#Technology #GovTech #Government;"1065280475923656705";https://twitter.com/DisruptionHub/status/1065280475923656705
WestcottBIC;2018-11-21 08:55;8;12;"We're pleased to announce the first 3 companies to take advantage of the unique space ecosystem at Westcott; @joinstratian , @VALERANN_LTD & SteamJet Space Systems! We're looking for more companies to join the Space Cluster, could it be you? Find out more: http:// ow.ly/HZn230mHxmA pic.twitter.com/8SGu5HB9GT";;@joinstratian @VALERANN_LTD;;"1065242256439939072";https://twitter.com/WestcottBIC/status/1065242256439939072
