username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
STARTUPLISBOA;2018-12-20 04:00;0;5;"A @vali_space acaba de anunciar que assinou um acordo com a Tekever para apoiar o desenvolvimento do micro-satélite português "INFANTE". https://www. startuplisboa.com/new-blog/valis pace-has-signed-a-contract-with-tekever …";;@vali_space;;"1075677184528867328";https://twitter.com/STARTUPLISBOA/status/1075677184528867328
vali_space;2018-12-19 11:33;2;5;"A Christmas to all new and starting satellite engineers out there! If you have some free time during the Christmas holidays, have a look at our new tutorials with descriptions on how… https://www. instagram.com/p/Brk2OKOHPtt/ ?utm_source=ig_twitter_share&igshid=1a9i8qwce73yf …";;;;"1075428802413641728";https://twitter.com/vali_space/status/1075428802413641728
spaceoneers;2018-12-17 11:56;0;1;"Congratulations to @vali_space for making it into @Forbes 100 Most Innovative Startups Of Germany In 2018 https:// buff.ly/2BrRAKJ pic.twitter.com/qbHm7sd2nJ";;@vali_space @Forbes;;"1074710049505902592";https://twitter.com/spaceoneers/status/1074710049505902592
pthomasCAD;2018-12-11 20:44;0;1;"Onshape has always had an unrestricted/unlimited free plan for EDU and non-commercial use. The models produced under the free plan are visible (but not changeable) to anyone. Editing is restricted to your group. https://www. onshape.com/products/free";;;;"1072668465390071811";https://twitter.com/pthomasCAD/status/1072668465390071811
AstroEngy;2018-12-11 12:19;0;0;"Many thanks!";;;;"1072541303014125568";https://twitter.com/AstroEngy/status/1072541303014125568
AstroEngy;2018-12-11 12:19;0;0;"Thanks!";;;;"1072541273632980994";https://twitter.com/AstroEngy/status/1072541273632980994
pthomasCAD;2018-12-11 11:41;0;1;"@Onshape - decide for yourself if Onshape is 'open source' - here's our source code! :) https:// cad.onshape.com/documents/1231 2312345abcabcabcdeff/w/a855e4161c814f2e9ab3698a/e/daec16bcbf3755b1bc852153#_ga=2.225432922.1110034918.1544401662-139315567.1543262539 …";;@Onshape;#_ga;"1072531936483123200";https://twitter.com/pthomasCAD/status/1072531936483123200
vali_space;2018-12-11 10:32;0;1;"It's not open source itself, but @Onshape is free for open source projects and very usable!";;@Onshape;;"1072514490116304896";https://twitter.com/vali_space/status/1072514490116304896
peggyanne;2018-12-04 13:40;3;7;"#Germany - home to amazing #startups with great stories to share. Let's connect in 2019 @IPlytics , @gestaltrobotics , @iconiqlab, @hrtbtmed , @OptioPay @MoodpathApp , @opinary , @vali_space , @GWA_Hygiene https://www. forbes.com/sites/ninaange lovska/2018/11/26/meet-the-100-most-innovative-startups-of-germany-in-2018/#4cdf2ce07a26 … via @forbes #100MostInnovativeStartupsGermany pic.twitter.com/zLQzgay0N1";;@IPlytics @gestaltrobotics @iconiqlab @hrtbtmed @OptioPay @MoodpathApp @opinary @vali_space @GWA_Hygiene @forbes;#Germany #startups #4cdf2ce07a26 #100MostInnovativeStartupsGermany;"1070024989653565440";https://twitter.com/peggyanne/status/1070024989653565440
Astro_Imane;2018-12-01 13:33;0;1;"Yess positive!!!";;;;"1068936200113729541";https://twitter.com/Astro_Imane/status/1068936200113729541
sarahmldnenbr;2018-12-01 13:29;0;2;"Wow! Amazing! May the Force be with you!";;;;"1068935224300527616";https://twitter.com/sarahmldnenbr/status/1068935224300527616
sarahmldnenbr;2018-12-01 12:56;0;3;"I love your new bio avi!";;;;"1068926874615656448";https://twitter.com/sarahmldnenbr/status/1068926874615656448
