username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
valohaiai;2018-12-21 11:09;1;3;"Run Jupyter Notebook against any cloud provider. How to take a single cell in a local Jupyter Notebook and run it in the cloud, using the Valohai platform and its command-line client? Give it a try! https:// hubs.ly/H0f-ndz0 @ProjectJupyter #DataScience #DeepLearning #Jupyter";;@ProjectJupyter;#DataScience #DeepLearning #Jupyter;"1076147590792728576";https://twitter.com/valohaiai/status/1076147590792728576
valohaiai;2018-12-21 01:08;1;0;"Yes, notebooks have their time and place. But the time is not in production ready environments for sure. Here is one example of taking first steps from notebook exploration towards version controlled model building: https:// blog.valohai.com/run-jupyter-no tebook-any-cloud-provider …";;;;"1075996478131372032";https://twitter.com/valohaiai/status/1075996478131372032
guillaume_che;2018-12-20 18:25;0;0;"@WetHat7 @NirantK @J_P_Raymond @valohaiai @yuvipanda @citnaj @hardmaru";;@WetHat7 @NirantK @J_P_Raymond @valohaiai @yuvipanda @citnaj @hardmaru;;"1075894890775674881";https://twitter.com/guillaume_che/status/1075894890775674881
freducom;2018-12-20 03:00;0;2;"and why it is: https:// blog.valohai.com/run-jupyter-no tebook-any-cloud-provider …";;;;"1075662283047649280";https://twitter.com/freducom/status/1075662283047649280
valohaiai;2018-12-19 21:05;2;6;"Why Jupyter Notebook is not suitable for production level machine learning models? https:// hubs.ly/H0dwV350 #MachineLearning #Jupyter #JupyterNotebook";;;#MachineLearning #Jupyter #JupyterNotebook;"1075572744929116160";https://twitter.com/valohaiai/status/1075572744929116160
toniperamaki;2018-12-17 09:08;0;0;"Our @valohaiai dev team has been busy pushing upgrades out to help our customers be more efficient in their model development work. #patchnotes #valohai #deeplearning #enterprise #datascience https:// twitter.com/valohaiai/stat us/1074655080719241216 …";;@valohaiai;#patchnotes #valohai #deeplearning #enterprise #datascience;"1074667644266168321";https://twitter.com/toniperamaki/status/1074667644266168321
valohaiai;2018-12-17 08:18;3;8;"Yo! Did you notice Valohai's new dashboard view? Or two-factor authentication? Or revamped environmental variable view? We have been super effective (again ) to bring you the best in class Deep Learning platform! Read this week's updates here: https:// valohai.com/patch-notes/20 18-12-17/ … pic.twitter.com/rwJ1Qz4peg";;;;"1074655080719241216";https://twitter.com/valohaiai/status/1074655080719241216
valohaiai;2018-12-13 04:57;2;7;"Valohai now supports random search for hyperparameter optimization! Read more here https:// blog.valohai.com/random-hyperpa rameter-optimization … #DataScience #MachineLearning #MLaaS pic.twitter.com/a12dAEjRdu";;;#DataScience #MachineLearning #MLaaS;"1073155000552034304";https://twitter.com/valohaiai/status/1073155000552034304
valohaiai;2018-12-13 04:53;0;0;"Agree!";;;;"1073153857558118400";https://twitter.com/valohaiai/status/1073153857558118400
katsi111;2018-12-13 04:34;0;0;"that we need more of it!";;;;"1073149092908466176";https://twitter.com/katsi111/status/1073149092908466176
valohaiai;2018-12-13 04:31;0;0;"What was a key takeaway from Diegos talk? :)";;;;"1073148487615827968";https://twitter.com/valohaiai/status/1073148487615827968
katsi111;2018-12-13 04:21;0;2;"Diego Lo Giudice on continuous development for ML models #DEVOPS2018 made me think of my past conversation with @eero_laaksonen @valohaiai";;@eero_laaksonen @valohaiai;#DEVOPS2018;"1073145966713278464";https://twitter.com/katsi111/status/1073145966713278464
JoannaPurosto;2018-12-07 05:32;1;1;"Now that you said it, you are right! More happiness here! pic.twitter.com/adzeDB15lu";;;;"1070989349607608320";https://twitter.com/JoannaPurosto/status/1070989349607608320
PeterPanzenLE;2018-12-07 04:43;0;0;"Missing the happines in this pic";;;;"1070977058791194624";https://twitter.com/PeterPanzenLE/status/1070977058791194624
JoannaPurosto;2018-12-07 03:10;0;2;"So proud of our @valohaiai team! Not only because of the glitter in #Slush but because of the hard work that everyone has been doing during the whole year! https:// twitter.com/valohaiai/stat us/1070952968512507904 …";;@valohaiai;#Slush;"1070953709562195968";https://twitter.com/JoannaPurosto/status/1070953709562195968
valohaiai;2018-12-07 03:07;2;34;"#Slush18 is now over and we made lots of new friends! Like if you noticed glitter on someone’s (or on your own?!) face! It was Valohai crew spreading some happines and magic around the community. #Slush #Glitter #Unicorn #notSoSerious pic.twitter.com/mUJ3aqBnZY";;;#Slush18 #Slush #Glitter #Unicorn #notSoSerious;"1070952968512507904";https://twitter.com/valohaiai/status/1070952968512507904
valohaiai;2018-12-06 21:03;0;3;"Microsoft's Cognitive Toolkit or CNTK is an open source framework for building Deep Learning models. This relatively new framework has been gaining traction so we decided to make sure Valohai supports it well. https:// hubs.ly/H0fCwM10 #CNTK #DeepLearning";;;#CNTK #DeepLearning;"1070861199829553152";https://twitter.com/valohaiai/status/1070861199829553152
freducom;2018-12-06 10:20;0;1;"Hey #AISummit @Business_AI attendees: Bring home something cool and exotic - a genuine collector’s edition T-shirt to show your spouse and colleagues your true intelligence. Only 15 left at the @valohaiai booth S20. Act now! https:// twitter.com/freducom/statu s/1070413592741187584 …";;@Business_AI @valohaiai;#AISummit;"1070699433598353409";https://twitter.com/freducom/status/1070699433598353409
ruk_si;2018-12-06 02:48;2;3;"Come listen to me ramble about distributed learning! @valohaiai @mlconference #MLConference #MachineLearning #BigData pic.twitter.com/WcnkwXF0L6";;@valohaiai @mlconference;#MLConference #MachineLearning #BigData;"1070585724242722816";https://twitter.com/ruk_si/status/1070585724242722816
freducom;2018-12-05 15:24;3;7;"THERE IS NOTHING ARTIFICIAL ABOUT MY INTELLIGENCE! Get your cool free T-shirt at the @valohaiai booth at #AISummit in #NYC from @orasimus at booth S20 - hurry before we run out. pic.twitter.com/8dNR2gWMn2 – bei Manhattan, NY";;@valohaiai @orasimus;#AISummit #NYC;"1070413592741187584";https://twitter.com/freducom/status/1070413592741187584
ruk_si;2018-12-05 11:09;1;1;"I usually recommend the following article to get started: https:// seba-1511.github.io/dist_blog/ then you can check out various distributed learning framework documentations like Distributed TensorFlow and Horovod";;;;"1070349514832314368";https://twitter.com/ruk_si/status/1070349514832314368
valohaiai;2018-12-05 10:23;0;5;"Our @eero_laaksonen giving an interview - do you think he had something smart to say? #Slush18 #level5ceo pic.twitter.com/HXy5s4h5p0";;@eero_laaksonen;#Slush18 #level5ceo;"1070337793136709632";https://twitter.com/valohaiai/status/1070337793136709632
JoukoSalonen;2018-12-05 10:15;0;0;"any good source / link to "distributed machine learning"?";;;;"1070335879867219968";https://twitter.com/JoukoSalonen/status/1070335879867219968
freducom;2018-12-05 10:02;0;2;"Come join @orasimus at booth S20 to see how to do large scale #deeplearning with pipeline management, version control and machine orchestration at #AISummit #NYC @Business_AI and @valohaiai and get a cool T-shirt! pic.twitter.com/8TLAmahk10";;@orasimus @Business_AI @valohaiai;#deeplearning #AISummit #NYC;"1070332481264603137";https://twitter.com/freducom/status/1070332481264603137
