username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Vidrovr;2018-12-14 11:53;3;7;"Flashback Friday: Dan & Haley during the Vidrovr Mastermind Brainstorming session at the #Boldline Accelerator, hosted by @GPatState . #FlashbackFriday #TGIF #ai #tech #startup #nyc pic.twitter.com/qN1GJA8rKb";;@GPatState;#Boldline #FlashbackFriday #TGIF #ai #tech #startup #nyc;"1073622018535448576";https://twitter.com/Vidrovr/status/1073622018535448576
Vidrovr;2018-12-07 14:08;2;9;"Team @Vidrovr covered the global this week, attending #SLUSH in Finland, #AISummit in NYC, and #Boldline in DC! We're grateful for all these experiences and looking forward to what's next! Stay tuned for exciting updates. #pushingboundaries #ai #machinelearning #startup pic.twitter.com/1OPZOINPIZ";;@Vidrovr;#SLUSH #AISummit #Boldline #pushingboundaries #ai #machinelearning #startup;"1071119210586234880";https://twitter.com/Vidrovr/status/1071119210586234880
Vidrovr;2018-12-06 18:33;0;1;"Thanks for having us Jim! We had a great time. You and your team crushed it!";;;;"1070823615438995457";https://twitter.com/Vidrovr/status/1070823615438995457
Vidrovr;2018-12-06 12:39;3;12;"Vidrovr's CTO, Dan Morozoff, striking a pose on the final day of the #Boldline Accelerator in DC. Thanks to @GPatState & GEC for putting on an awesome 3 days. pic.twitter.com/s1JETMT6Lc";;@GPatState;#Boldline;"1070734567869505536";https://twitter.com/Vidrovr/status/1070734567869505536
calvinling626;2018-12-05 13:11;0;2;"we're big fans of @Vidrovr ! https:// twitter.com/SamsungNEXT/st atus/1070261548218806273 …";;@Vidrovr;;"1070380094852460544";https://twitter.com/calvinling626/status/1070380094852460544
Vidrovr;2018-12-05 12:43;2;5;"CEO, Joe Ellis at #SLUSH Day2! https:// twitter.com/SamsungNEXT/st atus/1070261548218806273 …";;;#SLUSH;"1070373150356058112";https://twitter.com/Vidrovr/status/1070373150356058112
Vidrovr;2018-12-05 11:43;0;6;"Vidrovr team repping hard at the #AISummit here in #NYC ! Stop by Booth S26 to meet our awesome engineers Mihir and Gianni! Learn about how we're using #AI & #MachineLearning to maximize your video library. #teamvidrovr #startup #tech pic.twitter.com/ByAJoLqX74";;;#AISummit #NYC #AI #MachineLearning #teamvidrovr #startup #tech;"1070358124685639687";https://twitter.com/Vidrovr/status/1070358124685639687
SamsungNEXT;2018-12-05 05:20;2;8;"Portfolio company @Vidrovr is showcasing their exciting video discovery solution at the Samsung Innovators' Cafe at #Slush18 . Stop by and say hi! pic.twitter.com/GxHimtJEnV";;@Vidrovr;#Slush18;"1070261548218806273";https://twitter.com/SamsungNEXT/status/1070261548218806273
mehackit;2018-12-05 04:19;0;1;"#slush18 #GreatCoffee at @Samsung #innovators #cafe opposite the founder stage (main stage) and great company to enjoy your coffee with: @branchmetrics @Vidrovr @Cylera_ @AI_motive @mapillary @wec360_ab @mehackit Warmly welcome! pic.twitter.com/tKhsxPcnbz";;@Samsung @branchmetrics @Vidrovr @Cylera_ @AI_motive @mapillary @wec360_ab @mehackit;#slush18 #GreatCoffee #innovators #cafe;"1070246154447847425";https://twitter.com/mehackit/status/1070246154447847425
SoooMD;2018-12-04 11:26;0;4;"Another awesome track!! Only at @GPatState";;@GPatState;;"1069991314824007680";https://twitter.com/SoooMD/status/1069991314824007680
theceejaay;2018-12-04 11:22;2;5;"@StateDept ’s #Boldline /GEC is happening now! Hosted by @GPatState & @gec_tech . Meet cohort three... @truepicinc @ZignalLabs @Vidrovr @argonne @BakamoSocial @axumgraphics @istresearch pic.twitter.com/XAQgiRyYCV";;@StateDept @GPatState @gec_tech @truepicinc @ZignalLabs @Vidrovr @argonne @BakamoSocial @axumgraphics @istresearch;#Boldline;"1069990378462502912";https://twitter.com/theceejaay/status/1069990378462502912
JVChardon;2018-12-04 10:05;1;5;"#slush18 #day1 #littlesunshine #enlightningconversations Find @branchmetrics at @Samsung #innovators #cafe opposite the founder stage (main stage) alongside @Vidrovr / @Cylera_ / @AI_motive / @mapillary / @wec360_ab ° / @mehackit pic.twitter.com/rGnsYDyj68";;@branchmetrics @Samsung @Vidrovr @Cylera_ @AI_motive @mapillary @wec360_ab @mehackit;#slush18 #day1 #littlesunshine #enlightningconversations #innovators #cafe;"1069971067228299265";https://twitter.com/JVChardon/status/1069971067228299265
Vidrovr;2018-12-04 08:16;3;5;"Vidrovr's very own Joe Ellis is out at #SLUSH this week! Stop by the #Samsung booth to see him and learn how we're helping push the boundaries of what's possible with your video library. #samsungNEXT #startup #machinelearning #ai pic.twitter.com/xyJWs1RVgg";;;#SLUSH #Samsung #samsungNEXT #startup #machinelearning #ai;"1069943525305917441";https://twitter.com/Vidrovr/status/1069943525305917441
BakamoSocial;2018-11-30 12:15;1;5;"Get some rest and have great weekend! Looking forward to #Boldline in #Washington next week. Excited to meet you all at @GPatState in person! Safe journey! @zignallabs @mentionmapp @Vidrovr @argonne @axumgraphics @istresearch @truepicinc pic.twitter.com/JmsrXhYgCt";;@GPatState @zignallabs @mentionmapp @Vidrovr @argonne @axumgraphics @istresearch @truepicinc;#Boldline #Washington;"1068554007810097153";https://twitter.com/BakamoSocial/status/1068554007810097153
SamsungNEXT;2018-11-07 15:14;6;9;"#SDC18 has officially kicked off, and we are already having a blast. @missinglinkai @Vidrovr @EdgeworxIO @ThetaToken pic.twitter.com/n2dFLpW16a";;@missinglinkai @Vidrovr @EdgeworxIO @ThetaToken;#SDC18;"1060264135391412226";https://twitter.com/SamsungNEXT/status/1060264135391412226
Vidrovr;2018-11-02 14:36;0;0;"Check out this clip on Seam Hack https://www. seamhack.com/#/v/Descriptiv eDarkgreyGorgon …";;;#;"1058427620533125124";https://twitter.com/Vidrovr/status/1058427620533125124
Vidrovr;2018-11-02 11:22;0;1;"Check out this clip on Seam Hack https://www. seamhack.com/#/v/Legitimate TragicGiantCrocodile …";;;#;"1058378889809027072";https://twitter.com/Vidrovr/status/1058378889809027072
BourkePR;2018-10-18 11:21;0;1;"Interesting! I’ll have to check this out. Sorry I’m not down there, it’d be good to see you!";;;;"1052942797580500992";https://twitter.com/BourkePR/status/1052942797580500992
avidrhl;2018-10-18 10:10;0;1;"I'll check it out today";;;;"1052924963861254144";https://twitter.com/avidrhl/status/1052924963861254144
michaelkammes;2018-10-18 09:40;0;2;"Interesting and exciting tech from the #NABShowNY floor: VidRovr. Specialized cognitive services (A.I.) for media. Startup mode. This type of tech is the future of Post. Highly recommend a demo and chat; website doesn't do it justice. #NABNY #postchat @Vidrovr";;@Vidrovr;#NABShowNY #NABNY #postchat;"1052917419545649152";https://twitter.com/michaelkammes/status/1052917419545649152
SamsungNEXT;2018-09-22 13:45;0;2;"The information world is heavily driven by video, and @Vidrovr is working to make #video search more effective. http:// samsungnext.com/whats-next/ep- 5-joe-ellis-vidrovr …";;@Vidrovr;#video;"1043556800023482369";https://twitter.com/SamsungNEXT/status/1043556800023482369
SamsungNEXT;2018-09-11 13:58;0;1;"The information world is heavily driven by video, and @Vidrovr is working to make #video search more effective. http:// samsungnext.com/whats-next/ep- 5-joe-ellis-vidrovr …";;@Vidrovr;#video;"1039573976568279041";https://twitter.com/SamsungNEXT/status/1039573976568279041
nycmedialab;2018-08-23 09:37;1;5;"Thank you Alex, from the NYC Media Lab Combine community: we always knew our teams were lucky to end up I your capable hands. @Vidrovr @GeopipeInc @AcculisTech https:// twitter.com/alexiskold/sta tus/1032258288686178305 …";;@Vidrovr @GeopipeInc @AcculisTech;;"1032622980952739840";https://twitter.com/nycmedialab/status/1032622980952739840
SamsungNEXT;2018-08-14 15:07;1;1;"In a time where countless hours of #video have become the standard for #information , @Vidrovr wants to lead the way in video search solutions. More on the latest episode of #WhatNEXT : http:// samsungnext.com/whats-next/ep- 5-joe-ellis-vidrovr … pic.twitter.com/JbTpskHKdh";;@Vidrovr;#video #information #WhatNEXT;"1029444385799331840";https://twitter.com/SamsungNEXT/status/1029444385799331840
SamsungNEXT;2018-08-09 13:48;1;5;"Tune in for an all-new episode of #WhatsNEXT as Joe Ellis discusses how his company, @Vidrovr is helping solve the challenge of searching effectively through #video . http:// samsungnext.com/whats-next/ep- 5-joe-ellis-vidrovr … pic.twitter.com/sm5xO9Fxa3";;@Vidrovr;#WhatsNEXT #video;"1027612555752091648";https://twitter.com/SamsungNEXT/status/1027612555752091648
Columbia_Tech;2018-06-24 18:00;0;0;"Profile of #ColumbiaInnovation , Featuring #Startups @VidRovr , Sapience Therapeutics, & Applied Therapeutics. Check Out CTV! http:// ow.ly/LO8M30kxdFF";;@VidRovr;#ColumbiaInnovation #Startups;"1011006203110002689";https://twitter.com/Columbia_Tech/status/1011006203110002689
Columbia_Tech;2018-06-14 11:40;0;1;"Profile of #ColumbiaInnovation , Featuring #Startups @VidRovr , Sapience Therapeutics, & Applied Therapeutics. Check Out CTV! http:// ow.ly/zmh930krfq2";;@VidRovr;#ColumbiaInnovation #Startups;"1007286594330677249";https://twitter.com/Columbia_Tech/status/1007286594330677249
itsmikeoday;2018-05-25 23:04;0;1;"@Vidrovr (CC: @connoroday1 )";;@Vidrovr @connoroday1;;"1000210995716018176";https://twitter.com/itsmikeoday/status/1000210995716018176
idavar;2018-05-15 18:39;2;13;"Amazing experience pitching IVOW at #MachinesMedia18 . I learned so much on the state of AI, ML, blockchain from @Vidrovr @tagasauris @Cometml @algorithmia @foamspace , Thanks @nycmedialab @karinklein @business @TechAtBloomberg pic.twitter.com/7QLTH93G5T";;@Vidrovr @tagasauris @Cometml @algorithmia @foamspace @nycmedialab @karinklein @business @TechAtBloomberg;#MachinesMedia18;"996520462535614464";https://twitter.com/idavar/status/996520462535614464
dhruvghulati;2018-05-15 16:38;0;0;"Interesting.. Search for video and entity annotation /information extraction at @Vidrovr ... #machinesmedia18 pic.twitter.com/0orGYakawa";;@Vidrovr;#machinesmedia18;"996489902354247681";https://twitter.com/dhruvghulati/status/996489902354247681
AdaoraUdoji;2018-05-15 16:37;0;1;"Real Hard to build usable search with raw meta data says ceo cofounder #joeEllis @Vidrovr so his company has made it easy. @nycmedialab #machinemedia18 pic.twitter.com/05OgIXpsIJ";;@Vidrovr @nycmedialab;#joeEllis #machinemedia18;"996489681666740226";https://twitter.com/AdaoraUdoji/status/996489681666740226
nycmedialab;2018-05-15 16:30;7;13;"Startups lead the way! #MachinesMedia18 brings 6 5-minute pitches to the floor. Companies are providing tech solutions with data, AI, ML, blockchain and more. With @Vidrovr @idavar @tagasauris @Cometml @algorithmia @foamspace , led by @karinklein of @BloombergBeta . pic.twitter.com/ZjlithiqTT";;@Vidrovr @idavar @tagasauris @Cometml @algorithmia @foamspace @karinklein @BloombergBeta;#MachinesMedia18;"996487921271234561";https://twitter.com/nycmedialab/status/996487921271234561
StartupTracker;2018-04-06 17:49;0;0;"@VidRovr We love your product! Is the info we found about you up-to-date https:// startuptracker.io/startups/vidro vr/update?t=sb … ?";;@VidRovr;;"982374651715256320";https://twitter.com/StartupTracker/status/982374651715256320
nycmedialab;2018-04-04 10:08;2;4;"Today we are hosting a panel and networking event w @Vidrovr , NBCUniversal, BET and Vox at @SamsungNEXT to discuss trends in video in the media industry, specifically the ‘pivot to video’ and how technology is changing the way video content is produced, distributed and monetized. pic.twitter.com/gnRECMzKmd";;@Vidrovr @SamsungNEXT;;"981534014019461120";https://twitter.com/nycmedialab/status/981534014019461120
