username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BlockBuster_Guy;2018-12-13 10:15;0;1;"https://www. youtube.com/watch?v=S5JyNS KPKeA … #NFL #Week15 picks! @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance";;@mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance;#NFL #Week15;"1073234921492279298";https://twitter.com/BlockBuster_Guy/status/1073234921492279298
BlockBuster_Guy;2018-12-06 10:56;1;0;"https://www. youtube.com/watch?v=R2x4sq 35bJw … @NFL #Week14 picks! @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance";;@NFL @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance;#Week14;"1070708578896498689";https://twitter.com/BlockBuster_Guy/status/1070708578896498689
BlockBuster_Guy;2018-11-28 22:42;1;0;"https://www. youtube.com/watch?v=2QfcEl lJ79E … @NFL #Week13 picks! @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance";;@NFL @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance;#Week13;"1067987087054569474";https://twitter.com/BlockBuster_Guy/status/1067987087054569474
gioknows;2018-11-21 12:16;0;0;"Week 12 NFL Team Power Rankings https://www. youtube.com/watch?v=XPcsM1 Y_iY0 … @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance pic.twitter.com/zg7R1cjAt9";;@mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance;;"1065292906125234179";https://twitter.com/gioknows/status/1065292906125234179
BlockBuster_Guy;2018-11-21 10:03;0;0;"https://www. youtube.com/watch?v=uevnjk PfF5M … @NFL #Week12 picks! @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance";;@NFL @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance;#Week12;"1065259486812749824";https://twitter.com/BlockBuster_Guy/status/1065259486812749824
BlockBuster_Guy;2018-11-15 12:37;0;0;"https://www. youtube.com/watch?v=QZiZfI G7y2Q … @NFL #Week11 picks! @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance";;@NFL @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance;#Week11;"1063123812034756608";https://twitter.com/BlockBuster_Guy/status/1063123812034756608
BlockBuster_Guy;2018-11-08 09:05;0;0;"https://www. youtube.com/watch?v=W91kgu aV-6I … @NFL #Week10 picks! @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance";;@NFL @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance;#Week10;"1060533733156102145";https://twitter.com/BlockBuster_Guy/status/1060533733156102145
BlockBuster_Guy;2018-10-30 21:28;1;0;"https://www. youtube.com/watch?v=0oTYI5 naiTM … @NFL #Week9 picks! @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance";;@NFL @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance;#Week9;"1057444237078339584";https://twitter.com/BlockBuster_Guy/status/1057444237078339584
BlockBuster_Guy;2018-10-24 00:09;0;1;"https:// youtu.be/wV0ITKOsLIM @NFL #Week8 picks! @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance";;@NFL @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance;#Week8;"1054948053805924352";https://twitter.com/BlockBuster_Guy/status/1054948053805924352
BlockBuster_Guy;2018-10-16 22:49;1;1;"https://www. youtube.com/watch?v=-V-BEQ BLoBM … @NFL #Week7 picks! @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance";;@NFL @mmorganjjade @booster_82 @Germanbsfan @jmosh17 @NuthinButSports @EliteSportsTour @hottubpicks @SportsmuseumHOF @athletemg @CdnHustler @MrJimiEarly @viralheat @SOCIALSPREADS @CartGuy1 @TheRawLibrarian @Rotosurance;#Week7;"1052391059702116352";https://twitter.com/BlockBuster_Guy/status/1052391059702116352
