username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
viz_ai;2018-12-21 16:56;2;5;"Happy Holidays to all from http:// Viz.ai ! Hope you have a wonderful holiday, and a happy, healthy, prosperous New Year!";;;;"1076234985051287553";https://twitter.com/viz_ai/status/1076234985051287553
viz_ai;2018-12-13 17:24;5;15;"Proud to announce that Viz LVO has won the 2018 Fierce Innovation Award for Clinical Information Management! Honored to be recognized by FierceHealthcare in such an important category. https:// bit.ly/2SP82M5 @FierceHealth @HIMSS @RSNA pic.twitter.com/sH2u85JT9C";;@FierceHealth @HIMSS @RSNA;;"1073342833258459136";https://twitter.com/viz_ai/status/1073342833258459136
pfizer_de;2018-12-13 05:48;2;1;"Klare Worte von Dr. Chris Mansi, MD, CEO und Gründer von @Viz_AI zum Thema #AI : „It’s not about replacing doctors or making them better at their jobs. It’s about the right patient being reviewed by the right doctor at the right time.“ https:// twitter.com/TWDigitalHealt h/status/1072755507352481795 …";;@Viz_AI;#AI;"1073167647741829121";https://twitter.com/pfizer_de/status/1073167647741829121
AuntMinnie;2018-11-29 06:00;3;10;"Congratulations to @Viz_AI and Viz LVO for winning the Minnies Award for Best New Radiology Software! #radiology #RSNA18 pic.twitter.com/r23uY9RThR";;@Viz_AI;#radiology #RSNA18;"1068097254567882752";https://twitter.com/AuntMinnie/status/1068097254567882752
lliamu5;2018-11-27 17:21;0;0;"UCB";;;;"1067543981775568897";https://twitter.com/lliamu5/status/1067543981775568897
viz_ai;2018-11-26 15:05;3;4;"Great way to kick off #RSNA18 yesterday, Dr Vijay Rao describes a vision for the near future of Radiology including embracing AI with "digital diagnostic data hubs" https:// bit.ly/2P4rbHp @Viz_AI #RSNAi";;@Viz_AI;#RSNA18 #RSNAi;"1067147428992700416";https://twitter.com/viz_ai/status/1067147428992700416
viz_ai;2018-11-26 14:45;3;7;"Viz LVO awarded the 2018 Minnie for Best New Radiology Software! https://www. viz.ai/rsna @AuntMinnie #RSNA18 #RSNAi @RSNA #Minnie pic.twitter.com/TEnc6v1WSR";;@AuntMinnie @RSNA;#RSNA18 #RSNAi #Minnie;"1067142368393015296";https://twitter.com/viz_ai/status/1067142368393015296
RadiologyBiz;2018-11-25 20:00;2;2;"ICYMI: New #AI stroke software helping doctors win race against time @Viz_AI #imaging #radiology #healthcare #artificialintelligence http:// ow.ly/hnFl30mHFC4";;@Viz_AI;#AI #imaging #radiology #healthcare #artificialintelligence;"1066859154030149633";https://twitter.com/RadiologyBiz/status/1066859154030149633
KavitShahMD;2018-11-25 13:28;0;5;"Certainly saw evidence of this at #SVIN2018 . ""It has to fit into the workflow, because you can't really change the workflow." Important words as this field grows. @svinsociety @Viz_AI @italolinfante @AmeerEHassan @dliebesk @AshuPJadhav https:// twitter.com/HC_Finance/sta tus/1066742082927280130 …";;@svinsociety @Viz_AI @italolinfante @AmeerEHassan @dliebesk @AshuPJadhav;#SVIN2018;"1066760497868013569";https://twitter.com/KavitShahMD/status/1066760497868013569
RadiologyBiz;2018-11-24 18:00;2;0;"ICYMI: New #AI stroke software helping doctors win race against time @Viz_AI #imaging #radiology #healthcare #artificialintelligence http:// ow.ly/hnFl30mHFC4";;@Viz_AI;#AI #imaging #radiology #healthcare #artificialintelligence;"1066466589783015424";https://twitter.com/RadiologyBiz/status/1066466589783015424
RadiologyBiz;2018-11-23 15:01;3;5;"ICYMI: New #AI stroke software helping doctors win race against time @Viz_AI #imaging #radiology #healthcare #artificialintelligence http:// ow.ly/hnFl30mHFC4";;@Viz_AI;#AI #imaging #radiology #healthcare #artificialintelligence;"1066059082753327105";https://twitter.com/RadiologyBiz/status/1066059082753327105
RadiologyBiz;2018-11-22 09:01;1;0;"ICYMI: New #AI stroke software helping doctors win race against time @Viz_AI #imaging #radiology #healthcare #artificialintelligence http:// ow.ly/hnFl30mHFC4";;@Viz_AI;#AI #imaging #radiology #healthcare #artificialintelligence;"1065606286094622720";https://twitter.com/RadiologyBiz/status/1065606286094622720
RadiologyBiz;2018-11-21 10:54;3;2;"New #AI stroke software helping doctors win race against time @Viz_AI #imaging #radiology #healthcare #artificialintelligence http:// ow.ly/hnFl30mHFC4";;@Viz_AI;#AI #imaging #radiology #healthcare #artificialintelligence;"1065272273022722050";https://twitter.com/RadiologyBiz/status/1065272273022722050
manojram1;2018-11-21 03:38;2;6;"Great write up about @Viz_AI and real world use in Tennessee https:// twitter.com/MichaelWalterR B/status/1064963425820917761 …";;@Viz_AI;;"1065162406576472064";https://twitter.com/manojram1/status/1065162406576472064
MichaelWalterRB;2018-11-20 14:27;5;6;"New #AI stroke software helping doctors win race against time @Viz_AI #imaging #radiology #healthcare #artificialintelligence https://www. radiologybusiness.com/sponsored/2222 1/topics/artificial-intelligence/vizai-artificial-intelligence-stroke-software …";;@Viz_AI;#AI #imaging #radiology #healthcare #artificialintelligence;"1064963425820917761";https://twitter.com/MichaelWalterRB/status/1064963425820917761
ThreeDayCondor;2018-11-17 13:56;0;1;"My apologies -- I did not intend for mine to be seen as combative, or a "black/white" false dilemma. Yes, lots of tech companies are doing well, by "doing good" in human healthcare. This is not an either/or race. It took "a village" -- to get an Ebola vaccine, right? Namaste.";;;;"1063868403201572865";https://twitter.com/ThreeDayCondor/status/1063868403201572865
