username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JesseOnslow;2017-08-03 09:24;0;2;"Awesome, thanks for the tip!";;;;"893100189338218496";https://twitter.com/JesseOnslow/status/893100189338218496
brightyellw;2017-08-03 09:01;0;0;"You could try @yodelay Duncan Johnson - he is a bitcoin expert so might be able to help, or know where to go. http:// linkedin.com/in/duncanseojo hnson …";;@yodelay;;"893094458534879232";https://twitter.com/brightyellw/status/893094458534879232
camilarossbmr1;2017-05-08 02:53;0;2;"#HealthcareAnalytics Insights & Growth Prospects 2017 http:// bit.ly/2plXp3X @HITAnalytics @healthai @HIMSSAnalytics @Health_IT @Yodelay";;@HITAnalytics @healthai @HIMSSAnalytics @Health_IT @Yodelay;#HealthcareAnalytics;"861474112941596672";https://twitter.com/camilarossbmr1/status/861474112941596672
Chuck_Moeller;2017-03-26 12:00;0;0;"The Kirk Borne Contribution is Out!!! http:// tweetedtimes.com/v/8957?s=rgp - top stories by @CutyDave , @braddolman , @Yodelay";;@CutyDave @braddolman @Yodelay;;"846029157133942785";https://twitter.com/Chuck_Moeller/status/846029157133942785
mrdhey16;2017-03-25 18:45;0;0;"The latest Updates & Everything! http:// paper.li/mrdhey16/14059 93511?edition_id=babc5000-11ac-11e7-9c98-002590a5ba2d … Thanks to @Yodelay #befullyinformed #projectmanagement";;@Yodelay;#befullyinformed #projectmanagement;"845768606096994311";https://twitter.com/mrdhey16/status/845768606096994311
DrDannySands;2017-03-23 19:49;0;0;"Share the love: @vivekhnair @CommonWell @Yodelay , thanks for being top new followers this week :) Want this https:// commun.it/?aid=thankyou1 62 …";;@vivekhnair @CommonWell @Yodelay;;"845059987831447552";https://twitter.com/DrDannySands/status/845059987831447552
SHRodman;2017-02-21 13:47;0;0;"Thanks for the recent follow @Yodelay @Africadean @MarketStormGbl1 Happy to connect :) have a great Tuesday. https:// commun.it/thank-you/?aid =thankyou135 …";;@Yodelay @Africadean @MarketStormGbl1;;"834112392086876161";https://twitter.com/SHRodman/status/834112392086876161
sommardahl;2017-02-16 06:01;0;0;"@Yodelay are you a software dev or a project leader?";;@Yodelay;;"832182997961043968";https://twitter.com/sommardahl/status/832182997961043968
SHRodman;2017-01-30 13:56;0;0;"Thanks for the recent follow @MarketStormGbl1 @Yodelay @Susys Happy to connect :) have a great Monday. >> Get FREE? http:// bit.ly/_tweet_thanks";;@MarketStormGbl1 @Yodelay @Susys;;"826142033362485252";https://twitter.com/SHRodman/status/826142033362485252
VulpineInteract;2017-01-05 19:30;0;0;"@Yodelay our friend just launched her #nutrition blog for #PartyGirls . Fun idea right? LMK what you think: http:// partynutrition.tips/blog-t";;@Yodelay;#nutrition #PartyGirls;"817166485089124352";https://twitter.com/VulpineInteract/status/817166485089124352
HITOutcomes;2016-12-04 10:52;1;0;"Thanks for the recent follow @denisehterry @Teladoc @Yodelay Happy to connect :) have a great Sunday. >> Get FREE? http:// bit.ly/_tweet_thanks";;@denisehterry @Teladoc @Yodelay;;"805439706091683840";https://twitter.com/HITOutcomes/status/805439706091683840
StartupTracker;2016-11-30 07:08;0;0;"@yodelay We want to know more about your startup. Is the info we found about you up-to-date? https:// startuptracker.io/crowdsourcing/ 58529?t=a1 …";;@yodelay;;"803933708961058816";https://twitter.com/StartupTracker/status/803933708961058816
gatekeeper0077;2016-11-25 12:12;0;0;"#FollowFriday @greg_not_so @RachelDines @Yodelay top Influencers this week! Have a great weekend :)";;@greg_not_so @RachelDines @Yodelay;#FollowFriday;"802198395737833472";https://twitter.com/gatekeeper0077/status/802198395737833472
CloudResDFW;2016-11-14 02:00;0;0;"Big Data Peeps Cheers check this out http:// tweetedtimes.com/v/12355?s=rgp - top stories by @Yodelay , @Nakzense , @DAAAAUuuum578";;@Yodelay @Nakzense @DAAAAUuuum578;;"798057891714375681";https://twitter.com/CloudResDFW/status/798057891714375681
snapmdinc;2016-11-11 11:07;0;1;"Thank you for following us @Yodelay @Abdulaziz10432 @CareWayInfo ! We would love if you found out more about us at http:// snap.md /";;@Yodelay @Abdulaziz10432 @CareWayInfo;;"797108557485371392";https://twitter.com/snapmdinc/status/797108557485371392
El02vira;2016-11-09 15:30;0;0;"@Yodelay Hola descarga aquí las mejores plantillas web gratuitas.Sldos http:// ow.ly/gwnR305To1c";;@Yodelay;;"796450031930896384";https://twitter.com/El02vira/status/796450031930896384
aldigital;2016-11-03 14:54;0;1;"Thanks for the recent follow @monahtadej @Yodelay @Prime_Outdoor Happy to connect :) have a great Thursday. >> http:// bit.ly/_want_this_free";;@monahtadej @Yodelay @Prime_Outdoor;;"794251524947906560";https://twitter.com/aldigital/status/794251524947906560
tunguz;2016-10-26 15:15;2;3;"Thanks for the retweets this week @Yodelay @wilfriedchung much appreciated :) Grow followers ➪ http:// bit.ly/free_followers_";;@Yodelay @wilfriedchung;;"791357503229431808";https://twitter.com/tunguz/status/791357503229431808
thinaer;2016-10-25 17:42;0;1;"@Yodelay It's a wonderful day here in Texas - thanks for the follow!";;@Yodelay;;"791032170517241856";https://twitter.com/thinaer/status/791032170517241856
SamsungPulse;2016-10-25 16:09;0;0;"Oh, we definitely think it's a thing. How do you see #AI being applied in the healthcare setting?";;;#AI;"791008800144699392";https://twitter.com/SamsungPulse/status/791008800144699392
dhealthtoday;2016-10-14 00:05;1;4;"#FollowFriday @Yodelay @liberaldaniel @Health20Berlin - top engaged members this week :) (Want this? It's FREE! https:// bit.ly/thankyou69 )";;@Yodelay @liberaldaniel @Health20Berlin;#FollowFriday;"786779954285383680";https://twitter.com/dhealthtoday/status/786779954285383680
SamsungPulse;2016-10-07 16:10;0;2;"@Yodelay Did you know we have an account that focuses on how tech impacts healthcare? Follow us to learn more!";;@Yodelay;;"784486015356506112";https://twitter.com/SamsungPulse/status/784486015356506112
dhealthtoday;2016-10-04 17:47;0;1;"thanks for the retweet this week :)";;;;"783423418775408640";https://twitter.com/dhealthtoday/status/783423418775408640
gratefull080504;2016-09-27 12:46;0;0;"Thanks for the recent follow @Yodelay @Thecookingdoc @logiebear111 Happy to connect :) have a great Tuesday. (via https:// commun.it/?aid=thankyou1 06 … )";;@Yodelay @Thecookingdoc @logiebear111;;"780810868594397184";https://twitter.com/gratefull080504/status/780810868594397184
tunguz;2016-09-05 15:05;0;1;"Thanks @Yodelay @CVSCareers @marmegal80 for being top new followers in my community this week Grow followers ➪ http:// bit.ly/free_followers_";;@Yodelay @CVSCareers @marmegal80;;"772873180717289472";https://twitter.com/tunguz/status/772873180717289472
evankirstel;2016-08-27 13:27;0;1;"@Yodelay meet @martin_steinman !";;@Yodelay @martin_steinman;;"769587143287119872";https://twitter.com/evankirstel/status/769587143287119872
KaysHarbor;2016-08-25 09:30;0;1;"Thanks @Data_Dick @Yodelay for the RTs. Glad to connect!";;@Data_Dick @Yodelay;;"768802781855703040";https://twitter.com/KaysHarbor/status/768802781855703040
Skowtura_Ini;2016-08-22 15:00;0;0;"Forbes http:// tweetedtimes.com/media/forbes/a ll?s=rgp … - top stories by @suhailmirza , @Yodelay , @jturner56";;@suhailmirza @Yodelay @jturner56;;"767798518895484928";https://twitter.com/Skowtura_Ini/status/767798518895484928
anthrovideolgst;2016-08-22 14:55;0;1;"Thanks for the recent follow @Yodelay @watersgisele @TechProGeek Happy to connect :) have a great Monday.";;@Yodelay @watersgisele @TechProGeek;;"767797382629031936";https://twitter.com/anthrovideolgst/status/767797382629031936
ShereesePubHlth;2016-08-15 11:51;0;1;"Thanks for the recent follow @Bethlgainer @mollyschreiber @Yodelay Happy to connect :) have a great Monday. >> http:// bit.ly/_want_this_free";;@Bethlgainer @mollyschreiber @Yodelay;;"765214390287118337";https://twitter.com/ShereesePubHlth/status/765214390287118337
ClinEdge;2016-08-12 16:08;0;2;"@dsgold @Yodelay @theVIAnetwork thanks for the recent follow. Much appreciated :) Grow followers ➪ http:// bit.ly/free_followers_";;@dsgold @Yodelay @theVIAnetwork;;"764191898093268993";https://twitter.com/ClinEdge/status/764191898093268993
NYASciences;2016-08-11 13:00;0;1;"Thx!";;;;"763782122171609088";https://twitter.com/NYASciences/status/763782122171609088
cmiller1225;2016-08-04 15:28;0;0;"@Yodelay What is your main area/topic of focus?";;@Yodelay;;"761282677249040384";https://twitter.com/cmiller1225/status/761282677249040384
Scott_MarTech;2016-08-03 10:33;0;1;"RT @Yodelay : Tech plays big role in improving the patient experience http:// buff.ly/2azjtqf @HITExchange pic.twitter.com/BRqkWJ9fPT";;@Yodelay @HITExchange;;"760846104187564033";https://twitter.com/Scott_MarTech/status/760846104187564033
ShereesePubHlth;2016-07-31 11:51;0;1;"Thanks for the recent follow @petermburu @Yodelay @AaKesseli Happy to connect :) have a great Sunday. >> Get FREE? https:// bit.ly/_tweet_thanks_ new_followers …";;@petermburu @Yodelay @AaKesseli;;"759778538354413569";https://twitter.com/ShereesePubHlth/status/759778538354413569
_pratiksha_geek;2016-07-27 09:00;0;1;""Social #messaging for patient" @Yodelay list #startup at betapage & receive subscribers,increase visibility http:// bit.ly/1nf9WoE";;@Yodelay;#messaging #startup;"758285964342996992";https://twitter.com/_pratiksha_geek/status/758285964342996992
dhealthtoday;2016-07-25 15:00;1;2;"Thanks for the recent follow @MohdShaya @DocResponse @Yodelay Happy to connect :) have a great Monday.";;@MohdShaya @DocResponse @Yodelay;;"757651777479028736";https://twitter.com/dhealthtoday/status/757651777479028736
Matt_R_Fisher;2016-07-19 14:09;0;3;"Mobile tech certainly tied into all aspects, can't separate from other #healthIT .";;;#healthIT;"755464477596852224";https://twitter.com/Matt_R_Fisher/status/755464477596852224
SamsungBizUSA;2016-07-18 15:58;0;1;"Absolutely. We’d love to discuss further offline. Can you please DM us contact information? Looking forward to chatting!";;;;"755129632895164417";https://twitter.com/SamsungBizUSA/status/755129632895164417
yodelayme;2016-06-14 15:10;0;1;"WE'VE MOVED! Follow us at @yodelay where we'll continue to share all the latest about the Yodelay App. See you there. :)";;@yodelay;;"742796258016788480";https://twitter.com/yodelayme/status/742796258016788480
matcroxford;2016-05-21 13:09;0;0;"maybe if @Yodelay gets his finger out you'll maybe have a bottle about your person come September.";;@Yodelay;;"734068554480357376";https://twitter.com/matcroxford/status/734068554480357376
TheNiceBot;2016-05-11 18:05;0;0;"@Yodelay According to my artificial intelligence, there is nothing artificial about how awesome you are. #TheNiceBot";;@Yodelay;#TheNiceBot;"730519254311813120";https://twitter.com/TheNiceBot/status/730519254311813120
twitpulse_uk;2016-03-12 06:20;0;0;"Sadly Yodelay ( @yodelay , 8518 followers) has kicked the bucket, they haven't tweeted for 180 days #Deathwatch #Deadpool";;@yodelay;#Deathwatch #Deadpool;"708613518241767426";https://twitter.com/twitpulse_uk/status/708613518241767426
HelloAnnaStark;2016-02-06 09:39;0;0;"#timehop @Yodelay pic.twitter.com/3ixDDRfdli";;@Yodelay;#timehop;"695980079839625216";https://twitter.com/HelloAnnaStark/status/695980079839625216
