username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Sunit_M;2018-12-23 11:41;0;1;"She is an awesome sport!";;;;"1076880362981285889";https://twitter.com/Sunit_M/status/1076880362981285889
NoahSabich;2018-12-22 14:11;0;3;"My wife, Karen, back from Toronto after a nice time with @WatrHub (see the tuque and symbolic bike hub!) in time for Christmas in Milwaukee. It’s nice to have her home. #Milwaukee pic.twitter.com/FmGFzc1XTt";;@WatrHub;#Milwaukee;"1076555778352386054";https://twitter.com/NoahSabich/status/1076555778352386054
WatrHub;2018-12-19 17:33;2;1;"Increase customer delight and retention by facilitating client journey mapping sessions with your team. Read more in our blog: http:// bit.ly/2ScgswU";;;;"1075519503100989440";https://twitter.com/WatrHub/status/1075519503100989440
WatrHub;2018-11-19 11:48;2;2;"70+ Water Industry Leaders trust WatrHub for actionable data sets. Do you have a burning question? Request a sample report to see how we can help your company with market and sales opportunities. https:// sample.watrhub.com / pic.twitter.com/STYuahLgWW";;;;"1064560966149513216";https://twitter.com/WatrHub/status/1064560966149513216
WatrHub;2018-10-22 17:01;0;0;"WatrHub was thrilled to interview Mike Stadnyckyj, director of marketing and communications at @Echologics . Learn how Mike uses WatrHub data to power their digital marketing campaigns through our new blog post: http:// ow.ly/wqj530mkFUa #ClientSpotlight";;@Echologics;#ClientSpotlight;"1054477903868715009";https://twitter.com/WatrHub/status/1054477903868715009
WatrHub;2018-10-12 08:58;1;0;"Want to learn how to leverage WatrHub data to get responses from water utilities? Read our new blog post to find out more: http:// ow.ly/EOGT30mcQ9r";;;;"1050732456964435968";https://twitter.com/WatrHub/status/1050732456964435968
WatrHub;2018-10-01 11:16;1;2;"WatrHub has arrived at @WEFTEC and we look forward to hanging out with all our amazing clients in the industry! Come chat with us about data driven insights and market trends that our data has revealed #WEFTEC2018 pic.twitter.com/lnAtN9Xg66";;@WEFTEC;#WEFTEC2018;"1046780879723360259";https://twitter.com/WatrHub/status/1046780879723360259
todd_latham;2018-09-30 19:59;0;2;"A third of the US sewer infrastructure was at risk during Hurricane Florence. @Watrhub is a Canadian tech company changing how we see (and use) water data. https:// medium.com/watrhub/one-th ird-of-the-us-sewer-infrastructure-is-at-risk-during-hurricane-florence-d21f39c1c0bc …";;@Watrhub;;"1046550140016779264";https://twitter.com/todd_latham/status/1046550140016779264
SarahDinn_;2018-09-28 12:29;1;4;"Had fun visiting sweet sweet tech spaces yesterday at Startup Open House @suopenhouse yesterday -- Congrats @WatrHub on your snazzy new location ; was great to visit, learn about your cause and meet your friendly, hospitable team #SOHOTT2018";;@suopenhouse @WatrHub;#SOHOTT2018;"1045712185383514113";https://twitter.com/SarahDinn_/status/1045712185383514113
Sunit_M;2018-09-28 00:21;1;3;"What a great @suopenhouse night at the @watrhub office! Thanks to all those guests for dropping in, we hope you had fun and hope you apply to our open positions: https:// watrhub-inc.workable.com / #SOHTO2018 #SOH2018";;@suopenhouse @watrhub;#SOHTO2018 #SOH2018;"1045528863038570496";https://twitter.com/Sunit_M/status/1045528863038570496
