username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
David_Lavaud;2018-09-17 11:23;0;0;"Tu peux utiliser @WidiloApp pour t'épargner cette peine";;@WidiloApp;;"1041709338015031297";https://twitter.com/David_Lavaud/status/1041709338015031297
botlistco;2017-12-18 08:30;0;0;"@WidiloApp someone should claim your @BotListco page https:// botlist.co/bots/widilo";;@WidiloApp @BotListco;;"942748905929957377";https://twitter.com/botlistco/status/942748905929957377
StartupRanking;2017-12-09 09:30;0;0;"New Startup: Widilo - The World's #1 Coupons platform @WidiloApp https://www. startupranking.com/widilo";;@WidiloApp;#1;"939502422153682944";https://twitter.com/StartupRanking/status/939502422153682944
Dharani97486629;2017-11-20 10:33;0;0;"Rejoignez @WidiloApp en utilisant ce lien : https://promo.widilo.com?kid=JMQG5 promo.widilo.com/?kid=JMQG5";;@WidiloApp;;"932632898901020673";https://twitter.com/Dharani97486629/status/932632898901020673
diegotab96;2017-11-18 15:21;0;0;"Rejoignez @WidiloApp en utilisant ce lien : https://promo.widilo.com?kid=JKS59 promo.widilo.com/?kid=JKS59";;@WidiloApp;;"931980585601503232";https://twitter.com/diegotab96/status/931980585601503232
StartupRanking;2017-09-09 00:59;0;0;"We have granted you claim rights over "Widilo". You can complete your profile at http:// startupranking.com .";;;;"906381626145431553";https://twitter.com/StartupRanking/status/906381626145431553
WidiloCashback;2017-09-08 04:27;0;1;"@StartupRanking allow the user "Widilo" to claim rights over "Widilo" ( @WidiloApp ) in http:// startupranking.com .";;@StartupRanking @WidiloApp;;"906071604295323648";https://twitter.com/WidiloCashback/status/906071604295323648
hakfou92;2017-09-05 06:02;1;2;"Félicitations à @WidiloApp qui fait partie des tops #chatbots France au classement @myFrenchStartup ! http://www. myfrenchstartup.com/en/blog/ecosys teme-startups-chatbot-france … pic.twitter.com/jNX9un2dAk";;@WidiloApp @myFrenchStartup;#chatbots;"905008226747416577";https://twitter.com/hakfou92/status/905008226747416577
botlistco;2017-07-15 17:18;1;1;"Get the coupons you need, in few seconds with @WidiloApp on @messenger http:// bit.ly/2tqJKuw #chatbot pic.twitter.com/iXhrXuLkDq";;@WidiloApp @messenger;#chatbot;"886334060171284481";https://twitter.com/botlistco/status/886334060171284481
WidiloCashback;2017-07-12 05:17;5;4;"Merci également à @hellofreshr pour cette rencontre ! Avec @WidiloApp , vos codes promo en 30 secondes, TOP CHRONO ! https:// twitter.com/hellofreshr/st atus/884808057330466818 …";;@hellofreshr @WidiloApp;;"885065508898447360";https://twitter.com/WidiloCashback/status/885065508898447360
hakfou92;2017-07-12 05:12;0;2;"Avec @WidiloApp , vos codes promo en 30 secondes, top chrono ! Merci à @hellofreshr #chatbot #widilo #codespromo https:// twitter.com/hellofreshr/st atus/884808057330466818 …";;@WidiloApp @hellofreshr;#chatbot #widilo #codespromo;"885064391988785152";https://twitter.com/hakfou92/status/885064391988785152
Justine_Lefeb;2017-07-11 12:23;1;1;"Quand le #chatbot d'actualité @hellofreshr rencontre la #startup @WidiloApp ça donne une interview bien #fresh https:// twitter.com/hellofreshr/st atus/884808057330466818 …";;@hellofreshr @WidiloApp;#chatbot #startup #fresh;"884810325819838464";https://twitter.com/Justine_Lefeb/status/884810325819838464
hellofreshr;2017-07-11 12:14;2;6;"J'ai interviewé @WidiloApp , une #startup qui fournit des codes #promo via un #chatbot ! Merci pour cette rencontre http:// m.me/hellofreshr?re f=Twt … pic.twitter.com/hrkDXtUUX4";;@WidiloApp;#startup #promo #chatbot;"884808057330466818";https://twitter.com/hellofreshr/status/884808057330466818
enekia;2017-07-07 05:05;0;1;"Le #chatbot des codes promo @WidiloApp est l'une de nos nouvelles références #naming : http://www. enekia.com/nouvelle-refer ence-naming-widilo/ … pic.twitter.com/QFv8d7Yztp";;@WidiloApp;#chatbot #naming;"883250701064908800";https://twitter.com/enekia/status/883250701064908800
richa_gangwani;2017-07-04 07:49;0;0;"It is the premier chatbot @WidiloApp #mobileapps #Website Submit the one at http:// betapage.co / for more visibility! #BetaPage";;@WidiloApp;#mobileapps #Website #BetaPage;"882204694604505088";https://twitter.com/richa_gangwani/status/882204694604505088
raboun;2017-06-17 12:19;0;1;"@WidiloApp a rencontré le directeur commercial @GoogleFR pendant la journée grand public de #VivaTech !";;@WidiloApp @GoogleFR;#VivaTech;"876112037637742592";https://twitter.com/raboun/status/876112037637742592
jonathan_dhiver;2017-06-16 10:29;0;0;"";;;;"875721890341498883";https://twitter.com/jonathan_dhiver/status/875721890341498883
guyoullins;2017-06-16 10:22;0;0;"encore un mystique qui se prend pour ...dieu ...l'épidémie macron deviendrait elle une pandémie?";;;;"875720146194759681";https://twitter.com/guyoullins/status/875720146194759681
sentosmarcovi;2017-06-16 09:15;0;0;"cool";;;;"875703288158707713";https://twitter.com/sentosmarcovi/status/875703288158707713
AbdulOtman;2017-06-16 08:52;1;2;"@WidiloApp I really like you logo! Pitching now at the #VivaTech Agora @WS_ShakeUp pic.twitter.com/uHGqud6VXc";;@WidiloApp @WS_ShakeUp;#VivaTech;"875697582449754113";https://twitter.com/AbdulOtman/status/875697582449754113
ChibaneNabila;2017-06-15 10:18;0;2;"Trouver des codes promo via @WidiloApp c'est le premier chatbot qui propose ce service. #VivaTech2017 #startup pic.twitter.com/UtRea3H2eK";;@WidiloApp;#VivaTech2017 #startup;"875356786336964608";https://twitter.com/ChibaneNabila/status/875356786336964608
hakfou92;2017-06-15 08:12;1;0;"Jules, fondateur de @WidiloApp en itw sur @Qofficiel au salon @VivaTech ! Rdv au stand L65 ! #VivaTechnology #widilo pic.twitter.com/Wt2Zjk1RUn";;@WidiloApp @Qofficiel @VivaTech;#VivaTechnology #widilo;"875325219711352838";https://twitter.com/hakfou92/status/875325219711352838
TipTopStartup;2017-06-15 06:41;0;0;"@WidiloApp nous pouvons mettre en avant votre promo sur notre plateforme qui apporte de la visibilité aux Startups contact@tiptopstartup.com";;@WidiloApp @tiptopstartup;;"875302262276591616";https://twitter.com/TipTopStartup/status/875302262276591616
hakfou92;2017-06-13 13:28;1;5;"@WidiloApp le fournisseur officiel des codes promo sera présent au salon #VivaTech ! Rdv du 15 au 17 juin à Paris ! #startups #Digital";;@WidiloApp;#VivaTech #startups #Digital;"874679770579128320";https://twitter.com/hakfou92/status/874679770579128320
