username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cannabistechnet;2018-04-17 13:26;0;0;"@WMSight looking forward to growing together! Partnerships only. no competition. #cannawehelpyou ? #likemindedAlliance #CTN #cannatechnetwork #cannabistechnologynetwork #futurethinkers https:// lnkd.in/g2dcxqN";;@WMSight;#cannawehelpyou #likemindedAlliance #CTN #cannatechnetwork #cannabistechnologynetwork #futurethinkers;"986294912340582400";https://twitter.com/cannabistechnet/status/986294912340582400
SCNRadio;2018-03-25 08:42;4;7;"A lot of good stuff happening in the #supplychaincity - - #Atlanta , GA. @atlchamber @BackbeatMktg @BlueRidgeGlobal @GTSCL @GeorgiaCOI @AGLsupplychain @ScottWLuton @stanton_daniel @mrjasonmoss @WMSight Be sure to check out 4/18 event at @SunTrustPark focused on #digitization https:// twitter.com/APICS_Atlanta/ status/977877268461686784 …";;@atlchamber @BackbeatMktg @BlueRidgeGlobal @GTSCL @GeorgiaCOI @AGLsupplychain @ScottWLuton @stanton_daniel @mrjasonmoss @WMSight @SunTrustPark;#supplychaincity #Atlanta #digitization;"977888329772470272";https://twitter.com/SCNRadio/status/977888329772470272
APICS_Atlanta;2018-01-14 13:29;1;0;"Check out our most recent APICS Atlanta Chapter Buzz! We're off to the races to kick off the New Year. Plug in with us! https:// buff.ly/2D1UiGn @Talent_Stream @ShowMe50org @ColtonGriffin @WMSight @gamanufacturing @APICS @cscmp_atlanta #SupplyChain pic.twitter.com/H88XiRF3Al";;@Talent_Stream @ShowMe50org @ColtonGriffin @WMSight @gamanufacturing @APICS @cscmp_atlanta;#SupplyChain;"952608571056902144";https://twitter.com/APICS_Atlanta/status/952608571056902144
Talent_Stream;2017-12-23 18:02;0;0;"Is your #warehouse drowning in data? - http:// bit.ly/2jaRGv4 @WMSight @ColtonGriffin @ScottWLuton #manufacturing #warehousedata pic.twitter.com/3Jq98hUbXB";;@WMSight @ColtonGriffin @ScottWLuton;#warehouse #manufacturing #warehousedata;"944704829611560961";https://twitter.com/Talent_Stream/status/944704829611560961
Talent_Stream;2017-12-23 12:02;0;0;"#ICYMI : Colton Griffin of @WMSight 's Webinar: The Warehouse of the (near) Future http:// bit.ly/2n5pkJh @talent_stream pic.twitter.com/pKXUQ4xJCM";;@WMSight @talent_stream;#ICYMI;"944614219726585856";https://twitter.com/Talent_Stream/status/944614219726585856
APICS_Atlanta;2017-12-22 09:12;1;0;"#ICYMI : Colton Griffin of @WMSight 's Webinar: The Warehouse of the (near) Future http:// bit.ly/2n5pkJh @talent_stream pic.twitter.com/cajWiFPmMg";;@WMSight @talent_stream;#ICYMI;"944208967886090240";https://twitter.com/APICS_Atlanta/status/944208967886090240
APICS_Atlanta;2017-12-12 17:31;0;0;"#ICYMI : Colton Griffin of @WMSight 's Webinar: The Warehouse of the (near) Future http:// bit.ly/2n5pkJh @talent_stream pic.twitter.com/HEL7l6zbfC";;@WMSight @talent_stream;#ICYMI;"940710606805569536";https://twitter.com/APICS_Atlanta/status/940710606805569536
Talent_Stream;2017-12-10 16:04;0;0;"Is your #warehouse drowning in data? - http:// bit.ly/2jaRGv4 @WMSight @ColtonGriffin @ScottWLuton #manufacturing #warehousedata pic.twitter.com/pQxV43Cbuw";;@WMSight @ColtonGriffin @ScottWLuton;#warehouse #manufacturing #warehousedata;"939964013928120320";https://twitter.com/Talent_Stream/status/939964013928120320
Talent_Stream;2017-12-10 08:04;0;0;"#ICYMI : Colton Griffin of @WMSight 's Webinar: The Warehouse of the (near) Future http:// bit.ly/2n5pkJh @talent_stream pic.twitter.com/FZFSPzw8RU";;@WMSight @talent_stream;#ICYMI;"939843144090374144";https://twitter.com/Talent_Stream/status/939843144090374144
APICS_Atlanta;2017-12-01 12:32;0;0;"#ICYMI : Colton Griffin of @WMSight 's Webinar: The Warehouse of the (near) Future http:// bit.ly/2n5pkJh @talent_stream pic.twitter.com/Gq0qdqrOZe";;@WMSight @talent_stream;#ICYMI;"936649149608579073";https://twitter.com/APICS_Atlanta/status/936649149608579073
Talent_Stream;2017-11-26 20:00;1;2;"Is your #warehouse drowning in data? - http:// bit.ly/2jaRGv4 @WMSight @ColtonGriffin @ScottWLuton #manufacturing #warehousedata pic.twitter.com/DhW1pdpQVT";;@WMSight @ColtonGriffin @ScottWLuton;#warehouse #manufacturing #warehousedata;"934950101004570624";https://twitter.com/Talent_Stream/status/934950101004570624
Talent_Stream;2017-11-26 08:06;0;2;"#ICYMI : Colton Griffin of @WMSight 's Webinar: The Warehouse of the (near) Future http:// bit.ly/2n5pkJh @talent_stream pic.twitter.com/3hLb7VU1NW";;@WMSight @talent_stream;#ICYMI;"934770317729370112";https://twitter.com/Talent_Stream/status/934770317729370112
APICS_Atlanta;2017-11-21 19:12;1;0;"Hey @gamanufacturing @WMSight @miraclegrids thanks for being top High Value Members of last week, have a great day :)";;@gamanufacturing @WMSight @miraclegrids;;"933125882801278976";https://twitter.com/APICS_Atlanta/status/933125882801278976
