username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
James63699273;2018-12-22 03:23;0;0;"@helentbbc Hi Helen - @yulife believes 2019 will be the year for empowering employees to be well. Please join us as a VIP guest to an exclusive breakfast we’re holding with Deliciously Ella on 29/01/2019 at Ella’s Weighhouse Street deli in Mayfair. Be well James";;@helentbbc @yulife;;"1076392733298880512";https://twitter.com/James63699273/status/1076392733298880512
yulife;2018-12-21 06:17;0;2;"Happy Holidays from the yucrew! Wishing everyone an early Friday, safe travels, and a wonderful week pic.twitter.com/85u1B7cWNB";;;;"1076074234554839041";https://twitter.com/yulife/status/1076074234554839041
yulife;2018-12-21 05:56;1;5;"Walk a mile, earn a mile...and for a limited time, 1k bonus miles to every employee for singing up! pic.twitter.com/ZBAGezon1K";;;;"1076069011694211072";https://twitter.com/yulife/status/1076069011694211072
DanielBurke64;2018-12-20 06:07;0;2;"Happy holidays to all of the @yulife team";;@yulife;;"1075709244014583808";https://twitter.com/DanielBurke64/status/1075709244014583808
yulife;2018-12-20 06:06;1;5;"As we get ready to leave for home and family We can't help but smile as we see What a wonderful excuse to sneak away A 10 minute walking quest will be ;-) pic.twitter.com/l0pybIIzVP";;;;"1075708982378024961";https://twitter.com/yulife/status/1075708982378024961
wearefeedr;2018-12-19 08:22;0;1;"Have a fantastic Christmas!";;;;"1075380813649326081";https://twitter.com/wearefeedr/status/1075380813649326081
yulife;2018-12-19 06:55;0;3;"Thank you for the treats, @teamfeedr ! pic.twitter.com/7AlC65JglE";;@teamfeedr;;"1075358875430412288";https://twitter.com/yulife/status/1075358875430412288
yulife;2018-12-19 06:03;3;7;"'we may as well get some extra yucoin' and just walk while we talk," yulife user Beth talks about how office culture has changed for the healthier at @Brighterbox http:// bit.ly/2EsnJF3";;@Brighterbox;;"1075345762706472966";https://twitter.com/yulife/status/1075345762706472966
yulife;2018-12-17 12:31;2;3;"https://www. eventbrite.co.uk/e/deliciously- ella-presents-wellbeing-trends-your-team-will-follow-in-2019-tickets-53290081067 … Calling all HR friends! How about a breakfast with @DeliciouslyElla , @SammyRubin , AND a CPD-accredited day of networking and fireside chats about wellbeing trends for 2019? Hurry and shoot us a message if you're interested, limited seats avail!";;@DeliciouslyElla @SammyRubin;;"1074718747309543425";https://twitter.com/yulife/status/1074718747309543425
DanielBurke64;2018-12-17 09:02;0;1;"Congratulations @yulife on being a semi-finalist - fingers crossed you can go all the way!";;@yulife;;"1074666059888820227";https://twitter.com/DanielBurke64/status/1074666059888820227
kpmguk;2018-12-17 06:00;11;16;"Announcing our #BBTSLondon semi-finalists. Congratulations @ExoInvesting @garrison_tech @GTN_LTD @SenSat_AI @TechHummingbird @TrintHQ @yulife @ZigZagGlobal . Follow the journey of these tech pioneers here: http:// ow.ly/Dnvn50jW5FN pic.twitter.com/Wz7XDYjj6N";;@ExoInvesting @garrison_tech @GTN_LTD @SenSat_AI @TechHummingbird @TrintHQ @yulife @ZigZagGlobal;#BBTSLondon;"1074620403270762498";https://twitter.com/kpmguk/status/1074620403270762498
jonathanroomer;2018-12-13 06:25;0;3;"Welcome to our forest world , @yulife world 1. (36 seconds) pic.twitter.com/2p1LCnMhOu";;@yulife;;"1073176992093212672";https://twitter.com/jonathanroomer/status/1073176992093212672
catalystscot;2018-12-12 10:49;3;4;"Gosh, the @yulife effect seems to be spreading much faster than expected https:// twitter.com/ONS/status/107 2791735481315328 …";;@yulife;;"1072881234307678208";https://twitter.com/catalystscot/status/1072881234307678208
EntrepreneursGB;2018-12-10 09:30;3;3;"We spend about a third of our waking hours at work ! So when considering wellbeing and taking steps to improve it, the workplace ought to be a large consideration! Read more from #GBEA Partner @yulife on the importance of wellbeing, here: https:// bit.ly/2StCJpY #GBEAyulife pic.twitter.com/adavler0BM";;@yulife;#GBEA #GBEAyulife;"1072136352341348352";https://twitter.com/EntrepreneursGB/status/1072136352341348352
EntrepreneursGB;2018-12-10 06:30;1;1;"Do you offer healthy snacks for your team ? Or encourage daily movement ? We’re compiling a wellbeing guide with our partners @yulife and we’d love to hear how you support your teams DM to let us know how you promote wellbeing in your office! #GBEAyulife";;@yulife;#GBEAyulife;"1072091055061913602";https://twitter.com/EntrepreneursGB/status/1072091055061913602
andyskipper;2018-12-07 10:31;1;0;"Thirty minutes until our #ama with Josh Hart of @yulife over in the @CTOCraft Slack. It's going to be a goodie!";;@yulife @CTOCraft;#ama;"1071064617902841856";https://twitter.com/andyskipper/status/1071064617902841856
yulife;2018-12-07 06:03;0;3;"New Year, New yu! How to use our small steps big gains mentality to create habits not resolutions! http:// bit.ly/2FXYbBU";;;;"1070997116397469696";https://twitter.com/yulife/status/1070997116397469696
EntrepreneursGB;2018-12-06 07:19;1;2;"Entrepreneurs, how does your organisation promote health and wellbeing ? We’re compiling a guide to workplace wellbeing with our partners @yulife and we’d love to feature you #GBEAyulife ! DM us if you would like to get involved! pic.twitter.com/G2fNffJsZA";;@yulife;#GBEAyulife;"1070653904906530816";https://twitter.com/EntrepreneursGB/status/1070653904906530816
yulife;2018-12-05 09:58;0;0;"Oh, stop it (actually don’t) pic.twitter.com/ZuhtvymqGQ";;;;"1070331645092335621";https://twitter.com/yulife/status/1070331645092335621
Penthouselord;2018-12-05 09:15;0;1;"All send over, I slid into your DM’s ( that’s what the kids are saying).";;;;"1070320861025132545";https://twitter.com/Penthouselord/status/1070320861025132545
FrankieJ4m3s;2018-12-05 06:47;0;2;"Lets have a chat Jason, we’re overdue one. Can you DM your number and I’ll give you a ring?";;;;"1070283638783336449";https://twitter.com/FrankieJ4m3s/status/1070283638783336449
Penthouselord;2018-12-05 06:47;0;2;"Would love to add @TheGamesCali and what we are doing with the games for companies. #HealthandWellness";;@TheGamesCali;#HealthandWellness;"1070283393819205634";https://twitter.com/Penthouselord/status/1070283393819205634
yulife;2018-12-05 06:09;0;3;"Turkey and Stuffing and Pies, oh my! How to keep your health (and sanity) over the holidays. http:// bit.ly/2PhK9KU";;;;"1070273997030477824";https://twitter.com/yulife/status/1070273997030477824
EntrepreneursGB;2018-12-05 05:03;0;2;"We'd love to hear from you Laura";;;;"1070257362022354944";https://twitter.com/EntrepreneursGB/status/1070257362022354944
ladylyndsay;2018-12-05 03:45;0;1;"@Laura_ClimbO";;@Laura_ClimbO;;"1070237723347292160";https://twitter.com/ladylyndsay/status/1070237723347292160
EntrepreneursGB;2018-12-04 09:00;0;0;"Entrepreneurs, we’re compiling a guide to workplace wellbeing with our partners @yulife and we’d love to feature you! Let us know how your organisation promotes health and wellbeing Read more here: https:// bit.ly/2StCJpY";;@yulife;;"1069954477183008768";https://twitter.com/EntrepreneursGB/status/1069954477183008768
EntrepreneursGB;2018-12-04 05:00;2;5;"Entrepreneurs, how does your organisation promote health and wellbeing ? We’re compiling a guide to workplace wellbeing with our partners @yulife and we’d love to feature you! pic.twitter.com/nCFZJG0YPj";;@yulife;;"1069894077028683778";https://twitter.com/EntrepreneursGB/status/1069894077028683778
yulife;2018-12-03 11:51;0;1;"*air guitar champ, Manchester 2006.";;;;"1069635161724198912";https://twitter.com/yulife/status/1069635161724198912
yulife;2018-12-03 11:50;0;1;"Former rockstar* and current yulife CTO, Josh Hart, talks wellbeing, insurance, and games https:// bit.ly/2BOHp4i";;;;"1069634954018074625";https://twitter.com/yulife/status/1069634954018074625
andyskipper;2018-12-03 09:51;2;9;"Super-exciting - the next @CTOCraft AMA will be with Josh Hart, CTO and co-founder at @yulife , an employee insurance and wellbeing startup backed by @localglobevc and @anthemis , this Friday. Drop me a line if you'd like to be a part of the conversation #cto #leadership pic.twitter.com/iY1rW32NwH";;@CTOCraft @yulife @localglobevc @anthemis;#cto #leadership;"1069605026857918465";https://twitter.com/andyskipper/status/1069605026857918465
kyan;2018-12-03 09:38;4;5;"№3 in our Tech Tales series is live! Ben took a trip down memory lane (Hawley Crescent, Camden to be precise) to talk to Josh Hart, CTO and co-founder of @yulife , who are breathing life back into life insurance! https:// kyan.com/news/tech-tale s-3-josh-hart-co-founder-and-cto-at-yulife …";;@yulife;;"1069601714502799360";https://twitter.com/kyan/status/1069601714502799360
yulife;2018-12-03 06:05;2;4;"'Tis the season to share the love. #yulife http:// bit.ly/2BM0Fz8";;;#yulife;"1069548071346995201";https://twitter.com/yulife/status/1069548071346995201
joshw33;2018-11-30 01:33;0;0;"#insurance #startup yulife in the #unitedkingdom is “doing well and doing good”. A few good smiles here thanks to Sammy Rubin and @yulife https:// lnkd.in/eRJX8YZ";;@yulife;#insurance #startup #unitedkingdom;"1068392669842415618";https://twitter.com/joshw33/status/1068392669842415618
yulife;2018-11-28 15:21;0;1;"Such amazing speakers here tonight so far. Love to see @princestrustLDN speaking @EntrepreneursGB #GBEA #GBEA2018 #gbealondon pic.twitter.com/9Nzavcrgjk";;@princestrustLDN @EntrepreneursGB;#GBEA #GBEA2018 #gbealondon;"1067876174355931136";https://twitter.com/yulife/status/1067876174355931136
Mr_PeteKelly;2018-11-28 14:12;0;0;"Love it";;;;"1067858754438381568";https://twitter.com/Mr_PeteKelly/status/1067858754438381568
EntrepreneursGB;2018-11-28 14:03;1;4;"Feeling a little nervous ahead of the results this evening? Head over to the @yulife relaxation station before the awards begin pic.twitter.com/WHUetLV4p5";;@yulife;;"1067856456811192321";https://twitter.com/EntrepreneursGB/status/1067856456811192321
yulife;2018-11-28 13:53;0;1;"Alright well we’ll save you a seat at the next one! pic.twitter.com/4wjOxUfGdI";;;;"1067853997283905536";https://twitter.com/yulife/status/1067853997283905536
Mr_PeteKelly;2018-11-28 13:52;0;0;"I wish I was coming, we were atbthe Cardiff awards last week";;;;"1067853666604994561";https://twitter.com/Mr_PeteKelly/status/1067853666604994561
yulife;2018-11-28 13:40;3;2;"CoFounder Sam Fromson is here and excited to be supporting all of our nominee friends! Good Luck All! @EntrepreneursGB #gbea #GBEALLondon #GBEA2018 pic.twitter.com/u6UP8qclEL";;@EntrepreneursGB;#gbea #GBEALLondon #GBEA2018;"1067850822854287360";https://twitter.com/yulife/status/1067850822854287360
yulife;2018-11-28 13:36;0;1;"Come by the booth and you can be! Sorta";;;;"1067849765663227905";https://twitter.com/yulife/status/1067849765663227905
Mr_PeteKelly;2018-11-28 13:31;0;0;"Wish I was that dog..";;;;"1067848590817677312";https://twitter.com/Mr_PeteKelly/status/1067848590817677312
yulife;2018-11-28 13:16;2;2;"Shivani and Maya are ready to get you started on your wellbeing journey! Massages and Hangover Kits aren’t a bad start... @EntrepreneursGB #gbea #gbealondon #GBEA2018 pic.twitter.com/dsDljpFj6K";;@EntrepreneursGB;#gbea #gbealondon #GBEA2018;"1067844701955506176";https://twitter.com/yulife/status/1067844701955506176
Adia_PR;2018-11-28 13:16;0;1;"Massage yes please! I'm sure I won't need the hangover kit but I'll take one for my friend";;;;"1067844621080891395";https://twitter.com/Adia_PR/status/1067844621080891395
yulife;2018-11-28 12:41;0;3;"Massages have arrived! Swing by and relax on us :-) @EntrepreneursGB #gbea #GBEA2018 #gbealondon pic.twitter.com/geOeeEe8f5";;@EntrepreneursGB;#gbea #GBEA2018 #gbealondon;"1067835833418477569";https://twitter.com/yulife/status/1067835833418477569
yulife;2018-11-28 12:08;1;3;"Conveniently located across from two bars. Don’t forget to stop and get your hangover kit from yulife tonight at the GBEA! @EntrepreneursGB #GBEA2018 #GBEA #GBEALondon pic.twitter.com/Yg9Mv6pC6z";;@EntrepreneursGB;#GBEA2018 #GBEA #GBEALondon;"1067827660578000896";https://twitter.com/yulife/status/1067827660578000896
yulife;2018-11-28 09:42;3;7;"Ready...Set....RELAX! Stop by the yulife booth for a hangover kit and get a free massage to start your night @EntrepreneursGB #GBEA #GBEAlondon pic.twitter.com/czM2VaMoQB";;@EntrepreneursGB;#GBEA #GBEAlondon;"1067790822844887042";https://twitter.com/yulife/status/1067790822844887042
yulife;2018-11-28 09:40;1;4;"Getting ready for the GBEA @EntrepreneursGB tonight! Open bar regret in the morning? We've got you covered with Hangover Kits #GBEA #GBEALondon pic.twitter.com/e4WaHD1yOc";;@EntrepreneursGB;#GBEA #GBEALondon;"1067790356958388224";https://twitter.com/yulife/status/1067790356958388224
laurayoung77;2018-11-23 13:19;0;0;"They really are";;;;"1066033485691973634";https://twitter.com/laurayoung77/status/1066033485691973634
yulife;2018-11-23 12:04;0;1;"Monthly Steps Challenge—Numbers to Beat: 1. 454,306 2. 409,537 3. 398,518 Good Luck!";;;;"1066014617363775490";https://twitter.com/yulife/status/1066014617363775490
bendoscopy_;2018-11-23 08:48;2;3;"My Tech Tales interview series for @kyan is picking up steam — two live and two coming soon. So far I've spoken to @StarlingBank , @pensionbee , @yulife and @LootApp . New interviews every fortnight right here https:// kyan.com/news pic.twitter.com/OO1SBfYtoV";;@kyan @StarlingBank @pensionbee @yulife @LootApp;;"1065965322891599873";https://twitter.com/bendoscopy_/status/1065965322891599873
jonathanroomer;2018-11-22 08:58;1;1;"Yay :) they are awesome animals pic.twitter.com/IjysPD2sdj";;;;"1065605351389704194";https://twitter.com/jonathanroomer/status/1065605351389704194
laurayoung77;2018-11-22 08:33;0;2;"I quite like the giraffe";;;;"1065599162299895808";https://twitter.com/laurayoung77/status/1065599162299895808
DanielBurke64;2018-11-22 08:24;0;0;"Thanks - I can’t decide between cherries & strawberries or orange, mango & pineapple!";;;;"1065596976018923521";https://twitter.com/DanielBurke64/status/1065596976018923521
jonathanroomer;2018-11-22 08:19;0;1;"Will save you one ;) what colour ?";;;;"1065595725805961217";https://twitter.com/jonathanroomer/status/1065595725805961217
DanielBurke64;2018-11-22 08:19;0;0;"I could do with a smoothie right now!";;;;"1065595634231771138";https://twitter.com/DanielBurke64/status/1065595634231771138
