username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CENGNCanada;2018-12-14 13:59;0;0;"Get the highlights from the #CENGNSummit and news on our recent projects with @zfraudshield and @aditumhealth in our newsletter! http:// bit.ly/2zQwOEx pic.twitter.com/XBgbWYqCvK";;@zfraudshield @aditumhealth;#CENGNSummit;"1073653599710924800";https://twitter.com/CENGNCanada/status/1073653599710924800
teh_aimee;2018-12-11 16:18;0;2;"Super jellies :)";;;;"1072601441909571589";https://twitter.com/teh_aimee/status/1072601441909571589
SubPhunktion;2018-12-11 11:09;0;2;"I just came out of a meeting with 4 departments who are all doing the same thing with different regulations to the same regulated parties. So cross-sector space ... yeah. Sign me up!";;;;"1072523774661136384";https://twitter.com/SubPhunktion/status/1072523774661136384
ToferC;2018-12-11 10:37;0;14;"Should have mentioned that this is what we are doing with the #DigitalAcademy . Currently working in start-up space at @oneeleven_111 and sharing space with fantastic #YOW startups @fellowapp @zfraudshield @Niffler_co";;@oneeleven_111 @fellowapp @zfraudshield @Niffler_co;#DigitalAcademy #YOW;"1072515626692947969";https://twitter.com/ToferC/status/1072515626692947969
CENGNCanada;2018-12-10 11:13;2;2;"In our latest newsletter @jcfahmy talks about the highlights of the #CENGNSummit . Also included are the event photo gallery and videos, recent projects from @zfraudshield and @aditumhealth , and more! http:// bit.ly/2zQwOEx pic.twitter.com/Ep73bzBKUP";;@jcfahmy @zfraudshield @aditumhealth;#CENGNSummit;"1072162513817456640";https://twitter.com/CENGNCanada/status/1072162513817456640
CENGNCanada;2018-12-05 09:13;0;0;". @zfraudshield has an #AI powered platform that offers fraud detection and continuous identity proofing. Find out how Zighra tested the scalability of the platform in a CENGN Project. http:// bit.ly/2QigpCa pic.twitter.com/WJOV8J0MuT";;@zfraudshield;#AI;"1070320248492965888";https://twitter.com/CENGNCanada/status/1070320248492965888
zfraudshield;2018-12-03 21:41;1;2;"Quora says hackers stole up to 100 million users’ data - https:// hubs.ly/H0fM63T0";;;;"1069783606816587778";https://twitter.com/zfraudshield/status/1069783606816587778
CENGNCanada;2018-11-30 13:34;0;0;". @zfraudshield has used the CENGN infrastructure to validate its identity proofing #cybersecurity platform for large-scale deployments. Learn more here: http:// bit.ly/2QigpCa pic.twitter.com/tIFimnNceW";;@zfraudshield;#cybersecurity;"1068574115378868224";https://twitter.com/CENGNCanada/status/1068574115378868224
JaimeLeverton;2018-11-27 13:31;3;4;"Nice job today @breqwatr @zfraudshield @UkkoAg @logintc @aditumhealth @PilotThings as well as CRYPTO4A and Solana Networks @CENGNCanada 's Canadian Network Innovator Pitch #canadianpride #innovation";;@breqwatr @zfraudshield @UkkoAg @logintc @aditumhealth @PilotThings @CENGNCanada;#canadianpride #innovation;"1067486015483404288";https://twitter.com/JaimeLeverton/status/1067486015483404288
Invest_Ottawa;2018-11-27 13:28;2;10;"Our very own @sshorey & @nickquain host @CENGNCanada ’s pitch session including IO clients @crypto4a & @zfraudshield ! #CENGNSummit https:// twitter.com/borschewski/st atus/1067482162331475968 …";;@sshorey @nickquain @CENGNCanada @crypto4a @zfraudshield;#CENGNSummit;"1067485431963340801";https://twitter.com/Invest_Ottawa/status/1067485431963340801
